model_id,split,effect_label,dataset,window,reference_config_id,n_seeds,improved_seeds,worsened_seeds,rmse_original_mean,rmse_original_std,rmse_no_smap_mean,rmse_no_smap_std,rmse_change_mean,rmse_change_std,mae_original_mean,mae_original_std,mae_no_smap_mean,mae_no_smap_std,mae_change_mean,mae_change_std,bias_original_mean,bias_original_std,bias_no_smap_mean,bias_no_smap_std,bias_change_mean,bias_change_std,ubrmse_original_mean,ubrmse_original_std,ubrmse_no_smap_mean,ubrmse_no_smap_std,ubrmse_change_mean,ubrmse_change_std,r2_original_mean,r2_original_std,r2_no_smap_mean,r2_no_smap_std,r2_change_mean,r2_change_std,pearson_original_mean,pearson_original_std,pearson_no_smap_mean,pearson_no_smap_std,pearson_change_mean,pearson_change_std,diff_pearson_original_mean,diff_pearson_original_std,diff_pearson_no_smap_mean,diff_pearson_no_smap_std,diff_pearson_change_mean,diff_pearson_change_std,rmse_change_abs_mean,rmse_change_abs_std,rmse_change_pct_mean,rmse_change_pct_std,effect_rmse_mean,effect_rmse_std,effect_rmse_pct_mean,effect_rmse_pct_std
Global_Single_60_no_smap_fs60,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Global_Single_54,1,0,1,0.0595053821947749,0.0,0.09588675416764855,0.0,0.03638137197287365,0.0,0.0513544261023579,0.0,0.08781352620559735,0.0,0.036459100103239446,0.0,0.0164779621194504,0.0,0.08327282057014133,0.0,0.06679485845069094,0.0,0.0571783811814937,0.0,0.047538478931283795,0.0,-0.009639902250209907,0.0,-0.5996061669264132,0.0,-3.1535343581177724,0.0,-2.553928191191359,0.0,-0.0605705527081843,0.0,-0.020205676603864072,0.0,0.04036487610432023,0.0,,,0.011833031891444778,0.0,,,0.03638137197287365,0.0,61.13963246852023,0.0,-0.03638137197287365,0.0,-61.13963246852023,0.0
Global_Single_60_no_smap_fs60,WA temporal,WA degradation,wa_temporal,temporal_full,Global_Single_54,1,0,1,0.0478636361243758,0.0,0.07534451078090465,0.0,0.027480874656528848,0.0,0.0370592415431565,0.0,0.060459923204860655,0.0,0.023400681661704156,0.0,0.0105483640440731,0.0,0.013139565919803312,0.0,0.002591201875730212,0.0,0.0466868255404066,0.0,0.074189939427479,0.0,0.02750311388707239,0.0,0.779230195195575,0.0,0.4529443196422279,0.0,-0.3262858755533471,0.0,0.8894319903189023,0.0,0.8480218441303338,0.0,-0.04141014618856853,0.0,,,0.20576376904503854,0.0,,,0.027480874656528848,0.0,57.41493309266885,0.0,0.027480874656528848,0.0,57.41493309266885,0.0
Global_Single_69_no_smap_fs69,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Global_Single_54,1,0,1,0.0595053821947749,0.0,0.10131204370255106,0.0,0.04180666150777616,0.0,0.0513544261023579,0.0,0.09252239961657859,0.0,0.04116797351422068,0.0,0.0164779621194504,0.0,0.08881944532997435,0.0,0.07234148321052394,0.0,0.0571783811814937,0.0,0.048736396363121826,0.0,-0.008441984818371877,0.0,-0.5996061669264132,0.0,-3.63684655532544,0.0,-3.037240388399027,0.0,-0.0605705527081843,0.0,-0.49989505515436217,0.0,-0.4393245024461779,0.0,,,0.10586573448100586,0.0,,,0.04180666150777616,0.0,70.25694141570804,0.0,-0.04180666150777616,0.0,-70.25694141570804,0.0
Global_Single_69_no_smap_fs69,WA temporal,WA degradation,wa_temporal,temporal_full,Global_Single_54,1,0,1,0.0478636361243758,0.0,0.0756227671265964,0.0,0.02775913100222059,0.0,0.0370592415431565,0.0,0.06068197205140511,0.0,0.02362273050824861,0.0,0.0105483640440731,0.0,0.013757871046869383,0.0,0.0032095070027962826,0.0,0.0466868255404066,0.0,0.07436076850155021,0.0,0.02767394296114361,0.0,0.779230195195575,0.0,0.4488961733477973,0.0,-0.3303340218477777,0.0,0.8894319903189023,0.0,0.8390657687446981,0.0,-0.05036622157420423,0.0,,,0.18897288625746886,0.0,,,0.02775913100222059,0.0,57.99628538476944,0.0,0.02775913100222059,0.0,57.99628538476944,0.0
Seasonal_Binary_k2_no_smap_fs60,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Seasonal_Binary_k2_c0_0_c1_0,1,0,1,0.0584175304965368,0.0,0.06850972599737803,0.0,0.010092195500841235,0.0,0.0507000711552008,0.0,0.06290972441416853,0.0,0.01220965325896773,0.0,0.0188414492786628,0.0,0.048627007711003464,0.0,0.029785558432340663,0.0,0.0552956386923361,0.0,0.04825967962295052,0.0,-0.007035959069385582,0.0,-0.5416541622549425,0.0,-1.1203376891828731,0.0,-0.5786835269279307,0.0,-0.0387682594725169,0.0,-0.18829574353753897,0.0,-0.1495274840650221,0.0,,,0.14571333277871953,0.0,,,0.010092195500841235,0.0,17.27597078318731,0.0,-0.010092195500841235,0.0,-17.27597078318731,0.0
Seasonal_Binary_k2_no_smap_fs60,WA temporal,WA degradation,wa_temporal,temporal_full,Seasonal_Binary_k2_c0_0_c1_0,1,0,1,0.0488756742809565,0.0,0.06619184834957134,0.0,0.01731617406861484,0.0,0.0376977827784878,0.0,0.0530343008460235,0.0,0.0153365180675357,0.0,0.0104277426500334,0.0,0.012519161423959728,0.0,0.002091418773926327,0.0,0.0477503269061356,0.0,0.06499716443948528,0.0,0.017246837533349678,0.0,0.7697954935406667,0.0,0.5777814456859383,0.0,-0.19201404785472842,0.0,0.884221724558964,0.0,0.8065644478393159,0.0,-0.07765727671964806,0.0,,,0.20586588235510883,0.0,,,0.01731617406861484,0.0,35.42902338098641,0.0,0.01731617406861484,0.0,35.42902338098641,0.0
Trained_Gating_k2_no_smap_fs60,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Trained_Gating_k2_c0_0_c1_0,1,1,0,0.052027147642283,0.0,0.04877790308268091,0.0,-0.003249244559602092,0.0,0.0450855406178725,0.0,0.035978888491914135,0.0,-0.009106652125958362,0.0,0.0177634527990349,0.0,-0.0005768062094149507,0.0,-0.01834025900844985,0.0,0.0489007549680817,0.0,0.0487744925523597,0.0,-0.00012626241572200048,0.0,-0.2228145709697504,0.0,-0.07484743599397659,0.0,0.14796713497577382,0.0,-0.0363750194739915,0.0,-0.07138215412398737,0.0,-0.035007134649995865,0.0,,,0.03474135588601793,0.0,,,0.003249244559602092,0.0,-6.245286752874758,0.0,0.003249244559602092,0.0,6.245286752874758,0.0
Trained_Gating_k2_no_smap_fs60,WA temporal,WA degradation,wa_temporal,temporal_full,Trained_Gating_k2_c0_0_c1_0,1,0,1,0.0523926209713724,0.0,0.0658820024514186,0.0,0.013489381480046206,0.0,0.0388807045085552,0.0,0.04838228041201018,0.0,0.009501575903454983,0.0,0.014226290185718,0.0,0.016375367824521637,0.0,0.002149077638803636,0.0,0.0504241945875354,0.0,0.0638144621196508,0.0,0.013390267532115405,0.0,0.7354738890953785,0.0,0.5817250278066677,0.0,-0.1537488612887108,0.0,0.8750788149896123,0.0,0.7794831922548733,0.0,-0.09559562273473898,0.0,,,0.07444645942355088,0.0,,,0.013489381480046206,0.0,25.7467201104844,0.0,0.013489381480046206,0.0,25.7467201104844,0.0
Univariate_G_API_k2_no_smap_fs60,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Univariate_G_API_k2_c0_0_c1_0,1,0,1,0.0576472111198825,0.0,0.07587279556578466,0.0,0.018225584445902165,0.0,0.0514315459948391,0.0,0.06919646295825166,0.0,0.017764916963412557,0.0,0.0209833662292066,0.0,0.0594314010521474,0.0,0.0384480348229408,0.0,0.0536926372195601,0.0,0.04716555603346754,0.0,-0.006527081186092562,0.0,-0.5012643622173723,0.0,-1.600595125250973,0.0,-1.0993307630336007,0.0,-0.0815241878192231,0.0,0.0553750923000777,0.0,0.1368992801193008,0.0,,,0.045601098861129855,0.0,,,0.018225584445902165,0.0,31.615726228282654,0.0,-0.018225584445902165,0.0,-31.615726228282654,0.0
Univariate_G_API_k2_no_smap_fs60,WA temporal,WA degradation,wa_temporal,temporal_full,Univariate_G_API_k2_c0_0_c1_0,1,0,1,0.0488930602212781,0.0,0.06925423035370101,0.0,0.02036117013242291,0.0,0.0379484275482842,0.0,0.05630877616914197,0.0,0.018360348620857767,0.0,0.0100684505749054,0.0,0.01146604690156491,0.0,0.0013975963266595094,0.0,0.047845142290751,0.0,0.06829844939919644,0.0,0.020453307108445437,0.0,0.7696316887965589,0.0,0.5378096096215754,0.0,-0.23182207917498343,0.0,0.8837694445102533,0.0,0.787403590936068,0.0,-0.09636585357418526,0.0,,,0.14182320669514023,0.0,,,0.02036117013242291,0.0,41.6442947941348,0.0,0.02036117013242291,0.0,41.6442947941348,0.0
