model_id,old_model_id,seed,dataset,window,old_rmse,new_rmse,change_rmse,old_mae,new_mae,change_mae,old_bias,new_bias,change_bias,old_ubrmse,new_ubrmse,change_ubrmse,old_r2,new_r2,change_r2,old_pearson,new_pearson,change_pearson,old_diff_pearson,new_diff_pearson,change_diff_pearson
Seasonal_Binary_k2_no_smap_fs60,Seasonal_Binary_k2_no_smap,42,wa_temporal,temporal_full,0.051501866553213684,0.06619184834957134,0.014689981796357658,0.03936119378844777,0.0530343008460235,0.013673107057575733,0.004086454825440888,0.012519161423959728,0.00843270659851884,0.05133948914261478,0.06499716443948528,0.013657675296870495,0.7443921215401526,0.5777814456859383,-0.1666106758542143,0.8652714238984948,0.8065644478393159,-0.05870697605917885,0.34907111789494255,0.20586588235510883,-0.14320523553983372
Seasonal_Binary_k2_no_smap_fs60,Seasonal_Binary_k2_no_smap,42,ece_spatial,spatial_ece_v3_full,0.05658327639888422,0.06850972599737803,0.011926449598493816,0.045874649262278126,0.06290972441416853,0.017035075151890407,0.007117379564116645,0.048627007711003464,0.04150962814688682,0.056133858554109954,0.04825967962295052,-0.007874178931159437,-0.4463611715062994,-1.1203376891828731,-0.6739765176765737,0.009464567484624058,-0.18829574353753897,-0.19776031102216304,0.004785638815951641,0.14571333277871953,0.14092769396276789
Global_Single_40_no_smap_fs40,Global_Single_54_no_smap,42,wa_temporal,temporal_full,0.050644798181296066,0.07375101239804631,0.023106214216750243,0.038851890553088346,0.05966403662256244,0.020812146069474097,0.003882324567806291,0.010949531562720867,0.0070672069949145756,0.050495773474365326,0.07293366567157968,0.02243789219721435,0.7528287312176475,0.4758395241759972,-0.2769892070416503,0.8698304759495217,0.8608371379021666,-0.008993338047355026,0.37323047917381236,0.2024802582259963,-0.17075022094781606
Global_Single_40_no_smap_fs40,Global_Single_54_no_smap,42,ece_spatial,spatial_ece_v3_full,0.057319734415355934,0.09769526925100953,0.0403755348356536,0.04688834206542999,0.08872109971345035,0.041832757648020365,0.0032970007837516526,0.08589214549270296,0.08259514470895131,0.057224834986908266,0.04655002660243702,-0.010674808384471247,-0.48425633366273946,-3.3116911081670146,-2.827434774504275,-0.03341649029599605,0.1452429631106007,0.17865945340659675,-0.019026097824807273,0.09155630605620253,0.1105824038810098
Global_Single_50_no_smap_fs50,Global_Single_54_no_smap,42,wa_temporal,temporal_full,0.050644798181296066,0.07329647799691359,0.022651679815617526,0.038851890553088346,0.05906455752280544,0.020212666969717095,0.003882324567806291,0.013246448556894226,0.009364123989087935,0.050495773474365326,0.0720895643445124,0.021593790870147074,0.7528287312176475,0.4822805148795656,-0.2705482163380819,0.8698304759495217,0.8781356991720556,0.008305223222533908,0.37323047917381236,0.24819937913464504,-0.12503110003916731
Global_Single_50_no_smap_fs50,Global_Single_54_no_smap,42,ece_spatial,spatial_ece_v3_full,0.057319734415355934,0.09587505066139636,0.03855531624604042,0.04688834206542999,0.0879011543606072,0.04101281229517722,0.0032970007837516526,0.08374752040512388,0.08045051962137223,0.057224834986908266,0.046673098947023824,-0.010551736039884442,-0.48425633366273946,-3.1525204965237297,-2.66826416286099,-0.03341649029599605,0.12658803684093498,0.16000452713693103,-0.019026097824807273,0.01703837102922231,0.036064468854029585
Global_Single_60_no_smap_fs60,Global_Single_54_no_smap,42,wa_temporal,temporal_full,0.050644798181296066,0.07534451078090465,0.024699712599608584,0.038851890553088346,0.060459923204860655,0.02160803265177231,0.003882324567806291,0.013139565919803312,0.009257241351997021,0.050495773474365326,0.074189939427479,0.023694165953113668,0.7528287312176475,0.4529443196422279,-0.29988441157541956,0.8698304759495217,0.8480218441303338,-0.021808631819187907,0.37323047917381236,0.20576376904503854,-0.16746671012877382
Global_Single_60_no_smap_fs60,Global_Single_54_no_smap,42,ece_spatial,spatial_ece_v3_full,0.057319734415355934,0.09588675416764855,0.03856701975229262,0.04688834206542999,0.08781352620559735,0.04092518414016736,0.0032970007837516526,0.08327282057014133,0.07997581978638968,0.057224834986908266,0.047538478931283795,-0.00968635605562447,-0.48425633366273946,-3.1535343581177724,-2.669278024455033,-0.03341649029599605,-0.020205676603864072,0.013210813692131975,-0.019026097824807273,0.011833031891444778,0.03085912971625205
Global_Single_69_no_smap_fs69,Global_Single_54_no_smap,42,wa_temporal,temporal_full,0.050644798181296066,0.0756227671265964,0.024977968945300327,0.038851890553088346,0.06068197205140511,0.021830081498316764,0.003882324567806291,0.013757871046869383,0.009875546479063092,0.050495773474365326,0.07436076850155021,0.023864995027184886,0.7528287312176475,0.4488961733477973,-0.3039325578698502,0.8698304759495217,0.8390657687446981,-0.030764707204823605,0.37323047917381236,0.18897288625746886,-0.1842575929163435
Global_Single_69_no_smap_fs69,Global_Single_54_no_smap,42,ece_spatial,spatial_ece_v3_full,0.057319734415355934,0.10131204370255106,0.04399230928719513,0.04688834206542999,0.09252239961657859,0.0456340575511486,0.0032970007837516526,0.08881944532997435,0.0855224445462227,0.057224834986908266,0.048736396363121826,-0.00848843862378644,-0.48425633366273946,-3.63684655532544,-3.1525902216627006,-0.03341649029599605,-0.49989505515436217,-0.46647856485836614,-0.019026097824807273,0.10586573448100586,0.12489183230581313
