model_id,feature_size,before_model_id,after_model_id,seed,split,dataset,window,rmse_before,rmse_after,rmse_change_after_minus_before,rmse_effect,rmse_effect_pct,pearson_before,pearson_after,pearson_change,diff_pearson_before,diff_pearson_after,diff_pearson_change
Global_Single_60_no_smap_fs60,60,Global_Single_54_no_smap,Global_Single_60_no_smap_fs60,7,WA temporal,wa_temporal,temporal_full,0.05064259512470293,0.05381330837686976,0.0031707132521668346,0.0031707132521668346,6.260961240945952,0.8696875184511345,0.8557058708862963,-0.013981647564838107,0.37287274230972467,0.35127074538675873,-0.021601996922965938
Global_Single_60_no_smap_fs60,60,Global_Single_54_no_smap,Global_Single_60_no_smap_fs60,13,ECE spatial,ece_spatial,spatial_ece_v3_full,0.057843545778144066,0.050881041166893855,-0.0069625046112502115,0.0069625046112502115,12.036787367694469,-0.03342179280984729,-0.012227827993691187,0.021193964816156104,-0.07764845012502827,-0.01163949854677518,0.0660089515782531
Global_Single_60_no_smap_fs60,60,Global_Single_54_no_smap,Global_Single_60_no_smap_fs60,13,WA temporal,wa_temporal,temporal_full,0.05048525560927242,0.053451288741965634,0.0029660331326932174,0.0029660331326932174,5.875048262900067,0.870600637093967,0.8572025502867257,-0.013398086807241305,0.3732945043546627,0.3516585424235475,-0.021635961931115222
Global_Single_60_no_smap_fs60,60,Global_Single_54_no_smap,Global_Single_60_no_smap_fs60,42,ECE spatial,ece_spatial,spatial_ece_v3_full,0.057319734415355934,0.050019542278166296,-0.007300192137189639,0.007300192137189639,12.735914099479706,-0.03341649029599605,-0.016562173573985026,0.01685431672201102,-0.019026097824807273,-0.024224508939860466,-0.005198411115053193
Global_Single_60_no_smap_fs60,60,Global_Single_54_no_smap,Global_Single_60_no_smap_fs60,42,WA temporal,wa_temporal,temporal_full,0.050644798181296066,0.05374518530678892,0.0031003871254928553,0.0031003871254928553,6.121827387670147,0.8698304759495217,0.855723229553296,-0.014107246396225626,0.37323047917381236,0.3530117302585014,-0.020218748915310947
Global_Single_69_no_smap_fs69,69,Global_Single_54_no_smap,Global_Single_69_no_smap_fs69,7,ECE spatial,ece_spatial,spatial_ece_v3_full,0.05657252114316882,0.05057002601547768,-0.006002495127691139,0.006002495127691139,10.610266267788466,-0.024970665786892228,-0.11178326063993328,-0.08681259485304105,-0.04152809140105351,0.05167909532862589,0.0932071867296794
Global_Single_69_no_smap_fs69,69,Global_Single_54_no_smap,Global_Single_69_no_smap_fs69,7,WA temporal,wa_temporal,temporal_full,0.05064259512470293,0.054111610559729385,0.003469015435026458,0.003469015435026458,6.849995397124324,0.8696875184511345,0.8531006937701376,-0.016586824680996815,0.37287274230972467,0.3424110841687242,-0.03046165814100049
Global_Single_69_no_smap_fs69,69,Global_Single_54_no_smap,Global_Single_69_no_smap_fs69,13,ECE spatial,ece_spatial,spatial_ece_v3_full,0.057843545778144066,0.05033022223128982,-0.007513323546854245,0.007513323546854245,12.989043886886204,-0.03342179280984729,-0.11224574612029004,-0.07882395331044274,-0.07764845012502827,0.023788251798526654,0.10143670192355493
Global_Single_69_no_smap_fs69,69,Global_Single_54_no_smap,Global_Single_69_no_smap_fs69,13,WA temporal,wa_temporal,temporal_full,0.05048525560927242,0.05404249091754497,0.003557235308272552,0.003557235308272552,7.046087546438429,0.870600637093967,0.8538762170524143,-0.016724420041552612,0.3732945043546627,0.34143513192045977,-0.03185937243420295
Global_Single_69_no_smap_fs69,69,Global_Single_54_no_smap,Global_Single_69_no_smap_fs69,42,ECE spatial,ece_spatial,spatial_ece_v3_full,0.057319734415355934,0.05023865364077765,-0.007081080774578287,0.007081080774578287,12.353652449375739,-0.03341649029599605,-0.18860949054888337,-0.15519300025288732,-0.019026097824807273,0.05282338655841864,0.07184948438322591
Global_Single_69_no_smap_fs69,69,Global_Single_54_no_smap,Global_Single_69_no_smap_fs69,42,WA temporal,wa_temporal,temporal_full,0.050644798181296066,0.05415106419513737,0.003506266013841304,0.003506266013841304,6.923250046904568,0.8698304759495217,0.8530055718907226,-0.016824904058799106,0.37323047917381236,0.3436961097604981,-0.029534369413314276
