model_id,seed,dataset,window,scope,n,rmse,mae,bias,ubrmse,r2,pearson,target_std,prediction_std,diff_pearson
Clustering_Backbone_k2_no_smap_fs60,7,wa_temporal,temporal_summer_2025,Paradise_WA,31,0.020735256821192382,0.015051598091279263,0.015051598091279263,0.014261846666522665,-31.750696837239516,0.4440185887383663,0.0036232570534448965,0.015496215675427217,-0.07570690827132862
Clustering_Backbone_k2_no_smap_fs60,7,wa_temporal,temporal_summer_2025,Quinault,31,0.02593380270209181,0.022003883075329595,-0.021186501228040295,0.014956412949142303,0.7244324137076961,0.953545324372369,0.04940286510036508,0.04562371440399371,0.922684015846484
Clustering_Backbone_k2_no_smap_fs60,7,wa_temporal,temporal_summer_2025,Spokane,31,0.022441849250569332,0.019845105501913214,0.019845105501913214,0.0104789496326308,-10.400451558667108,-0.3498648147279896,0.006646570473821484,0.006103061158149332,0.03848130124776355
Clustering_Backbone_k2_no_smap_fs60,13,ece_spatial,spatial_ece_v3_full,__pooled__,150,0.07472034486138886,0.06092682966610275,0.02947635815349246,0.0686605727198071,-1.5221929486704031,-0.3002420337310913,0.047048925994675826,0.037837561742929876,-0.008278483181513141
Clustering_Backbone_k2_no_smap_fs60,13,ece_spatial,spatial_ece_v3_full,ECE_BBG_Lost_Meadow,30,0.02385055389163506,0.018911908748970856,0.016652405682241862,0.017074727111489284,-8.761529417112861,-0.33706863245970187,0.0076337781694800315,0.012915360066905912,0.023968909609896845
Clustering_Backbone_k2_no_smap_fs60,13,ece_spatial,spatial_ece_v3_full,ECE_BBG_Main_St,30,0.1132728957426224,0.10694353612933316,0.10694353612933316,0.03733401920598716,-407.89634677839217,-0.2882506575796897,0.005601694085779239,0.035331989088153014,-0.1645707766496995
Clustering_Backbone_k2_no_smap_fs60,13,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_North,30,0.0780040940403274,0.07445708494051377,-0.07445708494051377,0.02325470251827271,-8.064331820586421,0.46082852379000366,0.02590893130174641,0.015412600450385007,0.008480338684774985
Clustering_Backbone_k2_no_smap_fs60,13,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_Shed,30,0.018715318517158994,0.014547458974896106,0.008468774359601184,0.016689607785831152,-16.150357761556812,-0.02220266735563061,0.004519190312972529,0.0159660863733348,0.10206508745841697
Clustering_Backbone_k2_no_smap_fs60,13,ece_spatial,spatial_ece_v3_full,ECE_Renton_Home,30,0.08989521686895614,0.08977415953679987,0.08977415953679987,0.004663721194267727,-1299.694491325902,0.3513224178766679,0.002492579012857567,0.004913544075826312,-0.1685858463307255
Clustering_Backbone_k2_no_smap_fs60,13,wa_temporal,temporal_full,__pooled__,6620,0.05205523232050045,0.0390009245462828,0.009128449002403474,0.05124859637835747,0.7388698156213125,0.8646181289476266,0.10186754770708609,0.09070259539239126,0.34552604037478063
Clustering_Backbone_k2_no_smap_fs60,13,wa_temporal,temporal_full,BeaverPass_WA_990,626,0.06705425862573243,0.05751940399970107,0.05406918119898616,0.03965850784280484,0.45837850928259827,0.906811888190498,0.0911125960545272,0.07273843661997074,0.17866172204730785
Clustering_Backbone_k2_no_smap_fs60,13,wa_temporal,temporal_full,CayusePass_WA,1081,0.06605081388686315,0.05146925612823704,-0.0014535331037946952,0.06603481851745492,0.6941444299597104,0.8441487027181368,0.11943179963127902,0.08466419961892621,0.08063336679445611
Clustering_Backbone_k2_no_smap_fs60,13,wa_temporal,temporal_full,Darrington,999,0.038487545512659566,0.03032924169976192,0.021953890100494367,0.031611989324375915,0.8303097311439297,0.9474872052689942,0.09343116122790567,0.09884866043870477,0.6071539460257094
Clustering_Backbone_k2_no_smap_fs60,13,wa_temporal,temporal_full,Paradise_WA,1067,0.04566370201055564,0.0367780602016288,0.019567507226330796,0.04125877291263417,0.7847161496557082,0.9151147686989705,0.09841592784423522,0.07876002208232781,0.1008307911483321
Clustering_Backbone_k2_no_smap_fs60,13,wa_temporal,temporal_full,Quinault,1044,0.04202045893611128,0.033798859533850284,-0.0250915987122219,0.033706537099889675,0.633427890414251,0.8741508641876912,0.06940345358458443,0.06084120871823155,0.6994152760263247
Clustering_Backbone_k2_no_smap_fs60,13,wa_temporal,temporal_full,SourdoughGulch_WA_985,906,0.06655344657790943,0.04664273750499121,0.010113752443598302,0.06578049302725128,0.3107554767790457,0.6606779939790646,0.08016483243232275,0.07952941957910449,0.14469054174459572
Clustering_Backbone_k2_no_smap_fs60,13,wa_temporal,temporal_full,Spokane,897,0.03072276252803073,0.02168927033655884,0.0026492722088277583,0.030608323935121015,0.9284475071732412,0.9690827281358461,0.11485446404947203,0.09973690248311358,0.2693220487364053
Clustering_Backbone_k2_no_smap_fs60,13,wa_temporal,temporal_summer_2025,__pooled__,155,0.026879302620709304,0.019609318969326616,0.007774167764571364,0.025730511556204424,0.7259518435939822,0.8668191268341161,0.051345756207705255,0.041940649427324554,0.5464278212544056
Clustering_Backbone_k2_no_smap_fs60,13,wa_temporal,temporal_summer_2025,CayusePass_WA,31,0.021494825405891597,0.00734491842023789,-0.005468442309287343,0.02078758422568046,0.21287379632291048,0.5351550133737005,0.024227674856002995,0.009325614105398169,-0.12284844162081558
Clustering_Backbone_k2_no_smap_fs60,13,wa_temporal,temporal_summer_2025,Darrington,31,0.038500795243104936,0.032402604478020784,0.029779586159413823,0.02440261220700645,-0.4732083093350181,0.7004832722435224,0.03172032440295856,0.03133093410032561,0.6740429051091673
Clustering_Backbone_k2_no_smap_fs60,13,wa_temporal,temporal_summer_2025,Paradise_WA,31,0.02205527883676652,0.016567334594265067,0.016567334594265067,0.014558803144805179,-36.0532931919299,0.3968668220286801,0.0036232570534448965,0.015611815863937676,-0.13198860222372347
Clustering_Backbone_k2_no_smap_fs60,13,wa_temporal,temporal_summer_2025,Quinault,31,0.02639267407845506,0.02212260039198785,-0.021616776583656214,0.015142265852369849,0.7145943826510204,0.9519394017483137,0.04940286510036508,0.04760136099423644,0.9106656622237966
Clustering_Backbone_k2_no_smap_fs60,13,wa_temporal,temporal_summer_2025,Spokane,31,0.022025830829233695,0.01960913696212149,0.01960913696212149,0.010030900822896332,-9.981694822467107,-0.3319150078509472,0.006646570473821484,0.005623905679044751,0.010496872527548069
Clustering_Backbone_k2_no_smap_fs60,42,ece_spatial,spatial_ece_v3_full,__pooled__,150,0.07449281649775136,0.06113794797563744,0.02941813489603027,0.06843795035655745,-1.5068558487454213,-0.31493790700473606,0.047048925994675826,0.03704492028856943,-0.022462897875846797
Clustering_Backbone_k2_no_smap_fs60,42,ece_spatial,spatial_ece_v3_full,ECE_BBG_Lost_Meadow,30,0.02476864741660178,0.019921912931627452,0.0177225201557437,0.01730312613885688,-9.527506318671294,-0.3108943872160016,0.0076337781694800315,0.013335175110600108,0.0018035906519632795
Clustering_Backbone_k2_no_smap_fs60,42,ece_spatial,spatial_ece_v3_full,ECE_BBG_Main_St,30,0.11092794535824087,0.10457943014973159,0.10457943014973159,0.03698853675070538,-391.1418217756699,-0.2852354087206864,0.005601694085779239,0.03499899950521153,-0.1786306561061167
Clustering_Backbone_k2_no_smap_fs60,42,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_North,30,0.07827886782063416,0.07483494684759853,-0.07483494684759853,0.022963272362566633,-8.12830352518868,0.47727910054846545,0.02590893130174641,0.015357773051538083,-0.006225144072080744
Clustering_Backbone_k2_no_smap_fs60,42,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_Shed,30,0.01940714211445026,0.015300505292975667,0.00857072636602068,0.017412059459158382,-17.4417406700495,-0.04386271628418013,0.004519190312972529,0.016618316295907598,0.055653779530449705
