model_id,dataset,window,scope,n_seeds,n_mean,rmse_mean,rmse_std,rmse_median,mae_mean,mae_std,mae_median,bias_mean,bias_std,bias_median,ubrmse_mean,ubrmse_std,ubrmse_median,r2_mean,r2_std,r2_median,pearson_mean,pearson_std,pearson_median,target_std_mean,target_std_std,target_std_median,prediction_std_mean,prediction_std_std,prediction_std_median,diff_pearson_mean,diff_pearson_std,diff_pearson_median
Clustering_Dynamic_k2_no_smap_fs60,ece_spatial,spatial_ece_v3_full,ECE_BBG_Lost_Meadow,3,30.0,0.038472876673678026,0.0007290719943670367,0.03806595888981969,0.03342547484262381,0.0005020430225579914,0.03339596839107004,0.032741759558223296,0.0004652115272170926,0.03276906775736406,0.020195735156379183,0.0008501042978936917,0.02014852432773608,-24.40587816191505,0.9679244512682539,-23.86534430996235,-0.22851774207137576,0.020199566336404233,-0.225261380699477,0.0076337781694800315,0.0,0.0076337781694800315,0.017033032869358988,0.0010517425259709931,0.017005934537231687,0.026900277535953365,0.02041294147078283,0.01987303053703235
Clustering_Dynamic_k2_no_smap_fs60,ece_spatial,spatial_ece_v3_full,ECE_BBG_Main_St,3,30.0,0.036962980963818316,0.00039226772005011547,0.03678119200168779,0.03435849778526779,0.0005030344106507286,0.03407007637295878,0.03435849778526779,0.0005030344106507286,0.03407007637295878,0.013625375325565785,0.0002407046096465907,0.013638019425371078,-42.54394856330626,0.9268235716627744,-42.11345462246267,0.3070306511977598,0.011885423678365398,0.3049727705141627,0.005601694085779239,0.0,0.005601694085779239,0.014258901755591613,0.00024806742703782853,0.014354363314193585,0.14930526973931477,0.027589422683159934,0.13647810012730927
Clustering_Dynamic_k2_no_smap_fs60,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_North,3,30.0,0.07608894637561954,0.0012648248091297414,0.07598862841362755,0.0697502451373214,0.0013036017514461468,0.0700325770245401,-0.0697502451373214,0.0013036017514461468,-0.0700325770245401,0.030396071720389106,0.0008156199961224822,0.030623616680405644,-7.626291667879535,0.28702138316485026,-7.601975718414282,-0.10806077639826456,0.04834877035774548,-0.12790579683135084,0.025908931301746412,4.2491873609703695e-18,0.02590893130174641,0.013321876914302864,0.0005291468294414325,0.013344882782365,0.03544524481484798,0.019314501428722427,0.04074130440517765
Clustering_Dynamic_k2_no_smap_fs60,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_Shed,3,30.0,0.015449685559675283,0.001035972059206229,0.015106832917035707,0.01296801468881461,0.0014091922809438325,0.012192555445623,0.008645595180833444,0.0017860892018422693,0.00829531937954569,0.012737676173815687,0.0006559220990433054,0.012808495724007959,-10.722436735654847,1.5907372357058125,-10.174435426022052,0.2725085018444648,0.015242833520856166,0.26726159636346025,0.004519190312972529,0.0,0.004519190312972529,0.013202830478941148,0.0006391615053023557,0.013220098175686628,0.11997099824386115,0.04900686930654378,0.09326166902392133
Clustering_Dynamic_k2_no_smap_fs60,ece_spatial,spatial_ece_v3_full,ECE_Renton_Home,3,30.0,0.07301546088129338,0.0014041740579803796,0.07265383851281616,0.07198045016597486,0.001346604783208571,0.07156910344565023,0.07198045016597486,0.001346604783208571,0.07156910344565023,0.012245597226067079,0.0005786757514304403,0.012507744905944649,-857.2995004633676,33.11887296565545,-848.6093056699222,-0.03164521136991714,0.0568336668783744,-0.04642676506460114,0.002492579012857567,0.0,0.002492579012857567,0.011910744664183966,0.0004657320043322012,0.012059993352796193,0.04403212323868059,0.048668561006768245,0.03218820071042865
Clustering_Dynamic_k2_no_smap_fs60,ece_spatial,spatial_ece_v3_full,__pooled__,3,150.0,0.053308497860111596,0.0003778819959174673,0.05335908025503663,0.04449653652400049,0.00019732762854837753,0.044517442290222704,0.015595211510595591,0.0007323985447359154,0.015371730186611659,0.05097224537045991,0.00047924219024662824,0.05077198545604242,-0.2838314489730806,0.018187809011589253,-0.28622587505968,-0.13264844009037988,0.018511735818813043,-0.12476055472834856,0.047048925994675826,0.0,0.047048925994675826,0.014321516814199289,0.0006242324259306839,0.014276282986200999,0.038249716408818926,0.014586782710952187,0.04576150679662633
Clustering_Dynamic_k2_no_smap_fs60,wa_temporal,temporal_full,BeaverPass_WA_990,3,626.0,0.06612316738507797,0.00031086254920565585,0.06621272583572223,0.0576798148567176,0.0002817108686917387,0.05773715117345219,0.05617090324046636,0.0002117974168334715,0.05618818625864888,0.034886844411593905,0.00026124539878527234,0.03502874230628183,0.47330783941525917,0.004947555601144201,0.47188793138032026,0.9377723064907881,0.0007471265987846356,0.9375331034744638,0.0911125960545272,0.0,0.0911125960545272,0.07074342621732987,0.0003168281098145765,0.0706683035553817,0.3855035885805589,0.0051724096560577795,0.384861305230093
Clustering_Dynamic_k2_no_smap_fs60,wa_temporal,temporal_full,CayusePass_WA,3,1081.0,0.05691629845152974,0.0003367249026577847,0.057047460177348915,0.045366710941750356,0.0003331740156815314,0.045483535131406815,0.003755268053860676,0.00035943753033840063,0.0037027793062934886,0.0567915123000235,0.00033892659554054025,0.05689718041227731,0.772886224590684,0.002683273257281564,0.7718435898934475,0.892931874273612,0.001333568666374061,0.8922648064273335,0.11943179963127902,0.0,0.11943179963127902,0.08835847376643129,0.00040426572976324235,0.08853339390135768,0.07751170976351958,0.0027661781077690075,0.07690287479704379
Clustering_Dynamic_k2_no_smap_fs60,wa_temporal,temporal_full,Darrington,3,999.0,0.044732115833187945,0.0005362728029894501,0.04451176133778941,0.035321468979925705,0.00035880355520116124,0.03520114367305335,0.024465634408079032,0.0005180815472048192,0.02434957270418198,0.037447868880253844,0.0003118243200739949,0.03727458165778836,0.770756516534851,0.005512947359771631,0.7730312497811193,0.9234464015604958,0.0012681393107743,0.9241410798158486,0.09343116122790567,0.0,0.09343116122790567,0.0970966973764873,5.7771450632798004e-05,0.09711830520123403,0.5639400329540195,0.0017279076024526517,0.5643387461200173
Clustering_Dynamic_k2_no_smap_fs60,wa_temporal,temporal_full,Paradise_WA,3,1067.0,0.049554511686295176,0.00023905844118430472,0.049665743751058214,0.03845160345869561,0.0001966513734437532,0.03841712454092647,0.023847741072232222,0.0003710149826166812,0.02396087918833467,0.04343819941934369,7.781360658740568e-05,0.04345887043521358,0.7464624102950381,0.0024429429389465985,0.7453268826170725,0.8985129308767533,0.0003836349232091999,0.8983024134844392,0.09841592784423521,1.6996749443881478e-17,0.09841592784423522,0.08388153278579409,0.00019512913133402658,0.08389658688109351,0.0845405011374924,0.0010696147569708944,0.08416410990270419
Clustering_Dynamic_k2_no_smap_fs60,wa_temporal,temporal_full,Quinault,3,1044.0,0.04489292233921458,0.0003650147510305576,0.044915452513758884,0.036684771117503324,0.0003916423139630608,0.03663302947363864,-0.02714060958009573,0.0007806622288674935,-0.027199655980842355,0.03575517359920217,0.00013351124527493088,0.03574320339644386,0.5815797153677601,0.0068013388991830835,0.581178088000322,0.8592046844178385,0.001104657038080321,0.8593110890393452,0.06940345358458443,0.0,0.06940345358458443,0.06382170865359542,2.858073448421752e-05,0.06383037440701592,0.6491937938647624,0.0072985356729826515,0.6493520681215436
Clustering_Dynamic_k2_no_smap_fs60,wa_temporal,temporal_full,SourdoughGulch_WA_985,3,906.0,0.06757771604117298,0.00011057779511114021,0.06753047146994523,0.049636937271943425,0.00012747469252836593,0.049628237542661345,0.00601823286390898,0.0003149175720692259,0.005873353854380927,0.0673087369999426,8.250688559769397e-05,0.06727457388534182,0.2893757621795739,0.0023265895316253167,0.290370297170221,0.6591744483500933,0.0011484351265703538,0.6593747991870164,0.08016483243232275,0.0,0.08016483243232275,0.08278281569962322,8.333784517499111e-05,0.08275025701385454,0.1630792745329266,0.0013113413522072512,0.16305345839830912
Clustering_Dynamic_k2_no_smap_fs60,wa_temporal,temporal_full,Spokane,3,897.0,0.030425013895762007,0.00021975217307084052,0.03047715633720658,0.023584104931031122,0.00013488455401735282,0.02361520704743321,0.009010676025945569,0.0002912179510475729,0.009122832273626239,0.029059447544187312,0.00014152007503284502,0.02907973503506892,0.9298252433499098,0.0010124456385633732,0.9295869548750124,0.9711466527133888,0.00033954179158927585,0.9710426026369207,0.11485446404947203,0.0,0.11485446404947203,0.10183463789483438,6.232789257657284e-05,0.10182769920706813,0.27980265753411865,0.007324133159024017,0.28215363670843707
Clustering_Dynamic_k2_no_smap_fs60,wa_temporal,temporal_full,__pooled__,3,6620.0,0.05204341886924424,2.3855667061279143e-05,0.05204454754770621,0.040164334647719103,3.8396540412900366e-05,0.040169144827325524,0.0112249905832104,0.00019529973818860355,0.011151441510197226,0.050818195406515776,6.709361035928333e-05,0.05083581691770186,0.7389882877490148,0.00023928122984881247,0.7389770029382456,0.8673341248088463,0.00038211421029420747,0.8671904125085587,0.1018675477070861,1.6996749443881478e-17,0.10186754770708609,0.09178490280658724,0.00011570165440665905,0.09183355169014766,0.3321611621853134,0.0017676443901534277,0.33197735148397584
Clustering_Dynamic_k2_no_smap_fs60,wa_temporal,temporal_summer_2025,CayusePass_WA,3,31.0,0.023702610991134132,0.00043852716010436306,0.02358340686445734,0.010139256119728062,0.0005333448609365232,0.009866638548912518,-0.0018918923575391494,0.00023117684488505952,-0.0019175628923601194,0.02362604627815156,0.0004533606591620481,0.02348890190851059,0.04265604845008083,0.03553997717793012,0.05247732048813847,0.24273909596844565,0.05373931090173443,0.2601788684843406,0.024227674856002995,0.0,0.024227674856002995,0.00831996853569635,8.829285319113863e-05,0.008282716006711653,-0.12646935795594416,0.05566607824377097,-0.10509152204462721
Clustering_Dynamic_k2_no_smap_fs60,wa_temporal,temporal_summer_2025,Darrington,3,31.0,0.03528567411783912,0.0008400389673243865,0.035116453476391835,0.028329657618717446,0.0004430870216116633,0.028307264618335198,0.024251502507476357,0.00020722667791139905,0.024249232163352306,0.025627495715835034,0.0009617971164364058,0.025399607167187296,-0.23790028023778356,0.05912298133892832,-0.22559239359086947,0.6378818665441796,0.024981897610547928,0.6407371209848033,0.03172032440295856,0.0,0.03172032440295856,0.02799077892671971,0.00046300020521678213,0.027970232132818015,0.31740303137789816,0.05711123898566455,0.305080795826453
