Year,Configuration,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson
2025,High Capacity Depth 10 (MAE),0.6537171988633754,0.061631363392694975,0.060125777738683356,-0.013539416826933359,0.0457010127412285,0.03208814412355422,0.8191134724683727
2025,High Capacity Depth 12 (MAE),0.6483620482956083,0.06210608952885486,0.060546653861127876,-0.013830005807505307,0.0467225135563611,0.03426683652400972,0.81604513730203
2025,High Capacity Min Child Weight 1 (MAE),0.6328259300739879,0.06346325103250858,0.06261366939410438,-0.010349523593321905,0.04791382647871828,0.035076507568359366,0.8026640303291606
2025,High Capacity Low Reg (MAE),0.6518725333489888,0.061795302007554884,0.06062374166099874,-0.011975863159144276,0.04595520611858969,0.0321002603173256,0.8165054482257537
2025,Low Capacity Depth 6 (MAE),0.6187452157196867,0.06466867538527936,0.06367921643482587,-0.011269204529685328,0.04850176815202592,0.03611981570720672,0.7963560003145499
2025,Low Capacity Depth 4 (MAE),0.6154727623561889,0.0649456201696668,0.06435115601519432,-0.008767114726275135,0.04936158591126307,0.03619671493768693,0.7899663573034243
2025,Low Capacity High Reg (MAE),0.6381106630048535,0.0630048827448813,0.061850723196582975,-0.012004302951385727,0.047177004248882125,0.034830870330333705,0.8080247186447548
2025,Low Capacity Sampling (MAE),0.6419819948081111,0.06266697746317972,0.06139046102814163,-0.012584171075555825,0.046111687092261135,0.03198095965385436,0.8110862411982938
2025,Baseline (MSE),0.642230911229188,0.06264518868190638,0.061807137063476306,-0.0102126133535281,0.04576276412718982,0.03229670202732085,0.8110229259671715
2025,Huber Slope 1.0,0.6372197424219228,0.06308238964561692,0.06236905698008723,-0.009459841940835342,0.04604767907553429,0.03171057894825935,0.8078696185424811
2025,Huber Slope 0.1,0.5971671258094184,0.0664735337705088,0.06541216373141313,-0.011831294381655482,0.05035537520143463,0.03694194841384886,0.785442037781336
2025,Huber Slope 5.0,0.6433431881009929,0.06254773331536545,0.061606183216259755,-0.010811897549805063,0.04537804657257228,0.0315017842054367,0.8127670763224585
2025,High Capacity Depth 10 (MSE),0.6365943223952084,0.0631367421079594,0.06220336343692092,-0.010816181461402086,0.04578602412650831,0.031790774837136285,0.8078097869117771
2025,High Capacity Depth 12 (MSE),0.6314174491483802,0.06358485714238837,0.06293029471656818,-0.00910011324482717,0.04589150194874446,0.03123059260845186,0.8026068274181056
2025,Low Capacity Depth 6 (MSE),0.6408114813975917,0.06276933639358129,0.06171414428438725,-0.011460976625335594,0.04671527520024491,0.03526563775539396,0.8113093095794878
2025,Low Capacity Depth 4 (MSE),0.6217237943863813,0.06441556586731102,0.06364523436089778,-0.009932233976547697,0.04850737789046285,0.03575877991318703,0.7974807799430216
