config_id,seed,station,n_test,r2,rmse,ubrmse,bias,mae,pearson
Guarded_Backbone54_k2_c0_0_c1_0,808,Darrington,999,0.816523733578746,0.04002042474847078,0.031966690419715844,0.024078311831564513,0.033548982362071794,0.9454605641675072
Guarded_Backbone54_k2_c0_0_c1_0,808,Paradise_WA,1067,0.8446431845053569,0.03879096168289152,0.038273901265416244,0.006312463085731839,0.030692910615428094,0.9216564485031942
Guarded_Backbone54_k2_c0_0_c1_0,808,Quinault,1044,0.6965029934275346,0.03823475290588142,0.03373683096690026,-0.01799229185191836,0.03129583269374809,0.8743997472530507
Guarded_Backbone54_k2_c0_0_c1_0,808,SourdoughGulch_WA_985,906,0.5318300684815918,0.05485113869316848,0.05477280267850269,-0.0029304441095187985,0.03884970875160057,0.783030823799446
Guarded_Backbone54_k2_c0_0_c1_0,808,Spokane,897,0.9539716710110036,0.024641122279065432,0.02464045968107125,-0.00018070383879917765,0.017319227041209424,0.9807659872080169
Guarded_Backbone54_k2_c0_0_c1_0,1618,BeaverPass_WA_990,626,0.6196721056855234,0.05618980314136867,0.031862946119911195,0.046282249746802506,0.049294055446649124,0.9368582912067609
Guarded_Backbone54_k2_c0_0_c1_0,1618,CayusePass_WA,1081,0.7987100279617031,0.05358349611058624,0.053554391800566266,0.0017658352994124812,0.04239296250846185,0.8975851310296469
Guarded_Backbone54_k2_c0_0_c1_0,1618,Darrington,999,0.8231412476591866,0.039292080493249726,0.031597580008911684,0.023355096383197407,0.03286077193210313,0.9466085117604102
Guarded_Backbone54_k2_c0_0_c1_0,1618,Paradise_WA,1067,0.83844026100675,0.039557784726780496,0.03899868525519399,0.006627283067488737,0.03142169775444431,0.9185317172005915
Guarded_Backbone54_k2_c0_0_c1_0,1618,Quinault,1044,0.6977678778398657,0.03815499423062026,0.033637421602512416,-0.018009093610548425,0.03119337019923775,0.8751351895587708
Guarded_Backbone54_k2_c0_0_c1_0,1618,SourdoughGulch_WA_985,906,0.5308996152640593,0.05490561793503737,0.05482475296683634,-0.002978815696492102,0.03861151858328721,0.7845692422578243
Guarded_Backbone54_k2_c0_0_c1_0,1618,Spokane,897,0.9537719525465578,0.024694523742411406,0.024681808905170913,-0.0007923459049850002,0.017184516839093323,0.9805092605438833
Guarded_Backbone54_k2_c0_0_c1_0,2357,BeaverPass_WA_990,626,0.6183379225898572,0.05628827324513117,0.0321139010420861,0.04622842269402722,0.04955722038709698,0.9358432542849616
Guarded_Backbone54_k2_c0_0_c1_0,2357,CayusePass_WA,1081,0.8053217569098972,0.05269612559581451,0.05264198167718933,0.002388182972119318,0.04169119900393332,0.9014908267436403
Guarded_Backbone54_k2_c0_0_c1_0,2357,Darrington,999,0.8231689778205358,0.039289000016795694,0.03117400746728689,0.02391248169365349,0.03302197050022052,0.9483408548695658
Guarded_Backbone54_k2_c0_0_c1_0,2357,Paradise_WA,1067,0.8439132864557093,0.0388819788342436,0.038149783461181155,0.0075101464653864235,0.031015347943757335,0.9224521849956384
Guarded_Backbone54_k2_c0_0_c1_0,2357,Quinault,1044,0.7062105216445698,0.0376183030674933,0.03319172650094361,-0.017704406727262385,0.03080458418476856,0.8784794988499575
Guarded_Backbone54_k2_c0_0_c1_0,2357,SourdoughGulch_WA_985,906,0.548029934839999,0.053893789892318446,0.05379941804593971,-0.003187978493588388,0.03795736323866096,0.7899563017627458
Guarded_Backbone54_k2_c0_0_c1_0,2357,Spokane,897,0.9542190215016931,0.02457482393269267,0.02456427085174286,-0.0007201172439682574,0.01744425832833202,0.9811734023042037
Guarded_Backbone54_k2_c0_0_c1_0,3333,BeaverPass_WA_990,626,0.6121320862654269,0.05674405243888256,0.03200955266308571,0.04685377279895181,0.04982168257569733,0.9363099149505681
Guarded_Backbone54_k2_c0_0_c1_0,3333,CayusePass_WA,1081,0.7989542090730525,0.05355098567820114,0.05350604275493356,0.002193503091888885,0.04229204042271042,0.8969264356319716
Guarded_Backbone54_k2_c0_0_c1_0,3333,Darrington,999,0.8232073033491416,0.03928474212903143,0.03109051359161922,0.024013973614415367,0.033118978062131856,0.9488854546861347
Guarded_Backbone54_k2_c0_0_c1_0,3333,Paradise_WA,1067,0.8387353499396828,0.03952164206015855,0.038891454362615055,0.0070295781304373734,0.0314266756705402,0.9189175550015377
Guarded_Backbone54_k2_c0_0_c1_0,3333,Quinault,1044,0.6978297036139325,0.038151091464283075,0.0337504105784149,-0.017788073692913256,0.03128232401969104,0.87432414734713
