config_id,strategy_name,seed,station,n_train_total,n_test,r2,rmse,ubrmse,bias,mae,pearson
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,7,Paradise_WA,12419,1067,0.7762557065936908,0.04655232487354893,0.03995841389576844,0.023883971823524287,0.036677245242191236,0.9149107980465939
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,7,Quinault,12448,1044,0.5720079944661474,0.045404501341528264,0.04536479643902453,0.0018984167399991058,0.03610390870153219,0.8724479470670428
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,7,SourdoughGulch_WA_985,12417,906,0.3668822857391699,0.06378611060531326,0.05750053013402205,-0.027610812021012336,0.050523310347634964,0.7324436570813325
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,7,Spokane,12815,897,0.6070382324780466,0.07199843042654468,0.056347336157122035,0.04481909963265976,0.061906924332796265,0.89741780684333
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,13,BeaverPass_WA_990,12423,626,0.7587253158714995,0.04475425158820963,0.04009110987032715,0.019890850775824566,0.03522456099688054,0.9028258614703017
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,13,CayusePass_WA,12566,1081,0.6870062948839839,0.06681712393489088,0.06545665207544439,0.013414721391247334,0.05337848572539136,0.8453151970697842
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,13,Darrington,12560,999,0.7037705700762239,0.05085174353339478,0.04328990361625973,0.026681155621170165,0.04132741902820818,0.9006329383864857
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,13,Paradise_WA,12419,1067,0.7797265821089243,0.04618983773534615,0.03956948453401154,0.02382765208177736,0.03592471480514809,0.9161305378468061
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,13,Quinault,12448,1044,0.572084259603278,0.04540045578138828,0.04538154643391348,0.0013102016731582837,0.036052375303888225,0.8741304081332921
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,13,SourdoughGulch_WA_985,12417,906,0.378024327168742,0.06322234325862455,0.05663249502399838,-0.028103828822211185,0.05029697079341406,0.738932124128323
