config_id,strategy_name,seed,n_train_total,n_test,train_time_s,r2,rmse,ubrmse,bias,mae,pearson
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,101,14608,6620,237.66756746498868,0.8112567789417778,0.04425593622054963,0.043897957186579975,0.005617583608861415,0.0340279486153241,0.9031606056711631
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,202,14608,6620,317.193074580282,0.8116773742314835,0.04420659876739946,0.04380328200285935,0.005957840242891872,0.033957214227967034,0.9035903156233062
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,303,14608,6620,274.72126908088103,0.8119130904610234,0.04417892425025797,0.04378506402919938,0.005886044161314328,0.033929224403053966,0.9037173629225803
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,404,14608,6620,235.2099355990067,0.8135458133506339,0.0439867546760649,0.04362497498042043,0.0056299329383225575,0.03385585582739817,0.9042821368084611
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,505,14608,6620,225.37234536511824,0.8126168737136226,0.04409619247752597,0.043631372685775625,0.006385726941388177,0.033943742811355704,0.9042375401968278
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,606,14608,6620,213.1794310263358,0.8107668984898152,0.04431333184125143,0.04390355492596864,0.006012424114724658,0.03409481734020292,0.9031112588467956
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,707,14608,6620,268.52976475609466,0.8109132258421082,0.04429619555150013,0.04392539464827434,0.005719496947292834,0.034104920793516035,0.9029257140711059
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,909,14608,6620,209.44498674478382,0.8116194715859594,0.04421339423949163,0.04381970255011909,0.005887095939068633,0.03394608938294235,0.9034987932318559
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,1111,14608,6620,212.49303044984117,0.8135881460396459,0.04398176100082579,0.04355600863439251,0.006104867940789981,0.03380819253396592,0.9046182696336139
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,2222,14608,6620,218.07693987200037,0.8122950150885899,0.04413404714152321,0.04374892981994569,0.005817667633997347,0.03387797284835775,0.9037801016597693
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,42,14608,6620,218.77622271934524,0.8142048107221804,0.0439089532214443,0.04352898585614261,0.005763988492243958,0.033780127754618396,0.9048446516684987
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,7,14608,6620,263.8975570658222,0.8118410927008959,0.044187379063152676,0.04375412740015363,0.0061725848655055995,0.0339791319131401,0.9038735618012907
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,13,14608,6620,243.93715515220538,0.8118455701294919,0.0441868533186784,0.043742479348193676,0.006250880472321523,0.03403992192413872,0.9037335160339851
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,21,14608,6620,287.18909378303215,0.8091232332516071,0.04450536696368396,0.044131534848165885,0.0057563287360340425,0.034146435616302706,0.9022363737333652
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,55,14608,6620,247.27384359482676,0.8122054875019091,0.044144570952873614,0.043727543915765464,0.00605351531823416,0.03394266303256379,0.9039033651758805
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,99,14608,6620,216.49854096304625,0.8096357107863856,0.044445581451814056,0.044022517699638795,0.006117813823158285,0.03414319278410554,0.9025717369477364
