config_id,seed,station,cluster,n_train,n_test,r2,rmse,ubrmse,bias,mae,pearson
Guarded_Backbone54_k2_c0_0_c1_0,7,Spokane,0,6393,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,7,Spokane,1,6422,897,0.6070382324780466,0.07199843042654468,0.056347336157122035,0.04481909963265976,0.061906924332796265,0.89741780684333
Guarded_Backbone54_k2_c0_0_c1_0,13,BeaverPass_WA_990,0,8439,626,0.7587253158714995,0.04475425158820963,0.04009110987032715,0.019890850775824566,0.03522456099688054,0.9028258614703017
Guarded_Backbone54_k2_c0_0_c1_0,13,BeaverPass_WA_990,1,3984,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,13,CayusePass_WA,0,8582,1066,0.7019891572617438,0.06556484522520864,0.06448730740103502,0.01183791001697418,0.05236401625075438,0.8541653749761553
Guarded_Backbone54_k2_c0_0_c1_0,13,CayusePass_WA,1,3984,15,-12.204516099197248,0.12745939596844477,0.022412296519303918,0.12547344972292582,0.12547344972292582,0.9522419149543381
Guarded_Backbone54_k2_c0_0_c1_0,13,Darrington,0,8576,999,0.7037705700762239,0.05085174353339478,0.04328990361625973,0.026681155621170165,0.04132741902820818,0.9006329383864857
Guarded_Backbone54_k2_c0_0_c1_0,13,Darrington,1,3984,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,13,Paradise_WA,0,8435,1066,0.781467586000169,0.04602850788373922,0.03944346872525668,0.023724171490763193,0.035832582302992605,0.9167326872115948
Guarded_Backbone54_k2_c0_0_c1_0,13,Paradise_WA,1,3984,1,,0.13413796210289,0.0,0.13413796210289,0.13413796210289,
Guarded_Backbone54_k2_c0_0_c1_0,13,Quinault,0,8464,1044,0.572084259603278,0.04540045578138828,0.04538154643391348,0.0013102016731582837,0.036052375303888225,0.8741304081332921
Guarded_Backbone54_k2_c0_0_c1_0,13,Quinault,1,3984,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,13,SourdoughGulch_WA_985,0,4208,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,13,SourdoughGulch_WA_985,1,8209,906,0.378024327168742,0.06322234325862455,0.05663249502399838,-0.028103828822211185,0.05029697079341406,0.738932124128323
Guarded_Backbone54_k2_c0_0_c1_0,13,Spokane,0,6393,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,13,Spokane,1,6422,897,0.6141253559184112,0.07134622523626263,0.05740822274986136,0.04236248123240445,0.061058499284611906,0.8978165003480568
Guarded_Backbone54_k2_c0_0_c1_0,21,BeaverPass_WA_990,0,8439,626,0.7535547550069978,0.04523125548684737,0.0413920719515381,0.01823630588894454,0.03510984294130779,0.8972429045853906
Guarded_Backbone54_k2_c0_0_c1_0,21,BeaverPass_WA_990,1,3984,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,21,CayusePass_WA,0,8582,1066,0.702570292006309,0.0655008868092499,0.06469725660594866,0.010228937406309547,0.052497977527344204,0.853269006755932
Guarded_Backbone54_k2_c0_0_c1_0,21,CayusePass_WA,1,3984,15,-13.241648358207275,0.13237035695539778,0.023958449986964916,0.13018411606152852,0.13018411606152852,0.9379847975099318
Guarded_Backbone54_k2_c0_0_c1_0,21,Darrington,0,8576,999,0.6750349074818239,0.05326109643059125,0.04260272581737992,0.03196485798369657,0.0434557402992511,0.899300715066402
Guarded_Backbone54_k2_c0_0_c1_0,21,Darrington,1,3984,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,21,Paradise_WA,0,8435,1066,0.7848819694348164,0.045667514098473805,0.03942534371286412,0.02304699800531144,0.03588098741215121,0.9170289141605552
Guarded_Backbone54_k2_c0_0_c1_0,21,Paradise_WA,1,3984,1,,0.13574901604652403,0.0,0.13574901604652403,0.13574901604652403,
Guarded_Backbone54_k2_c0_0_c1_0,21,Quinault,0,8464,1044,0.5787451693475341,0.04504571958427559,0.045018019475149926,0.0015794858024723226,0.03572299611682636,0.8700670202362473
Guarded_Backbone54_k2_c0_0_c1_0,21,Quinault,1,3984,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,21,SourdoughGulch_WA_985,0,4208,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,21,SourdoughGulch_WA_985,1,8209,906,0.37452130427545083,0.06340013024190123,0.05732247095150657,-0.02708709727349397,0.05017494219607339,0.7332280038206997
Guarded_Backbone54_k2_c0_0_c1_0,21,Spokane,0,6393,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,21,Spokane,1,6422,897,0.6083144897577386,0.07188141745147199,0.056880402489233144,0.043949493597715335,0.06154203751998867,0.8946347413334904
Guarded_Backbone54_k2_c0_0_c1_0,55,BeaverPass_WA_990,0,8439,626,0.7461246310329712,0.04590803508564445,0.0414119786173331,0.01981402817254249,0.03563672198112399,0.8968067115274528
Guarded_Backbone54_k2_c0_0_c1_0,55,BeaverPass_WA_990,1,3984,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,55,CayusePass_WA,0,8582,1066,0.6994265849087613,0.06584613535626993,0.06452558257284098,0.013121079795188348,0.05246317994499519,0.8534403173905385
Guarded_Backbone54_k2_c0_0_c1_0,55,CayusePass_WA,1,3984,15,-12.940675974825648,0.13096417976861946,0.023342013538791815,0.1288672448158264,0.1288672448158264,0.9475070752374266
Guarded_Backbone54_k2_c0_0_c1_0,55,Darrington,0,8576,999,0.69263239356688,0.051798930651863556,0.042983004786021455,0.028906582576316876,0.04197201474203361,0.8989912511389369
Guarded_Backbone54_k2_c0_0_c1_0,55,Darrington,1,3984,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,55,Paradise_WA,0,8435,1066,0.7839584102245699,0.04576544052785784,0.0396491684954219,0.022856486701383825,0.035879643323162035,0.9160642301855207
Guarded_Backbone54_k2_c0_0_c1_0,55,Paradise_WA,1,3984,1,,0.13410932207107543,0.0,0.13410932207107543,0.13410932207107543,
Guarded_Backbone54_k2_c0_0_c1_0,55,Quinault,0,8464,1044,0.5808527069402614,0.04493289644365149,0.04493270117779757,0.00013246766646246236,0.035510991518182315,0.8718319282090969
Guarded_Backbone54_k2_c0_0_c1_0,55,Quinault,1,3984,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,55,SourdoughGulch_WA_985,0,4208,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,55,SourdoughGulch_WA_985,1,8209,906,0.35937523191059784,0.06416316107839055,0.0576674406556781,-0.028131433091745206,0.05103293668927736,0.7291255662111052
Guarded_Backbone54_k2_c0_0_c1_0,55,Spokane,0,6393,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,55,Spokane,1,6422,897,0.6051724174742764,0.07216915526666035,0.05696682875316046,0.044307644867578086,0.06193431332013015,0.8942242514726138
StationMean_Backbone54_k2_c0_0_c1_0,42,BeaverPass_WA_990,0,8439,626,0.7423949129450769,0.04624402620205121,0.041620915967552345,0.020154635035096645,0.03617394449735601,0.8952729739677908
StationMean_Backbone54_k2_c0_0_c1_0,42,BeaverPass_WA_990,1,3984,0,,,,,,
StationMean_Backbone54_k2_c0_0_c1_0,42,CayusePass_WA,0,8582,1066,0.7020678452897564,0.06555618864590873,0.06478368963795374,0.01003431246629575,0.05235755012417823,0.851863367404172
StationMean_Backbone54_k2_c0_0_c1_0,42,CayusePass_WA,1,3984,15,-12.423949425754476,0.12851409565292496,0.022471505448529785,0.12653420179684954,0.12653420179684954,0.9540447147613808
StationMean_Backbone54_k2_c0_0_c1_0,42,Darrington,0,8576,999,0.7033485845555854,0.05088795037282584,0.04278857381061906,0.027544898700129404,0.04140474639228872,0.9007825993472577
StationMean_Backbone54_k2_c0_0_c1_0,42,Darrington,1,3984,0,,,,,,
StationMean_Backbone54_k2_c0_0_c1_0,42,Paradise_WA,0,8435,1066,0.780425055322218,0.04613816904590226,0.03927073949017279,0.024218580941154186,0.03636431108434697,0.9176938059637719
StationMean_Backbone54_k2_c0_0_c1_0,42,Paradise_WA,1,3984,1,,0.13837325954437255,0.0,0.13837325954437255,0.13837325954437255,
StationMean_Backbone54_k2_c0_0_c1_0,42,Quinault,0,8464,1044,0.5606848053650594,0.046001203518200355,0.04587528443521244,0.003401323729262498,0.036895299216168596,0.8746881505768684
StationMean_Backbone54_k2_c0_0_c1_0,42,Quinault,1,3984,0,,,,,,
StationMean_Backbone54_k2_c0_0_c1_0,42,SourdoughGulch_WA_985,0,6393,0,,,,,,
StationMean_Backbone54_k2_c0_0_c1_0,42,SourdoughGulch_WA_985,1,6024,906,0.3359296460637553,0.06532673236028508,0.05663432967139057,-0.032559709205466913,0.05263737974070819,0.7308986796681048
StationMean_Backbone54_k2_c0_0_c1_0,42,Spokane,0,6393,0,,,,,,
StationMean_Backbone54_k2_c0_0_c1_0,42,Spokane,1,6422,897,0.6066802742664119,0.0720312155026229,0.05679980473327932,0.04429760929267675,0.06192039377567096,0.8949239320107829
StationMean_Backbone54_k2_c0_0_c1_0,7,BeaverPass_WA_990,0,8439,626,0.7647745419639327,0.04418965210998679,0.03999309737117031,0.018795678127211883,0.03442477750673461,0.9042576884616225
StationMean_Backbone54_k2_c0_0_c1_0,7,BeaverPass_WA_990,1,3984,0,,,,,,
StationMean_Backbone54_k2_c0_0_c1_0,7,CayusePass_WA,0,8582,1066,0.7022171712977487,0.06553975794060475,0.06473558312205042,0.01023543593410479,0.05268031874612169,0.8522306911960025
StationMean_Backbone54_k2_c0_0_c1_0,7,CayusePass_WA,1,3984,15,-12.314080349244158,0.12798709967283015,0.022934376771223876,0.12591549564997354,0.12591549564997354,0.9471314479267668
StationMean_Backbone54_k2_c0_0_c1_0,7,Darrington,0,8576,999,0.6996164404651593,0.05120705814802322,0.04160302175299506,0.02985550845647837,0.04159901472600969,0.9047218033875417
