config_id,seed,station,year,r2,rmse,ubrmse,bias,mae,pearson
Guarded_Backbone54_k2_c0_0_c1_0,13,Quinault,2024,0.4196959255249457,0.039892050687771026,0.03859322606268271,-0.010096465230483428,0.032071043729947214,0.8902347762576643
Guarded_Backbone54_k2_c0_0_c1_0,13,Quinault,2025,0.805536595747296,0.03206157323715401,0.03191570912184506,-0.0030548305503196203,0.02419220155527194,0.914247166332518
Guarded_Backbone54_k2_c0_0_c1_0,13,SourdoughGulch_WA_985,2023,-0.0826922698743695,0.06980908320497092,0.05228240552946055,-0.04625860103777011,0.057585841308881155,0.721736852983091
Guarded_Backbone54_k2_c0_0_c1_0,13,SourdoughGulch_WA_985,2024,0.6946038546930131,0.048640558684007205,0.04164772601554001,-0.025127094277430106,0.03980583409745186,0.8818474817588525
Guarded_Backbone54_k2_c0_0_c1_0,13,SourdoughGulch_WA_985,2025,0.17360340004114527,0.07470560527506089,0.07462186455323529,0.003536211265155243,0.057035932465280804,0.5015526752357752
Guarded_Backbone54_k2_c0_0_c1_0,13,Spokane,2023,0.6551715108998948,0.06702179938959431,0.052841846597396984,0.041226943151247454,0.05629409351613787,0.9172482096582554
Guarded_Backbone54_k2_c0_0_c1_0,13,Spokane,2024,0.6172369263558147,0.07079123993786225,0.05677494582569004,0.04228481025652054,0.06167708520933029,0.886806116607899
Guarded_Backbone54_k2_c0_0_c1_0,13,Spokane,2025,0.5755819927907584,0.07536030811875813,0.06160587960295534,0.04340382054727826,0.0644281831298831,0.9015944256277494
Guarded_Backbone54_k2_c0_0_c1_0,21,BeaverPass_WA_990,2023,0.7731947051840411,0.04910944553659263,0.04694815093004725,0.014408635090148607,0.03814318297170612,0.9154955865225517
Guarded_Backbone54_k2_c0_0_c1_0,21,BeaverPass_WA_990,2024,0.7056844213435092,0.0395843919149404,0.029319169049847757,0.026595308035479645,0.031649199234909484,0.9169899742376636
Guarded_Backbone54_k2_c0_0_c1_0,21,BeaverPass_WA_990,2025,-7.513672913783479,0.036465453352749574,0.03614804174462258,0.0048008714053365854,0.025984168575869666,0.6152356449858261
Guarded_Backbone54_k2_c0_0_c1_0,21,CayusePass_WA,2023,0.5538346382690107,0.07979042228370671,0.06621690722520893,0.04451777943406786,0.06799862282821109,0.8374815797245097
