,max_depth,min_child_weight,lambda,subsample,colsample_bytree,val_R2_mean,val_R2_std,val_RMSE_mean,val_bias_mean,best_iter_mean
403,4,100,1,1.0,0.8,0.7822266170908886,0.0,0.050134029579363436,0.0083129740865254,71.0
190,3,20,5,0.6,0.8,0.7822214975674923,0.003952261547173786,0.05013256767213947,0.009815440214413955,214.66666666666666
448,5,5,5,1.0,0.8,0.7821354435638085,1.1102230246251565e-16,0.050144523097733214,0.008818587728417501,79.0
310,4,5,10,0.8,0.8,0.7821324905505757,0.0025748462220491425,0.05014398772234874,0.009078160001470012,123.66666666666667
466,5,5,30,1.0,0.8,0.782052946128641,0.0,0.050154016158631666,0.008943145762560584,78.0
154,3,5,5,0.6,0.8,0.7819481607147765,0.004315929410036522,0.050163611462510395,0.009246863934529158,183.0
335,4,20,5,0.6,1.0,0.7819204102840033,0.0007090291979389047,0.05016919706158851,0.009046690127802648,162.33333333333334
270,3,100,10,0.6,0.6,0.7819095608489733,0.002549585764260712,0.05016965506694452,0.009789545567239835,210.33333333333334
488,5,20,10,0.6,1.0,0.7818998624504981,0.002692794653841181,0.05017066763480396,0.008651367412715369,85.33333333333333
362,4,50,1,0.6,1.0,0.7818897091361139,0.0019779084145078044,0.050172280526361024,0.00925476531207606,117.33333333333333
217,3,50,1,0.6,0.8,0.7818805346749969,0.0024894118030222984,0.0501730361492877,0.00984835135322487,187.66666666666666
548,5,100,1,1.0,1.0,0.7818667147651003,0.0,0.05017543938101158,0.00867551945560686,78.0
346,4,20,10,0.8,0.8,0.7818561647975412,0.001386589181366033,0.05017639960326036,0.008894010425742761,103.66666666666667
320,4,5,30,0.8,1.0,0.781840596331057,0.0026085056585859385,0.05017754419167275,0.01004128022042485,204.66666666666666
187,3,20,1,1.0,0.8,0.7818394669857861,1.1102230246251565e-16,0.050178573076554635,0.008711444169899423,81.0
163,3,5,10,0.6,0.8,0.7818314151337292,0.0029030604208955717,0.05017838841518459,0.0094019564326666,156.33333333333334
449,5,5,5,1.0,1.0,0.7818195278153476,0.0,0.05018086610418684,0.008874501377591172,75.0
290,4,5,1,0.6,1.0,0.7817636977040684,0.0020664255526835736,0.05018672204566823,0.009501865693768092,137.33333333333334
302,4,5,5,0.8,1.0,0.7817625142928954,0.0026204951328573493,0.05018651798708731,0.00983735170488425,175.66666666666666
389,4,50,30,0.6,1.0,0.7817589690131527,0.005253712879946416,0.05018416275360499,0.009652321878931424,145.33333333333334
544,5,100,1,0.8,0.8,0.7817538184390714,0.0011341863509109864,0.05018825281562547,0.008719196912020749,73.33333333333333
514,5,50,5,0.6,0.8,0.7817143807868218,0.0008538837368145855,0.050192860518104725,0.009224036690803806,92.0
228,3,50,5,0.8,0.6,0.7816865456249334,0.005963833521746139,0.05019143630463225,0.009055619930477552,161.0
148,3,5,1,0.8,0.8,0.7816490204763827,0.0018012410417312188,0.05020004420330415,0.00892216063498961,77.0
428,4,100,30,0.8,1.0,0.7816126436070587,0.0033126120942017527,0.050203200493368995,0.010182365310678248,157.0
323,4,5,30,1.0,1.0,0.781610857876252,0.0,0.05020485710500092,0.008427482393115512,72.0
401,4,100,1,0.8,1.0,0.7815651522171644,0.0005390432262140096,0.05021007216827609,0.009444457555419554,129.0
151,3,5,1,1.0,0.8,0.781564240012424,1.1102230246251565e-16,0.05021021524296388,0.008557953012792368,77.0
538,5,50,30,1.0,0.8,0.7815506323792117,0.0,0.05021177916169247,0.009238797784507485,72.0
472,5,20,1,0.8,0.8,0.7815166673970199,0.002690813735846306,0.05021473448084213,0.008893624685669002,81.0
