n_features,candidate_mean_nrmse,candidate_ucb,fold_id,validation_year,held_out_stations,beta,n_train,n_validation,rmse,nrmse
125,0.5221314337291528,0.5458828011877475,outer_year_2022_stations_1_beta_0,2022,['Quinault'],0.0,5421,362,0.037784476743271726,0.48248559489325993
125,0.5221314337291528,0.5458828011877475,outer_year_2022_stations_1_beta_0.2,2022,['Quinault'],0.2,5421,362,0.039583027678428855,0.5054520348890087
125,0.5221314337291528,0.5458828011877475,outer_year_2022_stations_3_beta_0,2022,"['Darrington', 'Spokane']",0.0,4305,613,0.0676106393702743,0.551005496197705
125,0.5221314337291528,0.5458828011877475,outer_year_2022_stations_3_beta_0.2,2022,"['Darrington', 'Spokane']",0.2,4305,613,0.06722672183248612,0.5478766887292612
100,0.5251286327673745,0.5454475321683198,outer_year_2021_stations_0_beta_0,2021,['SourdoughGulch_WA_985'],0.0,5407,365,0.05875749521284135,0.5354537159122762
100,0.5251286327673745,0.5454475321683198,outer_year_2021_stations_0_beta_0.2,2021,['SourdoughGulch_WA_985'],0.2,5407,365,0.05713992891983929,0.5207129261766867
100,0.5251286327673745,0.5454475321683198,outer_year_2021_stations_1_beta_0,2021,['Quinault'],0.0,5421,351,0.030659669969311975,0.4021568116409713
100,0.5251286327673745,0.5454475321683198,outer_year_2021_stations_1_beta_0.2,2021,['Quinault'],0.2,5421,351,0.030657147110468044,0.40212371980176
100,0.5251286327673745,0.5454475321683198,outer_year_2021_stations_3_beta_0,2021,"['Darrington', 'Spokane']",0.0,4305,665,0.0572096496775496,0.5187915656301257
100,0.5251286327673745,0.5454475321683198,outer_year_2021_stations_3_beta_0.2,2021,"['Darrington', 'Spokane']",0.2,4305,665,0.05726861844038628,0.5193263092785791
100,0.5251286327673745,0.5454475321683198,outer_year_2022_stations_0_beta_0,2022,['SourdoughGulch_WA_985'],0.0,5407,364,0.05891740728906317,0.6139904964218567
100,0.5251286327673745,0.5454475321683198,outer_year_2022_stations_0_beta_0.2,2022,['SourdoughGulch_WA_985'],0.2,5407,364,0.06103744338871264,0.6360838314335225
100,0.5251286327673745,0.5454475321683198,outer_year_2022_stations_1_beta_0,2022,['Quinault'],0.0,5421,362,0.03888248390362789,0.49650650198590185
100,0.5251286327673745,0.5454475321683198,outer_year_2022_stations_1_beta_0.2,2022,['Quinault'],0.2,5421,362,0.041632861312132174,0.5316272074846083
100,0.5251286327673745,0.5454475321683198,outer_year_2022_stations_3_beta_0,2022,"['Darrington', 'Spokane']",0.0,4305,613,0.06778010126912674,0.55238655750009
100,0.5251286327673745,0.5454475321683198,outer_year_2022_stations_3_beta_0.2,2022,"['Darrington', 'Spokane']",0.2,4305,613,0.07023386352390196,0.5723839499421153
80,0.530677712261677,0.5547683880924971,outer_year_2021_stations_0_beta_0,2021,['SourdoughGulch_WA_985'],0.0,5407,365,0.060811669038877136,0.5541732852931067
80,0.530677712261677,0.5547683880924971,outer_year_2021_stations_0_beta_0.2,2021,['SourdoughGulch_WA_985'],0.2,5407,365,0.06161271346627754,0.5614731576533672
80,0.530677712261677,0.5547683880924971,outer_year_2021_stations_1_beta_0,2021,['Quinault'],0.0,5421,351,0.029290040803004794,0.3841916574431638
80,0.530677712261677,0.5547683880924971,outer_year_2021_stations_1_beta_0.2,2021,['Quinault'],0.2,5421,351,0.0305632525007621,0.40089212282412096
