model,station_id,period,n_obs,target_mean,target_std,target_var,pred_mean,pred_std,bias,mae,rmse,ubrmse,pearson_r,r2,r2_classification
Baseline_V0_50,Quinault,2025-07-20 to 2025-08-19,31,0.14174193548387096,0.05021949670658166,0.0025219978494623657,0.11826673558642788,0.04657593074427327,-0.02347519989744309,0.023654169065337027,0.026914183288376813,0.013163899568723157,0.9645601644860421,0.7127780016803892,Positive Skill (R² >= 0)
Baseline_V0_50,Spokane,2025-07-20 to 2025-08-19,31,0.025870967741935487,0.006756438585940924,4.56494623655914e-05,0.04551325892248461,0.007042031880327188,0.019642291180549127,0.019642291180549127,0.022828692071585915,0.011633124209678655,-0.4687029682406102,-10.4163268238644,Severe Negative (-50 <= R² < -10)
Baseline_V0_50,[All 5 Stations Pooled],2025-07-20 to 2025-08-19,155,0.06029032258064518,0.05151219345524505,0.0026535060745705905,0.0721998282690202,0.0382648590558124,0.011909505688375044,0.025061342828889048,0.029489619539206022,0.02697779336464871,0.858699832360836,0.6722684493164943,Pooled (Spatial Masked)
Univariate_G_API_k2,CayusePass_WA,2025-07-20 to 2025-08-19,31,0.04329032258064517,0.02462815942288704,0.0006065462365591397,0.05479158970617479,0.027230535974347204,0.011501267125529624,0.024457987062392696,0.0346909583434101,0.032728938957617096,0.1797980226697482,-0.9841234159019867,Moderate Negative (-10 <= R² < 0)
Univariate_G_API_k2,Darrington,2025-07-20 to 2025-08-19,31,0.061580645161290325,0.03224466280750804,0.0010397182795698924,0.10379998616633877,0.044311790825645965,0.04221934100504844,0.04221934100504844,0.04918464140006746,0.025232046979043632,0.8207391637234904,-1.32671580098983,Moderate Negative (-10 <= R² < 0)
Univariate_G_API_k2,Paradise_WA,2025-07-20 to 2025-08-19,31,0.028967741935483876,0.0036831496572701833,1.3565591397849468e-05,0.0673372407113352,0.032989303835180915,0.03836949877585134,0.03836949877585134,0.049144583129692616,0.03070784288551071,0.524489676780081,-177.03794763965428,Extreme Negative (R² < -50)
Univariate_G_API_k2,Quinault,2025-07-20 to 2025-08-19,31,0.14174193548387096,0.05021949670658166,0.0025219978494623657,0.13794519723423065,0.05883706277017569,-0.003796738249640306,0.012835120426070308,0.01465716305045388,0.01415687844658238,0.9775218645838255,0.9148165694378415,Positive Skill (R² >= 0)
Univariate_G_API_k2,Spokane,2025-07-20 to 2025-08-19,31,0.025870967741935487,0.006756438585940924,4.56494623655914e-05,0.05510872823576773,0.013053954255872116,0.029237760493832258,0.029237760493832258,0.03232102126278495,0.013776856563625052,0.11296530044167412,-21.8841340365228,Severe Negative (-50 <= R² < -10)
Univariate_G_API_k2,[All 5 Stations Pooled],2025-07-20 to 2025-08-19,155,0.06029032258064518,0.05151219345524505,0.0026535060745705905,0.08379654841076943,0.05006849451898372,0.023506225830124274,0.029423941552639006,0.03820278114374843,0.03011494370475128,0.8234459340272735,0.44999090030222777,Pooled (Spatial Masked)
Trained_Gating_k2,CayusePass_WA,2025-07-20 to 2025-08-19,31,0.04329032258064517,0.02462815942288704,0.0006065462365591397,0.03971275896314653,0.019935894908665996,-0.003577563617498645,0.016746369324384197,0.02776802313127828,0.027536596506866195,0.22449442842787598,-0.27123550051740386,Moderate Negative (-10 <= R² < 0)
Trained_Gating_k2,Darrington,2025-07-20 to 2025-08-19,31,0.061580645161290325,0.03224466280750804,0.0010397182795698924,0.09390177962280088,0.025828354105832996,0.03232113446151056,0.0371986923006273,0.040792472683135864,0.024887147179324113,0.6404733173305011,-0.6004583744480811,Moderate Negative (-10 <= R² < 0)
Trained_Gating_k2,Paradise_WA,2025-07-20 to 2025-08-19,31,0.028967741935483876,0.0036831496572701833,1.3565591397849468e-05,0.04218636638214511,0.015150077482895017,0.013218624446661241,0.013275380473944448,0.018709677442638385,0.013240845809301663,0.5548964021601059,-24.80440614355117,Severe Negative (-50 <= R² < -10)
Trained_Gating_k2,Quinault,2025-07-20 to 2025-08-19,31,0.14174193548387096,0.05021949670658166,0.0025219978494623657,0.12421024042752482,0.05468770394685974,-0.01753169505634615,0.018706313431262972,0.021641603297067234,0.012688524804677625,0.9733467455763488,0.8142904866602185,Positive Skill (R² >= 0)
Trained_Gating_k2,Spokane,2025-07-20 to 2025-08-19,31,0.025870967741935487,0.006756438585940924,4.56494623655914e-05,0.04998636498085914,0.01152782461003287,0.024115397238923655,0.024115397238923655,0.027077471890169152,0.012314101671328443,0.1402578202541572,-15.061295050772543,Severe Negative (-50 <= R² < -10)
Trained_Gating_k2,[All 5 Stations Pooled],2025-07-20 to 2025-08-19,155,0.06029032258064518,0.05151219345524505,0.0026535060745705905,0.06999950207529529,0.044588873472129954,0.009709179494650133,0.02200843055382852,0.028237172108629062,0.026515461946438054,0.8563909676602226,0.6995153331912496,Pooled (Spatial Masked)
