family,ece_input,policy,seed,r2,rmse,ubrmse,bias,mae,pearson
Clustering_Backbone54_k2,zero,c1_only,101,-10.162652080126815,0.15719307455520465,0.04709311676719759,0.1499730010410848,0.1499730010410848,0.13445598665951458
Clustering_Backbone54_k2,zero,gapi_transplant,101,-0.1762281331300093,0.05102646652506317,0.04771038041206062,0.018094747496714483,0.04397796733451939,0.11942337455057252
Clustering_Backbone54_k2,zero,dynamic_transplant,101,-0.1762281331300093,0.05102646652506317,0.04771038041206062,0.018094747496714483,0.04397796733451939,0.11942337455057252
Clustering_Backbone54_k2,zero,seasonal,101,-0.1762281331300093,0.05102646652506317,0.04771038041206062,0.018094747496714483,0.04397796733451939,0.11942337455057252
Clustering_Backbone54_k2,zero,margin_fallback,101,-0.4884849830933562,0.05740132836358571,0.0538568098806555,0.0198584120055738,0.04886313227124578,0.04820793850635069
Clustering_V0_Full_k2,native,as_routed,101,-1.7287257761164851,0.07771943965237621,0.05242504392831574,0.057375308879286324,0.06816732535741604,-0.009143475074611288
Clustering_V0_Full_k2,native,c0_only,101,-1.3216131307718983,0.07168769882637403,0.047206869805025205,0.05395032535798379,0.06474234183611349,0.12605028574694163
Clustering_V0_Full_k2,native,c1_only,101,-13.90699747205653,0.18165393205010305,0.04933755632549807,0.17482550318844148,0.17482550318844148,-0.15758680170353864
Clustering_V0_Full_k2,native,gapi_transplant,101,-1.3216131307718983,0.07168769882637403,0.047206869805025205,0.05395032535798379,0.06474234183611349,0.12605028574694163
Clustering_V0_Full_k2,native,dynamic_transplant,101,-1.3216131307718983,0.07168769882637403,0.047206869805025205,0.05395032535798379,0.06474234183611349,0.12605028574694163
Clustering_V0_Full_k2,native,seasonal,101,-1.3216131307718983,0.07168769882637403,0.047206869805025205,0.05395032535798379,0.06474234183611349,0.12605028574694163
Clustering_V0_Full_k2,native,margin_fallback,101,-0.5832988327994362,0.059201288599869256,0.052712700284061324,0.026947426605294436,0.05147086717957747,0.0522625054856383
Clustering_Backbone54_k2,native,as_routed,101,-6.390871540335923,0.1279079507467619,0.08779408878198543,0.09301957771983771,0.10312442619570274,-0.3826575748907905
Clustering_Backbone54_k2,native,c0_only,101,-1.3216131307718983,0.07168769882637403,0.047206869805025205,0.05395032535798379,0.06474234183611349,0.12605028574694163
Clustering_Backbone54_k2,native,c1_only,101,-13.90699747205653,0.18165393205010305,0.04933755632549807,0.17482550318844148,0.17482550318844148,-0.15758680170353864
Clustering_Backbone54_k2,native,gapi_transplant,101,-1.3216131307718983,0.07168769882637403,0.047206869805025205,0.05395032535798379,0.06474234183611349,0.12605028574694163
Clustering_Backbone54_k2,native,dynamic_transplant,101,-1.3216131307718983,0.07168769882637403,0.047206869805025205,0.05395032535798379,0.06474234183611349,0.12605028574694163
Clustering_Backbone54_k2,native,seasonal,101,-1.3216131307718983,0.07168769882637403,0.047206869805025205,0.05395032535798379,0.06474234183611349,0.12605028574694163
Clustering_Backbone54_k2,native,margin_fallback,101,-0.6151005423932292,0.05979288320485069,0.052904341395829294,0.027862511434227518,0.05238595200851054,0.04457138736061986
Clustering_V0_Full_k2,zero,as_routed,123,-5.251556458201972,0.11763696001232318,0.09416009786661872,0.07051475257483153,0.09363205211419823,-0.47778598577368686
Clustering_V0_Full_k2,zero,c0_only,123,-0.20170396447312156,0.05157609546010349,0.04762615539812011,0.0197950232357485,0.044667423251003584,0.14206195181677225
Clustering_V0_Full_k2,zero,c1_only,123,-9.937565363129826,0.15560016197892323,0.04679031017287394,0.1483983735820356,0.1483983735820356,0.15797347531403036
Clustering_V0_Full_k2,zero,gapi_transplant,123,-0.20170396447312156,0.05157609546010349,0.04762615539812011,0.0197950232357485,0.044667423251003584,0.14206195181677225
Clustering_V0_Full_k2,zero,dynamic_transplant,123,-0.20170396447312156,0.05157609546010349,0.04762615539812011,0.0197950232357485,0.044667423251003584,0.14206195181677225
Clustering_V0_Full_k2,zero,seasonal,123,-0.20170396447312156,0.05157609546010349,0.04762615539812011,0.0197950232357485,0.044667423251003584,0.14206195181677225
Clustering_V0_Full_k2,zero,margin_fallback,123,-0.25997980406578436,0.052811865193241575,0.051259442299321764,0.012710730913351268,0.0447670564708719,0.0492868677195797
Clustering_Backbone54_k2,zero,as_routed,123,-8.608531490499038,0.14584052631986216,0.06976380241551418,0.1280721319795353,0.13525653380638794,-0.19856599705191738
Clustering_Backbone54_k2,zero,c0_only,123,-0.20170396447312156,0.05157609546010349,0.04762615539812011,0.0197950232357485,0.044667423251003584,0.14206195181677225
Clustering_Backbone54_k2,zero,c1_only,123,-9.937565363129826,0.15560016197892323,0.04679031017287394,0.1483983735820356,0.1483983735820356,0.15797347531403036
Clustering_Backbone54_k2,zero,gapi_transplant,123,-0.20170396447312156,0.05157609546010349,0.04762615539812011,0.0197950232357485,0.044667423251003584,0.14206195181677225
Clustering_Backbone54_k2,zero,dynamic_transplant,123,-0.20170396447312156,0.05157609546010349,0.04762615539812011,0.0197950232357485,0.044667423251003584,0.14206195181677225
Clustering_Backbone54_k2,zero,seasonal,123,-0.20170396447312156,0.05157609546010349,0.04762615539812011,0.0197950232357485,0.044667423251003584,0.14206195181677225
Clustering_Backbone54_k2,zero,margin_fallback,123,-0.36527586211722474,0.05497432683197504,0.052434362456846004,0.016517089464336922,0.046611813071409595,0.04270204099664196
Clustering_V0_Full_k2,native,as_routed,123,-1.521310452384415,0.07470727167523819,0.052866471736748286,0.05278553407199212,0.06536623242569625,0.0015725717978045842
Clustering_V0_Full_k2,native,c0_only,123,-1.0958865056623375,0.06811356238850111,0.047085263749051205,0.04921824172940879,0.061798940083112916,0.1431299785611814
Clustering_V0_Full_k2,native,c1_only,123,-14.851966823627667,0.18732308064961153,0.04898378364867261,0.18080521420446066,0.18080521420446066,-0.14327092104033756
Clustering_V0_Full_k2,native,gapi_transplant,123,-1.0958865056623375,0.06811356238850111,0.047085263749051205,0.04921824172940879,0.061798940083112916,0.1431299785611814
Clustering_V0_Full_k2,native,dynamic_transplant,123,-1.0958865056623375,0.06811356238850111,0.047085263749051205,0.04921824172940879,0.061798940083112916,0.1431299785611814
Clustering_V0_Full_k2,native,seasonal,123,-1.0958865056623375,0.06811356238850111,0.047085263749051205,0.04921824172940879,0.061798940083112916,0.1431299785611814
Clustering_V0_Full_k2,native,margin_fallback,123,-0.4967681838262603,0.05756082177098931,0.05194909745478608,0.024789906748205713,0.050177217069628716,0.03881564558097869
Clustering_Backbone54_k2,native,as_routed,123,-6.583748329940212,0.12956618464289502,0.09174815156372833,0.09148591633446046,0.1033405279324349,-0.38427417943776593
Clustering_Backbone54_k2,native,c0_only,123,-1.0958865056623375,0.06811356238850111,0.047085263749051205,0.04921824172940879,0.061798940083112916,0.1431299785611814
Clustering_Backbone54_k2,native,c1_only,123,-14.851966823627667,0.18732308064961153,0.04898378364867261,0.18080521420446066,0.18080521420446066,-0.14327092104033756
Clustering_Backbone54_k2,native,gapi_transplant,123,-1.0958865056623375,0.06811356238850111,0.047085263749051205,0.04921824172940879,0.061798940083112916,0.1431299785611814
Clustering_Backbone54_k2,native,dynamic_transplant,123,-1.0958865056623375,0.06811356238850111,0.047085263749051205,0.04921824172940879,0.061798940083112916,0.1431299785611814
