id,group,track,Configuration,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson,Train Time (s),Inference Time (s)
30,SA,single,SA d=9 LR=0.003 MCW=15 Est=1500,0.7788970630227774,0.047899734599434696,0.0466709031946332,-0.010780137717919674,0.037088229293938936,0.03022205555438995,0.8891676078374944,23.702708044089377,2.071810589171946
31,SA,single,SA d=9 LR=0.005 MCW=4 Est=1000,0.7776871915511572,0.04803060907027329,0.046843078364325684,-0.010614396630551696,0.0371853865632883,0.030470670819282536,0.8883568961119129,17.90738226287067,1.495330585166812
32,SA,single,SA d=9 LR=0.005 MCW=6 Est=1000,0.779017866766718,0.04788664735157907,0.04669974729499201,-0.010595498860033163,0.03715258893301524,0.030563011050224312,0.8891151475043712,17.785790838301182,0.7925519058480859
33,SA,single,SA d=9 LR=0.005 MCW=8 Est=1000,0.7778675915671358,0.04801111743322628,0.04681803750118668,-0.010636670592839171,0.03726519036857788,0.030430923700332638,0.8885062193642328,17.52581690158695,0.8848134642466903
34,SA,single,SA d=9 LR=0.005 MCW=10 Est=1000,0.778196599134276,0.04797554884062396,0.046737576890285334,-0.010828305227399498,0.03720349699221664,0.030329889476299304,0.8889059601857752,15.594312042929232,0.5147123541682959
35,SA,single,SA d=9 LR=0.005 MCW=15 Est=1000,0.7779205347963866,0.04800539558676018,0.046768013235709595,-0.01082917092212017,0.037092010350754975,0.030282540380954737,0.888887133695297,15.024326242506504,0.48764207400381565
36,SA,single,SA d=9 LR=0.008 MCW=4 Est=750,0.7784368858306407,0.04794955507786797,0.046746551902414,-0.010673317981680171,0.03711852610529009,0.030537112236022956,0.8889338968912801,12.268039751797915,0.996723442338407
37,SA,single,SA d=9 LR=0.008 MCW=6 Est=750,0.7808587914473699,0.04768676676163227,0.046487042600595725,-0.010629327040620347,0.03694282780841353,0.030393612563610062,0.8902631933412948,12.37413218896836,0.82548310700804
38,SA,single,SA d=9 LR=0.008 MCW=8 Est=750,0.7795333110985385,0.04783076656449632,0.04669616534032913,-0.010356175608813668,0.037025200031889076,0.030102762460708615,0.8892548396376282,12.31950926501304,0.7801701044663787
39,SA,single,SA d=9 LR=0.008 MCW=10 Est=750,0.7798150570104063,0.04780019407478806,0.04663185776439777,-0.010503732376998101,0.03699490874201689,0.02961590063571931,0.8896114180381215,12.386791721917689,0.42560702934861183
40,SA,single,SA d=9 LR=0.008 MCW=15 Est=750,0.7803386770052735,0.047743323620450674,0.04651034750850263,-0.010780191279659635,0.036849673479133684,0.029814542770385744,0.8902645971212197,11.933846722356975,0.3901894222944975
41,SA,single,SA d=9 LR=0.01 MCW=4 Est=500,0.7781165616205575,0.047984204021958285,0.046758968204542575,-0.010774169501799557,0.03716786777953142,0.030512497663497923,0.8887309828364293,8.836852330714464,0.5529931802302599
42,SA,single,SA d=9 LR=0.01 MCW=6 Est=500,0.7806758696623476,0.047706665184680294,0.04653752570057063,-0.010496885473503983,0.03700462357022791,0.030328137993812565,0.8899242732079884,8.906248533166945,0.837352410890162
43,SA,single,SA d=9 LR=0.01 MCW=8 Est=500,0.7796846572173161,0.04781434629779094,0.04661227430730214,-0.010653994261637732,0.03703748328699266,0.029896003663539894,0.8895208922428269,8.609329499304295,0.5998198734596372
44,SA,single,SA d=9 LR=0.01 MCW=10 Est=500,0.7801499270336302,0.04776383159115948,0.046545020880440484,-0.010721223736901025,0.0369347141382805,0.029673614531755446,0.8899089362102115,8.564961027354002,0.5729884002357721
45,SA,single,SA d=9 LR=0.01 MCW=15 Est=500,0.7798223998879352,0.04779939703141965,0.04655252532256452,-0.010846416165116958,0.03697124288234961,0.030145604729652387,0.8899241356690852,8.527340770699084,0.35510535910725594
46,SA,single,SA d=10 LR=0.003 MCW=4 Est=1500,0.7796898289682201,0.04781378509007658,0.04678222745463916,-0.009878321576913044,0.037094532365991174,0.03043421393632889,0.8884088745056385,34.03855443932116,0.36665086168795824
47,SA,single,SA d=10 LR=0.003 MCW=6 Est=1500,0.7815014313960658,0.04761679379359075,0.04660124204525108,-0.009781783634581771,0.037004884073917055,0.03052208039164544,0.8893439924238588,33.313107036054134,0.7918458161875606
48,SA,single,SA d=10 LR=0.003 MCW=8 Est=1500,0.7807093052540899,0.047703028645975525,0.04671914222896117,-0.009638500541374308,0.03701245506429915,0.030319686055183412,0.8887846418444966,33.01456099189818,0.7789175901561975
49,SA,single,SA d=10 LR=0.003 MCW=10 Est=1500,0.7809586632596257,0.047675899096447066,0.046662996849306325,-0.009775278965122657,0.036964091172379934,0.030028953492641453,0.8890893479553935,32.38036582432687,0.871279414743185
50,SA,single,SA d=10 LR=0.003 MCW=15 Est=1500,0.7810292176984446,0.04766822014125533,0.04659387300322851,-0.01006331017203066,0.03689611809221954,0.02979144179821014,0.889466689362583,30.830389230512083,2.349626994691789
51,SA,single,SA d=10 LR=0.005 MCW=4 Est=1000,0.7797082941338926,0.047811781306139896,0.04676068146251386,-0.009970210695998273,0.037025527239194715,0.03030724787712097,0.8886074137694114,23.680846518836915,1.0880313124507666
