feature,R2,RMSE,ubRMSE,Bias,delta_R2,delta_RMSE,delta_ubRMSE,delta_Bias
C_lag_G_API_kobs30,0.20218894736749504,0.028989082398407084,0.028988865087273014,0.00011224639646468685,-0.033550719148362385,0.0006160924539460287,0.0006212663324734365,-0.00044083522064218447
C_lag_F_NDMI_kobs5,0.20256534165263618,0.028982243302758847,0.028982069013859846,0.00010051137336134676,-0.03317432486322125,0.0006092533582977913,0.0006144702590602687,-0.00045257024374552454
V_rollrng_E_SAR_diff_kobs30,0.20262408163923373,0.028981175849822727,0.028980623411660713,0.00017894219695486504,-0.033115584876623694,0.0006081859053616717,0.0006130246568611351,-0.0003741394201520063
API_x_year,0.20272612457661798,0.02897932138013957,0.028979059006898133,0.0001233155632137371,-0.033013541939239444,0.0006063314356785157,0.000611460252098555,-0.00042976605389313425
longitude,0.20294287334159822,0.028975381918883877,0.028975117797700154,0.0001237172364005386,-0.03279679317425921,0.0006023919744228209,0.0006075190429005763,-0.00042936438070633273
SMAP_sm_am_interp_rollstd7,0.20314153951325264,0.028971770642635866,0.02897135698123226,0.0001548187181908209,-0.03259812700260478,0.0005987806981748098,0.000603758226432681,-0.00039826289891605046
V_rollmean_G_API_kobs30,0.2031451375869342,0.028971705234104552,0.02897066382445165,0.000245645562649957,-0.03259452892892323,0.0005987152896434964,0.0006030650696520722,-0.0003074360544569143
SMAP_x_year,0.20344901429088902,0.028966180598318354,0.0289649992932044,0.0002615996923990942,-0.03229065222496841,0.0005931906538572985,0.0005974005384048221,-0.0002914819247077771
C_lag_SMAP_sm_interp_kobs6,0.20379470824613266,0.028959894421800133,0.028959505207009368,0.00015014355466620269,-0.031944958269724766,0.0005869044773390772,0.0005919064522097901,-0.00040293806244066867
V_rollcv_SMAP_sm_interp_kobs30,0.20407974987215383,0.02895471013427033,0.028954358455611545,0.0001427073353869158,-0.0316599166437036,0.0005817201898092733,0.0005867597008119667,-0.00041037428171995555
D_sa_E_SAR_ratio,0.2041095595730278,0.028954167906999603,0.028953692349745225,0.00016594728991648164,-0.03163010694282964,0.0005811779625385476,0.0005860935949456476,-0.0003871343271903897
V_rollmax_F_NDVI_kobs30,0.20509222339993127,0.028936287932753203,0.028935610711573103,0.00019796988532206025,-0.030647443115926154,0.0005632979882921468,0.0005680119567735252,-0.0003551117317848111
V_ema_E_SAR_diff_kobs14,0.20513143894578834,0.02893557416044186,0.028934604930148593,0.00023683228380331096,-0.03060822757006909,0.0005625842159808041,0.0005670061753490149,-0.00031624933330356037
s1_vv,0.21533522907698455,0.028749250146240007,0.02874510381793602,0.0004882524625243389,-0.02040443743887288,0.000376260201778951,0.0003775050631364407,-6.48291545825324e-05
base_pred,0.4146080047523897,0.024831778984740753,0.02468522394333724,0.0026938757236187284,0.17886833823653225,-0.0035412109597203027,-0.003682374811462337,0.002140794106511857
