n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,val_R2,val_RMSE,val_MAE,val_bias
200,15.0,10,2,0.5,0.7831777471322441,0.0500244290390943,0.03863088495355028,0.009903763550795846
300,,10,4,0.5,0.7831679177602144,0.05002556292444155,0.03858546798642604,0.00984077131456893
300,25.0,5,2,0.5,0.783105162967376,0.050032801513615895,0.038550847198078324,0.01007722469858921
500,25.0,5,1,0.5,0.7830779929121068,0.050035935178371134,0.03870118404770009,0.01030045889209952
100,,2,4,0.5,0.7830552945367761,0.0500385529504062,0.03880555294895606,0.010289787775351111
100,,5,4,0.5,0.7830552945367761,0.050038552950406205,0.03880555294895606,0.010289787775351111
200,,10,4,0.5,0.7830116776453077,0.05004358284141005,0.03850925469902601,0.009776084842602532
100,15.0,5,4,0.5,0.7830000592235569,0.05004492259016309,0.038738324963206276,0.010304316005387953
100,15.0,2,4,0.5,0.7830000592235569,0.05004492259016309,0.038738324963206276,0.010304316005387953
300,20.0,10,4,0.5,0.7829801467392047,0.05004721866424189,0.03865632614403849,0.009896138623683427
500,15.0,2,1,0.5,0.7829628227722285,0.05004921617517995,0.03860201655360614,0.010136234634963789
200,15.0,10,4,sqrt,0.7829573921394202,0.050049842328769543,0.03944513552191351,0.009808338800813186
500,20.0,2,4,0.5,0.7829299012151713,0.05005301192038008,0.03859522260395787,0.009899931646368104
500,20.0,5,4,0.5,0.7829299012151713,0.050053011920380086,0.03859522260395787,0.009899931646368099
200,15.0,2,1,0.5,0.7829222615808962,0.050053892703461625,0.038598286248026435,0.010292981702866312
100,,10,4,0.5,0.7829120722092848,0.050055067424859365,0.0384518603591432,0.00988016964919841
300,15.0,5,2,0.5,0.7827910962510007,0.05006901250328491,0.03869263226441928,0.009990795240489342
200,,2,4,0.5,0.7827275175700772,0.050076339755537685,0.03859545516081643,0.010178126954674663
200,,5,4,0.5,0.7827275175700772,0.050076339755537685,0.03859545516081643,0.010178126954674663
200,25.0,5,1,0.5,0.782678740897053,0.0500819603940853,0.03861106570434962,0.010202896992323502
100,15.0,2,1,0.5,0.782658214791219,0.050084325471830865,0.03869978363540918,0.010398496936562352
300,15.0,10,2,0.5,0.7824772977695823,0.05010516643008575,0.03863431153897245,0.009852626735741134
100,10.0,5,1,0.5,0.7824488586057944,0.05010844172606244,0.03882297912456063,0.010294007294132003
100,15.0,10,4,0.5,0.7823848359861616,0.0501158143320967,0.038906567949726335,0.010458772345897406
500,15.0,5,1,0.5,0.7823053180414615,0.05012496981211916,0.038660740788462745,0.009920292547955538
500,,10,4,0.5,0.7822423292357543,0.05013222098518716,0.03873551617000953,0.009954833397489692
500,25.0,10,4,0.5,0.782239546153672,0.05013254134506171,0.038709908308493995,0.0099968444963993
100,25.0,10,4,sqrt,0.7822328373476659,0.050133313585608956,0.03960275658754941,0.01045778518887335
200,15.0,5,1,0.5,0.7822041868814749,0.050136611363723306,0.038597129062699354,0.009731875344186094
100,25.0,5,4,0.5,0.782166997985491,0.05014089162424027,0.038760332103856016,0.010007350281856007
100,25.0,2,4,0.5,0.782166997985491,0.05014089162424027,0.038760332103856016,0.010007350281856007
200,25.0,2,4,0.5,0.7821590603710109,0.05014180515763081,0.03857493167330872,0.00994185377264248
