n_features,candidate_ucb,fold_id,validation_year,held_out_stations,beta,n_train,n_validation,rmse,nrmse
80,0.8155414529339187,year_2019_stations_3_beta_0,2019,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.0,5831,1066,0.10905336841328604,1.1816501019401566
80,0.8155414529339187,year_2019_stations_3_beta_0.2,2019,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.2,5831,1066,0.1007201897590573,1.0913557667029585
80,0.8155414529339187,year_2020_stations_0_beta_0,2020,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,8722,1059,0.08033727246918451,0.7541254574759338
80,0.8155414529339187,year_2020_stations_0_beta_0.2,2020,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,8722,1059,0.07891038119733748,0.7407312383286158
80,0.8155414529339187,year_2020_stations_1_beta_0,2020,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,8818,1001,0.08346791061752885,0.7290194489449463
80,0.8155414529339187,year_2020_stations_1_beta_0.2,2020,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,8818,1001,0.08369962233017937,0.7310432487959407
80,0.8155414529339187,year_2020_stations_2_beta_0,2020,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,9035,938,0.0732306725585867,0.633850459070034
80,0.8155414529339187,year_2020_stations_2_beta_0.2,2020,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,9035,938,0.07349928337150605,0.6361754286644876
80,0.8155414529339187,year_2020_stations_3_beta_0,2020,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.0,8597,982,0.09140632824044874,1.0441586451372853
80,0.8155414529339187,year_2020_stations_3_beta_0.2,2020,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.2,8597,982,0.08083561369730753,0.9234065791920846
80,0.8155414529339187,year_2021_stations_0_beta_0,2021,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,11643,1059,0.06711701728250201,0.5984997022676858
80,0.8155414529339187,year_2021_stations_0_beta_0.2,2021,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,11643,1059,0.06569293421063745,0.5858007873125125
80,0.8155414529339187,year_2021_stations_1_beta_0,2021,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,11797,899,0.051424153326891896,0.4676057206872947
80,0.8155414529339187,year_2021_stations_1_beta_0.2,2021,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,11797,899,0.05290986688639162,0.48111548438351975
80,0.8155414529339187,year_2021_stations_2_beta_0,2021,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,12077,984,0.09166934917981684,0.8455845062778484
80,0.8155414529339187,year_2021_stations_2_beta_0.2,2021,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,12077,984,0.09367524850207246,0.8640874999527073
80,0.8155414529339187,year_2021_stations_3_beta_0,2021,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.0,11595,710,0.10339551295133152,1.0418883978672775
80,0.8155414529339187,year_2021_stations_3_beta_0.2,2021,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.2,11595,710,0.08839900491821528,0.8907726745420128
80,0.8155414529339187,year_2022_stations_0_beta_0,2022,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,14236,906,0.08989702493652074,0.8007254017766768
80,0.8155414529339187,year_2022_stations_0_beta_0.2,2022,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,14236,906,0.08409685311024644,0.7490624583227997
80,0.8155414529339187,year_2022_stations_1_beta_0,2022,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,14550,942,0.07088966728548751,0.5983975229899423
80,0.8155414529339187,year_2022_stations_1_beta_0.2,2022,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,14550,942,0.0717332362567768,0.605518300985102
80,0.8155414529339187,year_2022_stations_2_beta_0,2022,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,14745,933,0.09949329203261145,0.9026957595444236
80,0.8155414529339187,year_2022_stations_2_beta_0.2,2022,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,14745,933,0.09975954570781986,0.9051114607305395
80,0.8155414529339187,year_2022_stations_3_beta_0,2022,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.0,14537,716,0.08762163809955295,0.7560244812268871
80,0.8155414529339187,year_2022_stations_3_beta_0.2,2022,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.2,14537,716,0.08526696864076184,0.7357077216381113
65,0.8045446206036461,year_2019_stations_0_beta_0,2019,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,5894,1004,0.0637374545281198,0.7009053333790306
65,0.8045446206036461,year_2019_stations_0_beta_0.2,2019,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,5894,1004,0.0650309061566586,0.7151291073220372
65,0.8045446206036461,year_2019_stations_1_beta_0,2019,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,6018,1032,0.08750016435432452,1.0371285700296693
65,0.8045446206036461,year_2019_stations_1_beta_0.2,2019,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,6018,1032,0.08738211089285439,1.0357292970273264
65,0.8045446206036461,year_2019_stations_2_beta_0,2019,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,5933,730,0.0677474353814718,0.681724067084907
65,0.8045446206036461,year_2019_stations_2_beta_0.2,2019,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,5933,730,0.06899826746704012,0.6943108510983892
65,0.8045446206036461,year_2019_stations_3_beta_0,2019,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.0,5831,1066,0.10346036600500805,1.1210470049239616
65,0.8045446206036461,year_2019_stations_3_beta_0.2,2019,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.2,5831,1066,0.1038565437325146,1.125339797149511
65,0.8045446206036461,year_2020_stations_0_beta_0,2020,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,8722,1059,0.07568189718239521,0.7104254797449401
65,0.8045446206036461,year_2020_stations_0_beta_0.2,2020,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,8722,1059,0.0760232414137981,0.7136296758391281
65,0.8045446206036461,year_2020_stations_1_beta_0,2020,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,8818,1001,0.08382378695381335,0.732127718561991
65,0.8045446206036461,year_2020_stations_1_beta_0.2,2020,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,8818,1001,0.08189176889851296,0.7152532247882007
65,0.8045446206036461,year_2020_stations_2_beta_0,2020,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,9035,938,0.07689105669562722,0.665533032567903
65,0.8045446206036461,year_2020_stations_2_beta_0.2,2020,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,9035,938,0.07289112774391239,0.6309115179250653
65,0.8045446206036461,year_2020_stations_3_beta_0,2020,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.0,8597,982,0.07796032465187401,0.8905613925201032
65,0.8045446206036461,year_2020_stations_3_beta_0.2,2020,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.2,8597,982,0.0832648096240016,0.9511559262713983
65,0.8045446206036461,year_2021_stations_0_beta_0,2021,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,11643,1059,0.07202810652685411,0.6422931479475352
65,0.8045446206036461,year_2021_stations_0_beta_0.2,2021,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,11643,1059,0.07037489645798188,0.6275510486399737
65,0.8045446206036461,year_2021_stations_1_beta_0,2021,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,11797,899,0.04658410200911094,0.42359457926455574
65,0.8045446206036461,year_2021_stations_1_beta_0.2,2021,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,11797,899,0.04726353133320013,0.4297727079879831
65,0.8045446206036461,year_2021_stations_2_beta_0,2021,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,12077,984,0.09206733728875749,0.8492556633397678
65,0.8045446206036461,year_2021_stations_2_beta_0.2,2021,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,12077,984,0.09664769438794699,0.8915061977980961
65,0.8045446206036461,year_2021_stations_3_beta_0,2021,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.0,11595,710,0.09691266763902666,0.9765625329118223
65,0.8045446206036461,year_2021_stations_3_beta_0.2,2021,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.2,11595,710,0.08836331924868072,0.8904130797782083
65,0.8045446206036461,year_2022_stations_0_beta_0,2022,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,14236,906,0.08434565225251393,0.7512785471566016
65,0.8045446206036461,year_2022_stations_0_beta_0.2,2022,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,14236,906,0.08642321389965589,0.7697836799549144
65,0.8045446206036461,year_2022_stations_1_beta_0,2022,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,14550,942,0.06757973222370972,0.5704575280926766
65,0.8045446206036461,year_2022_stations_1_beta_0.2,2022,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,14550,942,0.06750469294059433,0.5698241026180957
65,0.8045446206036461,year_2022_stations_2_beta_0,2022,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,14745,933,0.09463310145001964,0.858599586427091
65,0.8045446206036461,year_2022_stations_2_beta_0.2,2022,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,14745,933,0.0948313371455204,0.8603981651861516
65,0.8045446206036461,year_2022_stations_3_beta_0,2022,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.0,14537,716,0.08830624154813951,0.7619314350146689
65,0.8045446206036461,year_2022_stations_3_beta_0.2,2022,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.2,14537,716,0.08831660828574989,0.7620208821831297
50,0.7814868858640464,year_2019_stations_0_beta_0,2019,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,5894,1004,0.06107032243544457,0.6715755284405907
50,0.7814868858640464,year_2019_stations_0_beta_0.2,2019,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,5894,1004,0.060095772104515305,0.6608586347451691
50,0.7814868858640464,year_2019_stations_1_beta_0,2019,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,6018,1032,0.07667655401700522,0.9088376622978199
50,0.7814868858640464,year_2019_stations_1_beta_0.2,2019,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,6018,1032,0.07879514989246454,0.9339491158247901
50,0.7814868858640464,year_2019_stations_2_beta_0,2019,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,5933,730,0.06926223829524186,0.6969671179456901
50,0.7814868858640464,year_2019_stations_2_beta_0.2,2019,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,5933,730,0.07059032515649462,0.710331295813047
50,0.7814868858640464,year_2019_stations_3_beta_0,2019,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.0,5831,1066,0.10366269201027548,1.1232393126740838
50,0.7814868858640464,year_2019_stations_3_beta_0.2,2019,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.2,5831,1066,0.10327684549146157,1.1190584644809147
50,0.7814868858640464,year_2020_stations_0_beta_0,2020,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,8722,1059,0.08048646011690617,0.7555258809609483
50,0.7814868858640464,year_2020_stations_0_beta_0.2,2020,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,8722,1059,0.07835894122910562,0.7355548749105911
50,0.7814868858640464,year_2020_stations_1_beta_0,2020,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,8818,1001,0.08836939638031972,0.7718296549674136
50,0.7814868858640464,year_2020_stations_1_beta_0.2,2020,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,8818,1001,0.09034626711839823,0.7890958978318507
50,0.7814868858640464,year_2020_stations_2_beta_0,2020,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,9035,938,0.07416946670463301,0.6419762222189065
50,0.7814868858640464,year_2020_stations_2_beta_0.2,2020,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,9035,938,0.06886974427028182,0.5961043029726402
50,0.7814868858640464,year_2020_stations_3_beta_0,2020,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.0,8597,982,0.07312327696930623,0.8353065184657767
50,0.7814868858640464,year_2020_stations_3_beta_0.2,2020,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.2,8597,982,0.0744230567849817,0.8501542468171703
50,0.7814868858640464,year_2021_stations_0_beta_0,2021,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,11643,1059,0.0651535118309411,0.5809906192401456
50,0.7814868858640464,year_2021_stations_0_beta_0.2,2021,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,11643,1059,0.07064186476535184,0.6299316736877658
50,0.7814868858640464,year_2021_stations_1_beta_0,2021,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,11797,899,0.04995371935657253,0.45423489604690725
50,0.7814868858640464,year_2021_stations_1_beta_0.2,2021,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,11797,899,0.04681410168679514,0.4256859926974167
50,0.7814868858640464,year_2021_stations_2_beta_0,2021,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,12077,984,0.0901061334747978,0.8311649539197159
50,0.7814868858640464,year_2021_stations_2_beta_0.2,2021,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,12077,984,0.09197051242964124,0.848362522923437
50,0.7814868858640464,year_2021_stations_3_beta_0,2021,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.0,11595,710,0.09377346536310671,0.9449296473399013
50,0.7814868858640464,year_2021_stations_3_beta_0.2,2021,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.2,11595,710,0.0875250979861112,0.8819665526186794
50,0.7814868858640464,year_2022_stations_0_beta_0,2022,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,14236,906,0.07631907327029572,0.679784683094167
50,0.7814868858640464,year_2022_stations_0_beta_0.2,2022,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,14236,906,0.07177321532978913,0.639294089235225
50,0.7814868858640464,year_2022_stations_1_beta_0,2022,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,14550,942,0.0636087377870758,0.536937364637557
50,0.7814868858640464,year_2022_stations_1_beta_0.2,2022,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,14550,942,0.06457843799776258,0.5451228481690419
50,0.7814868858640464,year_2022_stations_2_beta_0,2022,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,14745,933,0.09628616063471897,0.8735976781156737
50,0.7814868858640464,year_2022_stations_2_beta_0.2,2022,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,14745,933,0.09469332791534443,0.8591460169828636
50,0.7814868858640464,year_2022_stations_3_beta_0,2022,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.0,14537,716,0.08961543492119657,0.7732275287896629
50,0.7814868858640464,year_2022_stations_3_beta_0.2,2022,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.2,14537,716,0.08893976534124978,0.7673976589682419
40,0.7913887011755726,year_2019_stations_0_beta_0,2019,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,5894,1004,0.06396056301828183,0.7033588033494657
40,0.7913887011755726,year_2019_stations_0_beta_0.2,2019,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,5894,1004,0.06476674829053446,0.7122242273171611
40,0.7913887011755726,year_2019_stations_1_beta_0,2019,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,6018,1032,0.07670331807618572,0.9091548933639657
40,0.7913887011755726,year_2019_stations_1_beta_0.2,2019,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,6018,1032,0.07339830446333448,0.8699809778917077
40,0.7913887011755726,year_2019_stations_2_beta_0,2019,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,5933,730,0.07048354586168423,0.7092568047311528
40,0.7913887011755726,year_2019_stations_2_beta_0.2,2019,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,5933,730,0.07397719778962081,0.7444124764976345
40,0.7913887011755726,year_2019_stations_3_beta_0,2019,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.0,5831,1066,0.10957419223937583,1.1872934996283373
40,0.7913887011755726,year_2019_stations_3_beta_0.2,2019,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.2,5831,1066,0.10373482177386016,1.1240208762675141
40,0.7913887011755726,year_2020_stations_0_beta_0,2020,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,8722,1059,0.08174355878122817,0.7673262579987404
40,0.7913887011755726,year_2020_stations_0_beta_0.2,2020,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,8722,1059,0.07741016887281851,0.7266487549337151
40,0.7913887011755726,year_2020_stations_1_beta_0,2020,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,8818,1001,0.082721387485464,0.7224992200529547
40,0.7913887011755726,year_2020_stations_1_beta_0.2,2020,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,8818,1001,0.08456877849607222,0.7386345703519549
40,0.7913887011755726,year_2020_stations_2_beta_0,2020,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,9035,938,0.07438741913048326,0.6438627165027065
40,0.7913887011755726,year_2020_stations_2_beta_0.2,2020,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,9035,938,0.07083415795854921,0.6131073493001963
40,0.7913887011755726,year_2020_stations_3_beta_0,2020,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.0,8597,982,0.07668256238116339,0.8759651764038284
40,0.7913887011755726,year_2020_stations_3_beta_0.2,2020,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.2,8597,982,0.07879187605196615,0.9000604239328758
40,0.7913887011755726,year_2021_stations_0_beta_0,2021,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,11643,1059,0.06921191320815952,0.6171804279398423
40,0.7913887011755726,year_2021_stations_0_beta_0.2,2021,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,11643,1059,0.06905031969490827,0.6157394570283642
40,0.7913887011755726,year_2021_stations_1_beta_0,2021,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,11797,899,0.053399737756905846,0.48556993636048074
40,0.7913887011755726,year_2021_stations_1_beta_0.2,2021,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,11797,899,0.05287153142283683,0.48076689561921926
40,0.7913887011755726,year_2021_stations_2_beta_0,2021,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,12077,984,0.0888015433508517,0.8191310384864556
40,0.7913887011755726,year_2021_stations_2_beta_0.2,2021,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,12077,984,0.09100525727825373,0.8394587311116601
