,Global Single Model (54 Backbone),"Clustering_V0_Full_k2 (Winner c0=0, c1=10)",Global Single Model (54 Backbone + 160 CTX),"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 160 CTX)",Global Single Model (54 Backbone + 80 CTX-head),"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 80 CTX-head)"
ctx_114,0.0,0.0,0.00047640683,0.00021386487,0.0,0.0
ctx_115,0.0,0.0,0.00022848255,0.00026085568,0.0,0.0
ctx_116,0.0,0.0,9.551636e-05,0.00024693165,0.0,0.0
ctx_117,0.0,0.0,0.0001930289,0.00019049473,0.0,0.0
ctx_118,0.0,0.0,0.00072857813,0.00028054285,0.0,0.0
ctx_119,0.0,0.0,5.357494e-05,7.7505785e-05,0.0,0.0
ctx_12,0.0,0.0,0.00012382599,0.00010084852,0.0,0.0
ctx_120,0.0,0.0,0.00036795484,0.0007783737,0.0,0.0
ctx_121,0.0,0.0,0.0002295793,0.00034929713,0.0,0.0
ctx_122,0.0,0.0,9.9086115e-05,0.00021227972,0.0,0.0
ctx_123,0.0,0.0,0.0002672433,0.00037605068,0.0,0.0
ctx_124,0.0,0.0,0.00023234724,0.00034825096,0.0,0.0
ctx_125,0.0,0.0,9.9201214e-05,9.797319e-05,0.0,0.0
ctx_126,0.0,0.0,0.009078874,0.011572301,0.0,0.0
ctx_127,0.0,0.0,0.00024647766,0.00045285487,0.0,0.0
ctx_128,0.0,0.0,6.897849e-05,0.0012769134,0.0,0.0
ctx_129,0.0,0.0,3.0032896e-05,4.0496725e-05,0.0,0.0
ctx_13,0.0,0.0,0.00014516694,0.00022376764,0.0,0.0
ctx_130,0.0,0.0,0.00012977414,8.5177286e-05,0.0,0.0
ctx_131,0.0,0.0,0.00036023586,0.0002900933,0.0,0.0
ctx_132,0.0,0.0,0.00021887531,0.00018427524,0.0,0.0
ctx_133,0.0,0.0,0.00015863923,0.00031921014,0.0,0.0
ctx_134,0.0,0.0,0.00019104288,0.00021630827,0.0,0.0
ctx_135,0.0,0.0,0.00019395821,0.0003931404,0.0,0.0
ctx_136,0.0,0.0,0.000715384,0.00058941054,0.0,0.0
ctx_137,0.0,0.0,0.0004993969,0.0005044094,0.0,0.0
ctx_138,0.0,0.0,0.00027646605,0.009564539,0.0,0.0
ctx_139,0.0,0.0,5.4908935e-05,0.00014212054,0.0,0.0
ctx_14,0.0,0.0,8.666603e-05,9.290977e-05,0.0,0.0
ctx_140,0.0,0.0,4.6752673e-05,7.2524905e-05,0.0,0.0
ctx_141,0.0,0.0,0.00013411535,0.00014099215,0.0,0.0
ctx_142,0.0,0.0,0.0002850931,0.0003181493,0.0,0.0
ctx_143,0.0,0.0,5.053902e-05,0.0002993157,0.0,0.0
ctx_144,0.0,0.0,0.020044703,0.009173125,0.0,0.0
ctx_145,0.0,0.0,0.00011243674,9.0151545e-05,0.0,0.0
ctx_146,0.0,0.0,0.00013833711,0.00014253834,0.0,0.0
ctx_147,0.0,0.0,0.00010484755,0.00017300648,0.0,0.0
ctx_148,0.0,0.0,0.00015646312,0.00014631519,0.0,0.0
ctx_149,0.0,0.0,0.0005005812,0.0010573608,0.0,0.0
ctx_15,0.0,0.0,0.0017147263,0.0016370384,0.0,0.0
ctx_150,0.0,0.0,0.00018623515,0.00016359531,0.0,0.0
ctx_151,0.0,0.0,0.00027854994,0.00024353477,0.0,0.0
ctx_152,0.0,0.0,0.0011297135,0.0015843338,0.0,0.0
ctx_153,0.0,0.0,0.0010929236,0.0040731947,0.0,0.0
ctx_154,0.0,0.0,0.00013060213,0.00012255649,0.0,0.0
ctx_155,0.0,0.0,0.00026232563,0.00011665441,0.0,0.0
ctx_156,0.0,0.0,0.0001742701,0.0004033891,0.0,0.0
ctx_157,0.0,0.0,0.0035233716,0.00018364965,0.0,0.0
ctx_158,0.0,0.0,0.0008748494,0.0013308445,0.0,0.0
ctx_159,0.0,0.0,7.093621e-05,8.2484155e-05,0.0,0.0
ctx_16,0.0,0.0,7.1471346e-05,7.9225836e-05,0.0,0.0
ctx_17,0.0,0.0,0.00015476043,0.0001317091,0.0,0.0
ctx_18,0.0,0.0,0.00013474838,0.00015062951,0.0,0.0
ctx_19,0.0,0.0,7.1940405e-05,6.628337e-05,0.0,0.0
ctx_2,0.0,0.0,7.128417e-05,0.00011977058,0.0,0.0
ctx_20,0.0,0.0,0.00010238234,9.8318895e-05,0.0,0.0
