artifact_arm,dataset,model,metric,value_beta_0_0,value_beta_0_2,difference_beta_0_2_minus_0_0
nested,derived_8.2,2.2_clustering_frozen_k2_shared_only,MAE,0.049063027343063,0.0485475725911371,-0.0005154547519258951
nested,derived_8.2,2.2_clustering_frozen_k2_shared_only,R2,0.6089590387550621,0.6203278972448012,0.01136885848973912
nested,derived_8.2,2.2_clustering_frozen_k2_shared_only,RMSE,0.0658486524924778,0.0648843726631237,-0.0009642798293540977
nested,derived_8.2,2.2_clustering_refit_k2_shared_plus_delta,Bias,-0.0128942855471618,-0.0122685757300972,0.0006257098170646003
nested,derived_8.2,2.2_clustering_refit_k2_shared_plus_delta,MAE,0.0486001700823798,0.0474144731436273,-0.0011856969387524993
nested,derived_8.2,2.2_clustering_refit_k2_shared_plus_delta,R2,0.6182126319945194,0.6347984590764573,0.0165858270819379
nested,derived_8.2,2.2_clustering_refit_k2_shared_plus_delta,RMSE,0.0650648666033592,0.0636358818563832,-0.0014289847469759892
nested,derived_8.2,2.2_global,Bias,-0.0136471064163259,-0.0134749782014302,0.00017212821489570075
nested,derived_8.2,2.2_global,MAE,0.0462544966728546,0.0467596252257311,0.000505128552876502
nested,derived_8.2,2.2_global,R2,0.6627524856178932,0.6512651562825121,-0.011487329335381102
nested,derived_8.2,2.2_global,RMSE,0.0611519267203716,0.0621846847779818,0.001032758057610203
nested,derived_8.2,V3,Bias,-0.0211558266873014,-0.0208452261880758,0.0003106004992255995
nested,derived_8.2,V3,MAE,0.0464974732372597,0.0473861694449253,0.0008886962076655944
nested,derived_8.2,V3,R2,0.6537129978116683,0.6377377455062399,-0.0159752523054284
nested,derived_8.2,V3,RMSE,0.061966056913549,0.0633792811354816,0.001413224221932595
original,derived_8.0,2.2_global,Bias,-0.0004786469372456,-0.0002211775927474,0.0002574693444982
original,derived_8.0,2.2_global,MAE,0.0326257327494482,0.033656911607802,0.0010311788583537984
original,derived_8.0,2.2_global,R2,0.7858878891144839,0.7734555872725879,-0.012432301841896032
original,derived_8.0,2.2_global,RMSE,0.0435716816544669,0.0448188163899871,0.0012471347355202042
original,derived_8.0,hand_mdr_v25,Bias,-0.0029102170605145,-0.0025562862335886,0.0003539308269259003
original,derived_8.0,hand_mdr_v25,MAE,0.0282972653716453,0.0281530070177787,-0.0001442583538666005
original,derived_8.0,hand_mdr_v25,R2,0.8246422716346004,0.8248191581172358,0.00017688648263547435
original,derived_8.0,hand_mdr_v25,RMSE,0.0394317599044068,0.0394118671252165,-1.9892779190303078e-05
original,derived_8.2,2.1_c1,Bias,-0.0142385178201856,-0.0136577117077694,0.0005808061124161993
original,derived_8.2,2.1_c1,MAE,0.045131345327089,0.0450154668624403,-0.00011587846464870127
original,derived_8.2,2.1_c1,R2,0.660484240442601,0.6586794984148712,-0.0018047420277298443
original,derived_8.2,2.1_c1,RMSE,0.0613572286269825,0.0615200888191208,0.0001628601921382991
original,derived_8.2,2.2_clustering_dynamic_k2_shared_plus_delta,Bias,-0.0157482676171594,-0.0153902087480706,0.00035805886908880057
original,derived_8.2,2.2_clustering_dynamic_k2_shared_plus_delta,MAE,0.0471104506615426,0.0468817101849602,-0.00022874047658239666
original,derived_8.2,2.2_clustering_dynamic_k2_shared_plus_delta,R2,0.6207043419404863,0.6271229042053253,0.006418562264839056
original,derived_8.2,2.2_clustering_dynamic_k2_shared_plus_delta,RMSE,0.0648521982747694,0.0643011321926655,-0.000551066082103896
original,derived_8.2,2.2_global,Bias,-0.0157740208427642,-0.0157987951274029,-2.477428463870321e-05
original,derived_8.2,2.2_global,MAE,0.0485336701280781,0.0481588989924903,-0.00037477113558780084
original,derived_8.2,2.2_global,R2,0.6046630717630599,0.6103575492660824,0.005694477503022544
original,derived_8.2,2.2_global,RMSE,0.0662093703786928,0.0657307971696967,-0.0004785732089961081
original,derived_8.2,V3,Bias,-0.0211558266873014,-0.0208452261880758,0.0003106004992255995
original,derived_8.2,V3,MAE,0.0464974732372597,0.0473861694449253,0.0008886962076655944
original,derived_8.2,V3,R2,0.6537129978116683,0.6377377455062399,-0.0159752523054284
