dataset,artifact_arm,selected_feature_count,model,beta,baseline_model,evaluation_period,unbiased_sota_eligible,R2,baseline_R2,R2_difference,RMSE,baseline_RMSE,RMSE_difference,MAE,baseline_MAE,MAE_difference,Bias,baseline_Bias,Bias_difference
derived_8.0,original,50,2.2_global,0.0,hand_mdr_v25,2023-2025 retrospective,False,0.7858878891144839,0.8246422716346004,-0.038754382520116426,0.0435716816544669,0.0394317599044068,0.004139921750060095,0.0326257327494482,0.0282972653716453,0.004328467377802903,-0.0004786469372456,-0.0029102170605145,0.0024315701232689004
derived_8.0,original,50,2.2_global,0.2,hand_mdr_v25,2023-2025 retrospective,False,0.7734555872725879,0.8248191581172358,-0.05136357084464793,0.0448188163899871,0.0394118671252165,0.0054069492647706024,0.033656911607802,0.0281530070177787,0.0055039045900233015,-0.0002211775927474,-0.0025562862335886,0.0023351086408412
derived_8.2,crossed,80,2.2_global,0.0,2.1_c1,2023-2025 retrospective,False,0.6197269734923037,0.660484240442601,-0.040757266950297355,0.064935700038238,0.0613572286269825,0.0035784714112554947,0.0472222434212835,0.045131345327089,0.0020908980941945,-0.020411428215637,-0.0142385178201856,-0.006172910395451401
derived_8.2,crossed,80,2.2_global,0.0,V3,2023-2025 retrospective,False,0.6197269734923037,0.6537129978116683,-0.033986024319364594,0.064935700038238,0.061966056913549,0.002969643124688996,0.0472222434212835,0.0464974732372597,0.0007247701840237958,-0.020411428215637,-0.0211558266873014,0.0007443984716643988
derived_8.2,crossed,80,2.2_global,0.2,2.1_c1,2023-2025 retrospective,False,0.6147102331420026,0.6586794984148712,-0.043969265272868596,0.0653626277192511,0.0615200888191208,0.003842538900130296,0.0474540726744463,0.0450154668624403,0.0024386058120060006,-0.0208315229080592,-0.0136577117077694,-0.007173811200289799
derived_8.2,crossed,80,2.2_global,0.2,V3,2023-2025 retrospective,False,0.6147102331420026,0.6377377455062399,-0.02302751236423728,0.0653626277192511,0.0633792811354816,0.001983346583769502,0.0474540726744463,0.0473861694449253,6.790322952100053e-05,-0.0208315229080592,-0.0208452261880758,1.3703280016600511e-05
derived_8.2,nested,50,2.2_global,0.0,2.1_c1,2023-2025 retrospective,False,0.6627524856178932,0.660484240442601,0.0022682451752922272,0.0611519267203716,0.0613572286269825,-0.00020530190661090242,0.0462544966728546,0.045131345327089,0.0011231513457655995,-0.0136471064163259,-0.0142385178201856,0.0005914114038596992
derived_8.2,nested,50,2.2_global,0.0,V3,2023-2025 retrospective,False,0.6627524856178932,0.6537129978116683,0.009039487806224988,0.0611519267203716,0.061966056913549,-0.0008141301931774009,0.0462544966728546,0.0464974732372597,-0.0002429765644051049,-0.0136471064163259,-0.0211558266873014,0.007508720270975499
derived_8.2,nested,50,2.2_global,0.2,2.1_c1,2023-2025 retrospective,False,0.6512651562825121,0.6586794984148712,-0.007414342132359031,0.0621846847779818,0.0615200888191208,0.0006645959588610015,0.0467596252257311,0.0450154668624403,0.0017441583632908028,-0.0134749782014302,-0.0136577117077694,0.00018273350633920063
derived_8.2,nested,50,2.2_global,0.2,V3,2023-2025 retrospective,False,0.6512651562825121,0.6377377455062399,0.013527410776272286,0.0621846847779818,0.0633792811354816,-0.0011945963574997928,0.0467596252257311,0.0473861694449253,-0.0006265442191941972,-0.0134749782014302,-0.0208452261880758,0.0073702479866456
derived_8.2,original,100,2.2_global,0.0,2.1_c1,2023-2025 retrospective,False,0.6046630717630599,0.660484240442601,-0.05582116867954112,0.0662093703786928,0.0613572286269825,0.004852141751710302,0.0485336701280781,0.045131345327089,0.0034023248009890997,-0.0157740208427642,-0.0142385178201856,-0.0015355030225785993
derived_8.2,original,100,2.2_global,0.0,V3,2023-2025 retrospective,False,0.6046630717630599,0.6537129978116683,-0.04904992604860836,0.0662093703786928,0.061966056913549,0.004243313465143804,0.0485336701280781,0.0464974732372597,0.0020361968908183953,-0.0157740208427642,-0.0211558266873014,0.0053818058445372005
derived_8.2,original,100,2.2_global,0.2,2.1_c1,2023-2025 retrospective,False,0.6103575492660824,0.6586794984148712,-0.048321949148788734,0.0657307971696967,0.0615200888191208,0.004210708350575895,0.0481588989924903,0.0450154668624403,0.00314343213005,-0.0157987951274029,-0.0136577117077694,-0.0021410834196335018
derived_8.2,original,100,2.2_global,0.2,V3,2023-2025 retrospective,False,0.6103575492660824,0.6377377455062399,-0.027380196240157417,0.0657307971696967,0.0633792811354816,0.002351516034215101,0.0481588989924903,0.0473861694449253,0.0007727295475650001,-0.0157987951274029,-0.0208452261880758,0.005046431060672898
