station,n,r2,mae,rmse,ubrmse,bias,dry_n,dry_r2,dry_mae,dry_rmse,dry_ubrmse,dry_bias,transition_n,transition_r2,transition_mae,transition_rmse,transition_ubrmse,transition_bias,wet_n,wet_r2,wet_mae,wet_rmse,wet_ubrmse,wet_bias
SCAN_ConradAgRc,1785,-0.7417615748627695,0.08967260899789055,0.11028696746430004,0.08378330279509615,0.07171871000803633,754,-0.3838209163292625,0.030760109375793557,0.03739454402314713,0.03589437880051877,-0.010485489651130152,723,-12.307614777786895,0.10998984625635011,0.11498263198920067,0.03739859984724501,0.10873063224606762,308.0,-52.38594300021381,0.18620073294982195,0.18982386467862666,0.037529422990456904,0.18607697872529244
SCAN_CookFarmFieldD,1792,-0.21000461223399225,0.11421746592103332,0.1379915728498183,0.1253127321226587,0.05777883129245088,920,-0.9707302641426117,0.062146810870493605,0.07406589549501688,0.05658861146157652,-0.04778583397126696,452,-12.597137901875195,0.11437902660470084,0.11909100974112091,0.0331678590524154,0.11437902660470084,420.0,-29.032908389820744,0.22810312596264956,0.2323032582486526,0.043974625854097095,0.22810312596264956
SCAN_JordanValleyCwma,1935,-0.20477423639102388,0.12058172576016074,0.1419889500635787,0.14133520357936816,-0.013609635165426022,1291,-2.8592007473225856,0.102243101229451,0.12517530389630505,0.07718617753207463,-0.09854517087873652,279,-8.2740108986229,0.0922880579126167,0.10090106396606285,0.04420685455320375,0.0907015916067375,365.0,-64.08898612363815,0.20707240411251973,0.20899149850584003,0.02825713897014101,0.20707240411251973
SCAN_Lind_1,2848,-0.7095493073836892,0.06816707144931736,0.07578911583211691,0.05765433559892797,-0.04919316685536946,2806,-0.8677041776162753,0.06765089665571333,0.07524270091342791,0.054888221330525615,-0.051465980996370786,42,-77.16871324144651,0.10265246361248143,0.10610143905885268,0.026832575065535713,0.10265246361248143,,,,,,
SCAN_OrchardRangeSite,2400,-0.390989068755635,0.06432302811889488,0.07419758401403634,0.06066815312565452,-0.042716000162024974,2292,-0.689674564181276,0.061933461077010164,0.07125778155164506,0.052622152443174065,-0.04804768989149548,108,-82.90250522290053,0.11503495089667022,0.12074815446326508,0.09807714113233912,0.07043430409673795,,,,,,
SCAN_TableMountain,1983,-1.1742481851246973,0.08425683600026262,0.10178832257650539,0.07199450460932096,0.0719559164975138,1465,-0.7421020438886423,0.05919675748846909,0.07061572563500657,0.056359396995275694,0.04254643436631832,503,-40.23167658771306,0.15165307896157146,0.15524219203671002,0.03318857981050315,0.15165307896157146,15.0,-102.86037916582745,0.2717704900162083,0.27299332311942154,0.025809983032440937,0.2717704900162083
SCAN_Violett,2009,-0.0010453586403418313,0.06896193290186221,0.08303142331469443,0.08277031121358053,0.0065797294223248395,1363,-0.9798568334732736,0.051183021832929755,0.060457771603282556,0.044819114870786825,-0.04057572044257371,537,-7.827072312439334,0.09244436928480387,0.09812515638310831,0.033353941485136325,0.09228250594026781,109.0,-33.57906328109736,0.1755911755561306,0.18419162221578508,0.06037546841254575,0.17401539158490603
SourdoughGulch_WA_985,3096,0.5785594049071772,0.04743951930714294,0.0621563759917561,0.06106977247054153,0.011571428901602537,1040,-2.2158851655067986,0.06048352183872261,0.07514502983838475,0.07427499380822919,-0.011401789517406946,1121,-1.9190507743334675,0.04042667736733842,0.05467660086043505,0.053191787752658044,0.012655607347239563,935.0,-15.082760566933299,0.041338592228723714,0.05410647704763616,0.04054754828185399,0.03582467287829853
Spokane,2690,0.720582369323034,0.04988756714081011,0.05852370420620811,0.056808521712445735,-0.014064701022855853,1453,-0.3680944823833796,0.05815210735845057,0.0663144403979708,0.04055860972195603,-0.05246526644093286,1061,-0.9683927640757528,0.03748920561641483,0.04531446240385139,0.0365144600314751,0.026834580517680322,176.0,-72.35913630102728,0.05640054805644534,0.0605343830724441,0.0219861254634373,0.05640054805644534
Touchet_WA_824,1567,0.1457990535792847,0.06904661895187325,0.08095341220238932,0.06335634446929377,-0.05039274315512249,1005,-0.4491436125109767,0.08073521884501869,0.09152805112778115,0.04558186821685914,-0.07937050732552116,520,-1.9756006655723692,0.042935565827443053,0.04960815713112662,0.04902945452472963,-0.007555252673075756,42.0,-119.01989649098364,0.11263482685883842,0.1165259858878639,0.02986136576947131,0.11263482685883842
