id,group,Configuration,year,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson
4,A,A MSE d=7 LR=0.005 MCW=5 Est=2500,2025,0.6371427969734451,0.0630890791571199,0.062310934743396475,-0.00987822455189245,0.04656050253403578,0.03265589284896851,0.8083694043121471
5,A,A MSE d=7 LR=0.005 MCW=8 Est=2500,2023,0.643320606514056,0.06425863399448178,0.055986753914468626,-0.03153815830003062,0.049887474706251524,0.040317490577697755,0.8559439550212069
5,A,A MSE d=7 LR=0.005 MCW=8 Est=2500,2024,0.6347509431966136,0.06031711478601995,0.057070274981940484,-0.019522757286151687,0.04438283668599039,0.033777078986167906,0.8316472683781438
5,A,A MSE d=7 LR=0.005 MCW=8 Est=2500,2025,0.6356600277364577,0.06321785043858946,0.06245980897313555,-0.009760577703973022,0.04667831759571169,0.03267978763580322,0.807681484820468
6,A,A MSE d=7 LR=0.005 MCW=10 Est=2500,2023,0.6442467322184626,0.06417515530919275,0.05594484312234524,-0.03144240905171238,0.049852694952164184,0.04025583255290985,0.856197646676471
6,A,A MSE d=7 LR=0.005 MCW=10 Est=2500,2024,0.6349814393043813,0.060298079754953535,0.05710388852621337,-0.0193650287879821,0.04434307898648219,0.033546079039573656,0.8315703133763364
6,A,A MSE d=7 LR=0.005 MCW=10 Est=2500,2025,0.634846470446339,0.0632883926079312,0.06254963594922516,-0.009641767551390238,0.04669588460372962,0.03319519829750062,0.8073114241374798
7,A,A MSE d=7 LR=0.005 MCW=15 Est=2500,2023,0.6452351279601543,0.06408594380394488,0.05591364781481205,-0.03131568586640799,0.049783864539936246,0.040243974745273595,0.8563825423373769
7,A,A MSE d=7 LR=0.005 MCW=15 Est=2500,2024,0.6376537815872316,0.060076949741571316,0.05685179326871015,-0.019419410139732102,0.04412663483850331,0.03362424826622007,0.8331788955294436
7,A,A MSE d=7 LR=0.005 MCW=15 Est=2500,2025,0.6349738420759827,0.06327735362276524,0.062484809251437526,-0.009983591253252577,0.04657586684694187,0.0326148077249527,0.8079777356821938
