model_id,seed,dataset,window,scope,reference_config_id,reference_only,rmse,mae,bias,ubrmse,r2,pearson
Univariate_G_API_k2_no_smap,7,ece_spatial,spatial_ece_v3_full,__pooled__,Univariate_G_API_k2_c0_0_c1_0,True,0.0578657733412616,0.0517207603246978,0.0210432798743946,0.0539038783067616,-0.512669655897205,-0.0860824715513776
Univariate_G_API_k2_no_smap,13,ece_spatial,spatial_ece_v3_full,__pooled__,Univariate_G_API_k2_c0_0_c1_0,True,0.0588597482743464,0.052150349178717,0.0221216650387349,0.054544494706922,-0.5650829948951992,-0.0743378192389169
Univariate_G_API_k2_no_smap,123,ece_spatial,spatial_ece_v3_full,__pooled__,Univariate_G_API_k2_c0_0_c1_0,True,0.0569857762507322,0.0505039323001317,0.0188991173188589,0.0537605995080646,-0.4670114683920519,-0.1052053687772417
Univariate_G_API_k2_no_smap,101,ece_spatial,spatial_ece_v3_full,__pooled__,Univariate_G_API_k2_c0_0_c1_0,True,0.0577593397581214,0.0514285161682024,0.0196735326032542,0.0543055562921769,-0.5071102110571983,-0.1081783294756353
Clustering_Dynamic_k2_no_smap,42,ece_spatial,spatial_ece_v3_full,__pooled__,Clustering_Dynamic_k2_c0_0_c1_0,True,0.0598591898286793,0.0532210015960042,0.0266477263609713,0.0536005717015841,-0.6186846225548344,-0.1403959656603549
Clustering_Dynamic_k2_no_smap,7,ece_spatial,spatial_ece_v3_full,__pooled__,Clustering_Dynamic_k2_c0_0_c1_0,True,0.0586251340351437,0.0520295566491127,0.0246312550012668,0.0531996956542153,-0.5526310576055897,-0.1370695917365441
Clustering_Dynamic_k2_no_smap,13,ece_spatial,spatial_ece_v3_full,__pooled__,Clustering_Dynamic_k2_c0_0_c1_0,True,0.0583869783613655,0.0515048810773367,0.0231431554800868,0.0536044176966328,-0.5400420259944612,-0.1277461241312806
Clustering_Dynamic_k2_no_smap,123,ece_spatial,spatial_ece_v3_full,__pooled__,Clustering_Dynamic_k2_c0_0_c1_0,True,0.0577548179275414,0.0507747364678805,0.0216209688432069,0.0535551370096701,-0.5068742447075893,-0.1820087720141351
Clustering_Dynamic_k2_no_smap,101,ece_spatial,spatial_ece_v3_full,__pooled__,Clustering_Dynamic_k2_c0_0_c1_0,True,0.0584981751101004,0.0516123717883629,0.0231748990439652,0.0537118287299362,-0.5459135658402017,-0.1508597171676157
Seasonal_Binary_k2_no_smap,42,ece_spatial,spatial_ece_v3_full,__pooled__,Seasonal_Binary_k2_c0_0_c1_0,True,0.0584175304965368,0.0507000711552008,0.0188414492786628,0.0552956386923361,-0.5416541622549425,-0.0387682594725169
Seasonal_Binary_k2_no_smap,7,ece_spatial,spatial_ece_v3_full,__pooled__,Seasonal_Binary_k2_c0_0_c1_0,True,0.0586669553567209,0.0511771148931686,0.0207957712889415,0.0548575204263328,-0.5548470437837549,-0.0691458021977475
Seasonal_Binary_k2_no_smap,13,ece_spatial,spatial_ece_v3_full,__pooled__,Seasonal_Binary_k2_c0_0_c1_0,True,0.0591880500351442,0.0511516046267793,0.0214695425908469,0.0551569035380209,-0.5825907988707002,-0.0451723589746157
Seasonal_Binary_k2_no_smap,123,ece_spatial,spatial_ece_v3_full,__pooled__,Seasonal_Binary_k2_c0_0_c1_0,True,0.0577889162367976,0.0497676377328023,0.0187894506087604,0.0546490199879611,-0.5086540800084922,-0.0118204082892942
Seasonal_Binary_k2_no_smap,101,ece_spatial,spatial_ece_v3_full,__pooled__,Seasonal_Binary_k2_c0_0_c1_0,True,0.0582277045105084,0.0505291343382966,0.020247402273685,0.0545940314845007,-0.531651324174834,-0.0518604099434964
Global_Single_54_no_smap,42,ece_spatial,spatial_ece_v3_full,__pooled__,Global_Single_54,True,0.0595053821947749,0.0513544261023579,0.0164779621194504,0.0571783811814937,-0.5996061669264132,-0.0605705527081843
Global_Single_54_no_smap,7,ece_spatial,spatial_ece_v3_full,__pooled__,Global_Single_54,True,0.0586011709823274,0.050672179988541,0.0157693235159618,0.0564395754444424,-0.5513620395740133,-0.0609684196126876
Global_Single_54_no_smap,13,ece_spatial,spatial_ece_v3_full,__pooled__,Global_Single_54,True,0.0597555815101415,0.0515400361264247,0.0188279145291152,0.0567118960721602,-0.6130860151803805,-0.0539637766207907
Global_Single_54_no_smap,123,ece_spatial,spatial_ece_v3_full,__pooled__,Global_Single_54,True,0.0577561323435943,0.0498878991171894,0.0138154173722568,0.0560794531546192,-0.5069428340411357,-0.0844871733171744
Global_Single_54_no_smap,101,ece_spatial,spatial_ece_v3_full,__pooled__,Global_Single_54,True,0.058193048201384,0.0503257092063722,0.0181063404759469,0.0553045323055687,-0.5298286321912757,-0.0442649113498376
