dataset,candidate_index,n_features,beta,outer_R2,outer_RMSE,outer_MAE,outer_Bias,retrospective_test_R2,retrospective_test_RMSE,retrospective_test_MAE,retrospective_test_Bias
derived_8.0,0,150,0.2,0.8305899556755214,0.04324836457012131,0.0330139439856524,0.017108670342384894,0.783099219985306,0.04385450993902435,0.03228732609918036,0.004554747129460256
derived_8.0,7,150,0.2,0.8341311169546813,0.04279396935752018,0.03306940276666599,0.014045704826931743,0.794314447497689,0.042705675836271426,0.031747377741414,-0.0007620091874642196
derived_8.3,6,40,0.0,0.7693274375703401,0.05418633702372292,0.03643983328424863,0.005067876835136978,0.5604485836624353,0.06889700787850825,0.05048149728149587,-0.013972060599835101
derived_8.3,13,40,0.0,0.7898851338789212,0.05171543883532745,0.03516178678314217,-0.0008229807315483841,0.5816996423617943,0.06721088862444866,0.049157128605638416,-0.02643195928948416
derived_8.3,5,50,0.0,0.7731069300933383,0.05374059115998763,0.03619934433323909,0.0052233546333386605,0.55891387137884,0.06901718147455886,0.05064143785580872,-0.013760752042633908
derived_8.3,12,50,0.0,0.7866394110657801,0.05211334193423564,0.035390068673468375,-0.0011630288205033315,0.5847188252945799,0.06696789402619037,0.04879002270079073,-0.026299357923845437
derived_8.3,4,65,0.0,0.7644869098288787,0.054751919494400954,0.03685255652784937,0.005516871561812787,0.5634568180072037,0.06866084190475305,0.049981733751764124,-0.013719948639829647
derived_8.3,11,65,0.0,0.7935091172188358,0.05126751466580332,0.03522698823917638,-0.0007945947934048112,0.5797340383255392,0.06736861638879828,0.049053755588989244,-0.02667668428013244
derived_8.3,3,80,0.0,0.7769344358523679,0.0532853827131906,0.03597737002807868,0.0053777366343141075,0.5499643928877577,0.06971383238246436,0.05072443211808438,-0.013645195433941834
derived_8.3,10,80,0.0,0.7990201688575908,0.05057874654562037,0.03467645976597673,4.673490638919399e-06,0.5863009282910527,0.0668402079969703,0.048212577089468536,-0.023896521059635592
derived_8.3,2,100,0.0,0.7771767856527615,0.05325642886873129,0.036124131749480995,0.005749681828086794,0.5429990311292145,0.07025125383718643,0.05107233698171993,-0.014549788105588629
derived_8.3,9,100,0.0,0.7943180556128437,0.05116699459055607,0.03507641240423909,0.000592472130097574,0.5855732226544477,0.06689896885543717,0.04821625813607547,-0.024124699879695028
derived_8.3,1,125,0.0,0.7759162504024658,0.05340685514049394,0.036246386446692515,0.0058940363551263425,0.5543859842530847,0.06937051849264599,0.050091825176309036,-0.014162205633768127
derived_8.3,8,125,0.0,0.7925618548960509,0.051384973160883106,0.03517906836366746,0.0009173056578536489,0.5934052588140872,0.06626380924180883,0.04769519091586007,-0.023717610338753376
derived_8.3,0,150,0.0,0.7702003967561442,0.05408370821951818,0.036646488167394645,0.005151647163129424,0.5491857166386959,0.0697741176614916,0.05055343659665114,-0.013467800332065589
derived_8.3,7,150,0.0,0.7909999216320271,0.05157806537888494,0.03497979090035125,0.0012713214661036485,0.5960114510932717,0.06605109884714792,0.04740087152546846,-0.021974587247095088
derived_8.3,6,40,0.2,0.7711738285859127,0.05396903727641716,0.035935647317107265,0.0047152566755387275,0.5598791013117568,0.06894162487706536,0.050428794623337055,-0.01374679208783634
derived_8.3,13,40,0.2,0.7888517726384388,0.05184245313392556,0.03551072646330783,-0.001258528309162454,0.571217089990133,0.06804782573387275,0.049397110673034116,-0.028116158634594587
derived_8.3,5,50,0.2,0.7744572540074157,0.05358043753249529,0.03580503374501083,0.0049435080023493535,0.5576933417822307,0.06911260424380233,0.05034807969744061,-0.013949857339880587
derived_8.3,12,50,0.2,0.7885208672935803,0.05188306022100844,0.03549345215750116,-0.0011163222113689212,0.5649042408365794,0.06854691985843578,0.04949831045487484,-0.02808863038807156
derived_8.3,4,65,0.2,0.7664587630949169,0.05452223017220583,0.03611905669910115,0.004739424154610472,0.566062162396183,0.06845564703714936,0.04985206097534096,-0.013512870929783838
derived_8.3,11,65,0.2,0.7928140953308604,0.05135372213289205,0.035250736691336826,-0.0009983586016278653,0.5639146787267886,0.06862482559391712,0.049569649108460595,-0.027561822248810014
derived_8.3,3,80,0.2,0.7761086231942312,0.0533839256959996,0.03565997636797421,0.0051146647776796755,0.551744551105042,0.06957581594901163,0.05049340053066689,-0.013562327362884501
derived_8.3,10,80,0.2,0.7967293627949338,0.05086618285452952,0.03484325809827819,-0.0004652576179035918,0.5858866879353877,0.06687366345512775,0.04798673260725925,-0.02467619551510229
derived_8.3,2,100,0.2,0.7746671042783368,0.05355550548271853,0.03603445496811592,0.005004557947145241,0.5478965475266653,0.06987381106703751,0.050434195324089943,-0.013974613459281205
derived_8.3,9,100,0.2,0.790373663295063,0.05165528313080016,0.03535791379728009,-0.0005101541109379514,0.5825646858310916,0.06714135673327694,0.048059988786963805,-0.024547302202085983
derived_8.3,1,125,0.2,0.7733194983755397,0.053715411409042894,0.03597535514496093,0.005310720567918701,0.5602344911746777,0.06891378468275951,0.04997188899178713,-0.014727270920392213
derived_8.3,8,125,0.2,0.7878487901011163,0.0519654365796733,0.03532978005387388,0.00013733383364799345,0.5859646727039947,0.06686736641930868,0.04776218797168515,-0.024674786518554617
derived_8.3,0,150,0.2,0.7710070090670532,0.053988706024335045,0.036257716627927206,0.005057322309597604,0.5562411791674335,0.06922596507220083,0.05021393009714991,-0.014130707735473508
derived_8.3,7,150,0.2,0.7859980345857369,0.05219161128743156,0.0353823935471656,0.0009354577125853555,0.5865019108430247,0.06682396992867526,0.047616334867255916,-0.02317922243897605
