id,group,Configuration,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson,Train Time (s),Inference Time (s)
282,B,B MSE L2=5.0 L1=0.05 (d9 LR0.005 MCW8),0.6554924319652111,0.061806642130339234,0.057869755507856196,-0.021706045443331476,0.0463816599349086,0.03567809140682221,0.8378873597743943,28.75861042784527,1.8286628182977438
283,B,B MSE L2=5.0 L1=0.08 (d9 LR0.005 MCW8),0.6555338361430085,0.061802927944743645,0.05791266623881168,-0.021580662403251512,0.04632258373011641,0.035181893467903125,0.8376018946412449,28.612351758871228,1.7122014942578971
284,B,B MSE L2=5.0 L1=0.1 (d9 LR0.005 MCW8),0.6552063242024828,0.06183230149435944,0.05796969775646183,-0.021511570052762052,0.04635179387885006,0.03558698582649231,0.8372447340611127,28.752502171788365,1.5843668458983302
285,B,B MSE L2=5.0 L1=0.2 (d9 LR0.005 MCW8),0.6520386872129136,0.06211568037352303,0.05822209681403501,-0.021645904696347924,0.046525032828441226,0.035546130627393716,0.8353997873661028,28.614944919012487,1.5398697797209024
286,C,C MSE sub=0.75 col=0.65 (d9 LR0.005 MCW8),0.6513514982154873,0.06217698626669937,0.058318073130545975,-0.02156339417818546,0.04661317453229345,0.03549741718173028,0.8356274990205675,28.657108457759023,1.2448900719173253
287,C,C MSE sub=0.75 col=0.7 (d9 LR0.005 MCW8),0.6523196658739205,0.062090596111508446,0.05823853579324943,-0.021529400225650072,0.046572534301773744,0.03572880226373673,0.8362616475607533,28.69638366624713,1.0577395083382726
288,C,C MSE sub=0.75 col=0.75 (d9 LR0.005 MCW8),0.6555837666394164,0.06179844860391507,0.05785864254242702,-0.021712340558677577,0.04634623040625596,0.03515161883831025,0.8385881725766902,28.249647909775376,1.602540435269475
289,C,C MSE sub=0.75 col=0.8 (d9 LR0.005 MCW8),0.656019187649645,0.06175937255251005,0.05786750420321938,-0.021577118773740248,0.04631271210745508,0.035343017101287844,0.838688842492849,28.196198563091457,1.5973640219308436
290,C,C MSE sub=0.75 col=0.85 (d9 LR0.005 MCW8),0.6561247104537513,0.06174989888156666,0.05789899754121227,-0.021465229851044956,0.046317236837772155,0.03553928470611571,0.8385375156105328,27.557137029245496,1.7699389401823282
291,C,C MSE sub=0.75 col=0.9 (d9 LR0.005 MCW8),0.6530182240377924,0.06202818863956026,0.058257034987787344,-0.021298217306414482,0.046508912513895044,0.03524654206633568,0.8369688808053821,28.15158984810114,1.4728678339160979
292,C,C MSE sub=0.8 col=0.65 (d9 LR0.005 MCW8),0.6552971216211776,0.06182415954829149,0.05811917095775993,-0.021080528263991077,0.04627514663854896,0.035004252910614,0.8368255170778441,28.296440051868558,1.3183617093600333
293,C,C MSE sub=0.8 col=0.7 (d9 LR0.005 MCW8),0.6532104708352586,0.062011002761743796,0.05823894104375429,-0.021297657386431815,0.04641063193154235,0.035314564079046235,0.8361500368813641,28.480126664042473,1.0825538989156485
294,C,C MSE sub=0.8 col=0.75 (d9 LR0.005 MCW8),0.6559947844909957,0.061761563222720715,0.05794760850520219,-0.02136739012675238,0.04624762380353385,0.03514884608983994,0.8380471754021033,27.960806493181735,1.9997439780272543
295,C,C MSE sub=0.8 col=0.8 (d9 LR0.005 MCW8),0.6552806218506393,0.0618256391881546,0.05802447801164511,-0.02134407672169278,0.046344293114295054,0.03541939687728882,0.8377730348968785,27.789330443367362,1.7845633886754513
296,C,C MSE sub=0.8 col=0.85 (d9 LR0.005 MCW8),0.6548354360818357,0.061865548482205435,0.05810047029948399,-0.02125279840802172,0.04639073711696412,0.03546338391304016,0.8375820360018653,28.016443237196654,1.5368493651039898
297,C,C MSE sub=0.8 col=0.9 (d9 LR0.005 MCW8),0.6536113650820964,0.061975149541116235,0.058219455519807214,-0.021246509315095752,0.04646282585890483,0.03542636460065843,0.8371234651329305,28.328548399265856,1.341189670842141
298,C,C MSE sub=0.85 col=0.65 (d9 LR0.005 MCW8),0.6521057753081141,0.062109692030267394,0.05842422846019224,-0.021076607230653174,0.046503964559760316,0.035189932882785796,0.8349995485988514,28.39412122219801,1.2271973229944706
299,C,C MSE sub=0.85 col=0.7 (d9 LR0.005 MCW8),0.6539637568918615,0.061943616906612695,0.058138283366258696,-0.021376428155884246,0.04634653586082761,0.03545975822210312,0.8367663483456784,28.569272058084607,0.9984738719649613
300,C,C MSE sub=0.85 col=0.75 (d9 LR0.005 MCW8),0.656900296846013,0.06168022330771945,0.05786188350985246,-0.021364746288708807,0.04618781265698941,0.03527967870235443,0.838459647547405,28.263506032060832,1.513095892034471
301,C,C MSE sub=0.85 col=0.8 (d9 LR0.005 MCW8),0.6574275005181698,0.06163281647340715,0.05782511175678802,-0.021327459253829412,0.046181800131169,0.03555013337731361,0.8388789935111564,28.18153208307922,1.6188707519322634
302,C,C MSE sub=0.85 col=0.85 (d9 LR0.005 MCW8),0.6559950589729306,0.06176153858292458,0.05794089384064161,-0.02138552006728942,0.04622561749146209,0.035033475160598765,0.83830156762683,28.047240869142115,1.4565610513091087
303,C,C MSE sub=0.85 col=0.9 (d9 LR0.005 MCW8),0.65384184781835,0.06195452735907889,0.058148582024350984,-0.021380034313474613,0.04636988733745183,0.03512754106521605,0.8375206723404706,28.2979283221066,1.3902892218902707
304,C,C MSE sub=0.9 col=0.65 (d9 LR0.005 MCW8),0.6526159658863246,0.06206413305920313,0.058333806850217676,-0.021192536240982166,0.04645564114010969,0.03526420933008194,0.8354506602069175,28.321013473905623,1.1931628189049661
305,C,C MSE sub=0.9 col=0.7 (d9 LR0.005 MCW8),0.6549157330986303,0.06185835204831897,0.05804083992950313,-0.021394312799216265,0.046354177636658715,0.03525740373134614,0.8372526716156717,28.802754122763872,0.8125977260060608
306,C,C MSE sub=0.9 col=0.75 (d9 LR0.005 MCW8),0.6571164909987693,0.06166078725923512,0.05787925330417084,-0.02126134335201537,0.04611459982356588,0.03500984799861907,0.838475374679727,28.419948623050004,1.447009181138128
307,C,C MSE sub=0.9 col=0.8 (d9 LR0.005 MCW8),0.6583556461922562,0.061549267690161585,0.05777713359898308,-0.021215918272547044,0.046037625675361876,0.03526612561941146,0.8390383415669777,28.34003049507737,1.4783934797160327
308,C,C MSE sub=0.9 col=0.85 (d9 LR0.005 MCW8),0.6569479688333709,0.061675938079628394,0.05784652594461185,-0.02139394245987205,0.04617246648141961,0.03529901403188705,0.8387054789843676,28.125215620268136,1.4616934419609606
309,C,C MSE sub=0.9 col=0.9 (d9 LR0.005 MCW8),0.654700334352484,0.06187765477258182,0.058109944394069114,-0.021262138261778436,0.046267462477551646,0.03497436213493346,0.8377075851589323,28.136629563756287,1.515726748853922
310,C,C MSE sub=0.95 col=0.65 (d9 LR0.005 MCW8),0.6545635067991018,0.061889913298124724,0.05812620733803555,-0.021253361825695018,0.04630552827321718,0.03512173110246658,0.8365437136499023,28.537522930186242,1.198702015914023
311,C,C MSE sub=0.95 col=0.7 (d9 LR0.005 MCW8),0.6538070494883514,0.06195764134021012,0.058212988797387996,-0.02121313877934617,0.04643504434725146,0.035471966981887815,0.8363199549869612,28.655375136993825,1.01079127099365
312,C,C MSE sub=0.95 col=0.75 (d9 LR0.005 MCW8),0.6563123669007549,0.061733047790047436,0.05793729018955727,-0.02131289735601989,0.04613631284412167,0.035048107728362074,0.8382521115962671,27.993381360080093,1.6884331116452813
313,C,C MSE sub=0.95 col=0.8 (d9 LR0.005 MCW8),0.6573692721090407,0.06163805423821889,0.05787041514105233,-0.021219443428612803,0.04608101269203046,0.035030617117881774,0.838591696766214,28.214450553059578,1.4817245253361762
314,C,C MSE sub=0.95 col=0.85 (d9 LR0.005 MCW8),0.6557546182928231,0.06178311878518993,0.05804625384018967,-0.02116095888974545,0.046222254666819305,0.03499992567300797,0.837730456033891,28.153610405977815,1.3844952122308314
