split,station_id,date,input_abs_mean,projected_norm_mean,recurrent_norm_mean,final_hidden_norm,embedding_norm,embedding_ood_score,y_true,y_pred
train,Spokane,2019-09-01,1.016405701637268,6.8991851806640625,2.2121474742889404,2.4907443523406982,7.916635513305664,0.8332849740982056,0.04100000113248825,0.05078025162220001
train,Spokane,2019-09-02,1.0206204652786255,6.900233268737793,2.207995891571045,2.4847426414489746,7.9163055419921875,0.8316162824630737,0.03799999877810478,0.05001230537891388
train,Spokane,2019-09-03,1.0229510068893433,6.900503635406494,2.2064363956451416,2.5023982524871826,7.9169769287109375,0.8392084836959839,0.035999998450279236,0.049346983432769775
train,Spokane,2019-09-04,1.0273903608322144,6.900208950042725,2.2079503536224365,2.519174337387085,7.917336463928223,0.8512420654296875,0.03500000014901161,0.05156607925891876
train,Spokane,2019-09-05,1.0294826030731201,6.899313449859619,2.2121541500091553,2.5333971977233887,7.917548656463623,0.8657718896865845,0.032999999821186066,0.05346551537513733
train,Spokane,2019-09-06,1.0319104194641113,6.898557186126709,2.215869426727295,2.5423755645751953,7.9176788330078125,0.8777427673339844,0.03200000151991844,0.054215893149375916
train,Spokane,2019-09-07,1.032690405845642,6.8970232009887695,2.218228816986084,2.5322868824005127,7.9179840087890625,0.8845747113227844,0.03400000184774399,0.061132192611694336
train,Spokane,2019-09-08,1.0301460027694702,6.8958420753479,2.222219467163086,2.5253262519836426,7.917985916137695,0.8731260895729065,0.03500000014901161,0.05938248336315155
train,Spokane,2019-09-09,1.028823733329773,6.895687103271484,2.2221503257751465,2.4877943992614746,7.917669773101807,0.8478655815124512,0.07199999690055847,0.05889254808425903
train,Spokane,2019-09-10,1.018121600151062,6.8941545486450195,2.221503734588623,2.4791109561920166,7.918213367462158,0.8614025712013245,0.1289999932050705,0.05880589783191681
train,Spokane,2019-09-11,1.0073564052581787,6.892111778259277,2.2215099334716797,2.4863510131835938,7.918329238891602,0.8926145434379578,0.12600000202655792,0.06941388547420502
train,Spokane,2019-09-12,0.9944959282875061,6.889233589172363,2.222742795944214,2.499861717224121,7.918366432189941,0.9308561682701111,0.12200000137090683,0.0792255848646164
train,Spokane,2019-09-13,0.9834828972816467,6.886815071105957,2.2199273109436035,2.509286403656006,7.918350696563721,0.9577400088310242,0.11699999868869781,0.08335259556770325
train,Spokane,2019-09-14,0.9695751070976257,6.884928226470947,2.216916561126709,2.5166685581207275,7.918396472930908,0.9725177884101868,0.1120000034570694,0.08614027500152588
train,Spokane,2019-09-15,0.9531459808349609,6.883786201477051,2.214346170425415,2.5188286304473877,7.9182963371276855,0.9743596315383911,0.10700000077486038,0.08506123721599579
train,Spokane,2019-09-16,0.9362392425537109,6.883599758148193,2.2086987495422363,2.4676690101623535,7.917866230010986,0.9353659749031067,0.10300000011920929,0.07015226781368256
train,Spokane,2019-09-17,0.9168773293495178,6.882706642150879,2.202399969100952,2.4386885166168213,7.918048858642578,0.9705228209495544,0.0989999994635582,0.07262849807739258
train,Spokane,2019-09-18,0.8982130885124207,6.881390571594238,2.1963000297546387,2.426255226135254,7.918182373046875,0.9972257614135742,0.09700000286102295,0.07976923882961273
