family,ece_input,policy,seed,station,n,r2,rmse,ubrmse,bias,mae,pearson
Clustering_Backbone54_k2,v3,auto_soft,42,ECE_Renton_Garden_North,30,-3.723033390534904,0.056306691222058905,0.018521222914019878,-0.053173374710897094,0.053173374710897094,0.7424469276784855
Clustering_Backbone54_k2,v3,auto_soft,42,ECE_Renton_Garden_Shed,30,-59.50009962223753,0.03515108021423172,0.02378812946917388,0.025879013439178353,0.025879013439178353,0.4674169958850486
Clustering_Backbone54_k2,v3,auto_soft,42,ECE_Renton_Home,30,-1221.27902881888,0.08714332250678226,0.023480031764890125,0.08392047882275705,0.08392047882275705,0.5690922573936774
Clustering_Backbone54_k2,v3,c0_only,42,ECE_BBG_Lost_Meadow,30,-38.22718059515354,0.047811578595483496,0.02525923477372636,0.04059455759628215,0.04072839328914198,-0.34206531321773515
Clustering_Backbone54_k2,v3,c0_only,42,ECE_BBG_Main_St,30,-75.32681243522232,0.04893932226438327,0.01673088527467931,0.04599059405598801,0.04599059405598801,0.7063169842362044
Clustering_Backbone54_k2,v3,c0_only,42,ECE_Renton_Garden_North,30,-3.723044560931285,0.05630675780719984,0.01852122647398032,-0.053173443979661415,0.053173443979661415,0.7424469501684355
Clustering_Backbone54_k2,v3,c0_only,42,ECE_Renton_Garden_Shed,30,-59.49995236573987,0.03515103743555744,0.023788141635866105,0.025878944149789692,0.025878944149789692,0.4674170201524057
Clustering_Backbone54_k2,v3,c0_only,42,ECE_Renton_Home,30,-1221.2771318747332,0.08714325488471078,0.023480041959161847,0.0839204057515076,0.0839204057515076,0.5690922423682249
Clustering_Backbone54_k2,v3,c1_only,42,ECE_BBG_Lost_Meadow,30,-710.0474621908259,0.20355830736634384,0.008035881549641308,0.2033996290694038,0.2033996290694038,0.03836449976947791
Clustering_Backbone54_k2,v3,c1_only,42,ECE_BBG_Main_St,30,-1431.061913860699,0.21198263449793397,0.011073000747866903,0.21169323556297778,0.21169323556297778,-0.3611152115205984
Clustering_Backbone54_k2,v3,c1_only,42,ECE_Renton_Garden_North,30,-14.6989308140909,0.10265604710626444,0.02864654667950892,0.09857808768089539,0.09857808768089539,-0.6071370943352052
Clustering_Backbone54_k2,v3,c1_only,42,ECE_Renton_Garden_Shed,30,-1547.5773534837044,0.17783903074517404,0.007621095983779147,0.17767565886296577,0.17767565886296577,-0.5112907975360753
Clustering_Backbone54_k2,v3,c1_only,42,ECE_Renton_Home,30,-9583.944590657726,0.24403029072583218,0.0036969337042823997,0.2440022857944579,0.2440022857944579,0.5168757556227189
Guarded_Backbone54_k2,v3,as_routed,42,ECE_BBG_Lost_Meadow,30,-38.22718059515354,0.047811578595483496,0.02525923477372636,0.04059455759628215,0.04072839328914198,-0.34206531321773515
Guarded_Backbone54_k2,v3,as_routed,42,ECE_BBG_Main_St,30,-1431.061913860699,0.21198263449793397,0.011073000747866903,0.21169323556297778,0.21169323556297778,-0.3611152115205984
Guarded_Backbone54_k2,v3,as_routed,42,ECE_Renton_Garden_North,30,-14.411043605108885,0.10171043789755284,0.07398951361603899,0.06978943367139423,0.09564533067472449,-0.8458059487541495
Guarded_Backbone54_k2,v3,as_routed,42,ECE_Renton_Garden_Shed,30,-1221.3310850841217,0.15799926222366903,0.053025396244286586,0.14883572896438585,0.14883572896438585,-0.43581611973166107
Guarded_Backbone54_k2,v3,as_routed,42,ECE_Renton_Home,30,-9583.944590657726,0.24403029072583218,0.0036969337042823997,0.2440022857944579,0.2440022857944579,0.5168757556227189
Guarded_Backbone54_k2,v3,auto_hard,42,ECE_BBG_Lost_Meadow,30,-38.22718059515354,0.047811578595483496,0.02525923477372636,0.04059455759628215,0.04072839328914198,-0.34206531321773515
Guarded_Backbone54_k2,v3,auto_hard,42,ECE_BBG_Main_St,30,-75.32681243522232,0.04893932226438327,0.01673088527467931,0.04599059405598801,0.04599059405598801,0.7063169842362044
Guarded_Backbone54_k2,v3,auto_hard,42,ECE_Renton_Garden_North,30,-3.723044560931285,0.05630675780719984,0.01852122647398032,-0.053173443979661415,0.053173443979661415,0.7424469501684355
Guarded_Backbone54_k2,v3,auto_hard,42,ECE_Renton_Garden_Shed,30,-59.49995236573987,0.03515103743555744,0.023788141635866105,0.025878944149789692,0.025878944149789692,0.4674170201524057
Guarded_Backbone54_k2,v3,auto_hard,42,ECE_Renton_Home,30,-1221.2771318747332,0.08714325488471078,0.023480041959161847,0.0839204057515076,0.0839204057515076,0.5690922423682249
Guarded_Backbone54_k2,v3,auto_soft,42,ECE_BBG_Lost_Meadow,30,-38.22727596203075,0.04781163671383543,0.025259225350385932,0.0405946319105642,0.040728462295056486,-0.3420653100304784
Guarded_Backbone54_k2,v3,auto_soft,42,ECE_BBG_Main_St,30,-75.32702290438426,0.04893938973877866,0.016730874729154396,0.04599066969289985,0.04599066969289985,0.7063169792599364
Guarded_Backbone54_k2,v3,auto_soft,42,ECE_Renton_Garden_North,30,-3.723033390534904,0.056306691222058905,0.018521222914019878,-0.053173374710897094,0.053173374710897094,0.7424469276784855
Guarded_Backbone54_k2,v3,auto_soft,42,ECE_Renton_Garden_Shed,30,-59.50009962223753,0.03515108021423172,0.02378812946917388,0.025879013439178353,0.025879013439178353,0.4674169958850486
Guarded_Backbone54_k2,v3,auto_soft,42,ECE_Renton_Home,30,-1221.27902881888,0.08714332250678226,0.023480031764890125,0.08392047882275705,0.08392047882275705,0.5690922573936774
Guarded_Backbone54_k2,v3,c0_only,42,ECE_BBG_Lost_Meadow,30,-710.0474621908259,0.20355830736634384,0.008035881549641308,0.2033996290694038,0.2033996290694038,0.03836449976947791
Guarded_Backbone54_k2,v3,c0_only,42,ECE_BBG_Main_St,30,-1431.061913860699,0.21198263449793397,0.011073000747866903,0.21169323556297778,0.21169323556297778,-0.3611152115205984
Guarded_Backbone54_k2,v3,c0_only,42,ECE_Renton_Garden_North,30,-14.6989308140909,0.10265604710626444,0.02864654667950892,0.09857808768089539,0.09857808768089539,-0.6071370943352052
Guarded_Backbone54_k2,v3,c0_only,42,ECE_Renton_Garden_Shed,30,-1547.5773534837044,0.17783903074517404,0.007621095983779147,0.17767565886296577,0.17767565886296577,-0.5112907975360753
Guarded_Backbone54_k2,v3,c0_only,42,ECE_Renton_Home,30,-9583.944590657726,0.24403029072583218,0.0036969337042823997,0.2440022857944579,0.2440022857944579,0.5168757556227189
Guarded_Backbone54_k2,v3,c1_only,42,ECE_BBG_Lost_Meadow,30,-38.22718059515354,0.047811578595483496,0.02525923477372636,0.04059455759628215,0.04072839328914198,-0.34206531321773515
Guarded_Backbone54_k2,v3,c1_only,42,ECE_BBG_Main_St,30,-75.32681243522232,0.04893932226438327,0.01673088527467931,0.04599059405598801,0.04599059405598801,0.7063169842362044
Guarded_Backbone54_k2,v3,c1_only,42,ECE_Renton_Garden_North,30,-3.723044560931285,0.05630675780719984,0.01852122647398032,-0.053173443979661415,0.053173443979661415,0.7424469501684355
Guarded_Backbone54_k2,v3,c1_only,42,ECE_Renton_Garden_Shed,30,-59.49995236573987,0.03515103743555744,0.023788141635866105,0.025878944149789692,0.025878944149789692,0.4674170201524057
Guarded_Backbone54_k2,v3,c1_only,42,ECE_Renton_Home,30,-1221.2771318747332,0.08714325488471078,0.023480041959161847,0.0839204057515076,0.0839204057515076,0.5690922423682249
Global_Single_54,v3,direct,42,ECE_BBG_Lost_Meadow,30,-58.920163382363036,0.05909163818980938,0.02306178630391654,0.05440565886401731,0.05440565886401731,-0.5233061691966469
Global_Single_54,v3,direct,42,ECE_BBG_Main_St,30,-49.193475788919336,0.039686520429382595,0.023300226581337624,0.03212661427928766,0.03212661427928766,0.7468989960344904
Global_Single_54,v3,direct,42,ECE_Renton_Garden_North,30,-9.084954195337184,0.08227851873889915,0.01541666762368866,-0.08082129054431195,0.08082129054431195,0.8195320630337851
Global_Single_54,v3,direct,42,ECE_Renton_Garden_Shed,30,-26.926350535257505,0.02388183664180626,0.02381615904107614,-0.0017699406532670234,0.020038903162016137,0.4104056279848993
Global_Single_54,v3,direct,42,ECE_Renton_Home,30,-693.9998918690727,0.06571148812991419,0.024554452174921654,0.06095144420468918,0.06095144420468918,0.6600760669876182
Clustering_V0_Full_k2,v3,as_routed,7,ECE_BBG_Lost_Meadow,30,-633.9278655543421,0.1923542248059191,0.020479064377048495,0.19126096236013967,0.19126096236013967,0.12517782135998565
Clustering_V0_Full_k2,v3,as_routed,7,ECE_BBG_Main_St,30,-1092.2573216877129,0.1852168889397785,0.05882175722427519,0.1756282916433986,0.1756282916433986,-0.5574428984136843
Clustering_V0_Full_k2,v3,as_routed,7,ECE_Renton_Garden_North,30,-3.962044990384679,0.057713823676875525,0.01812981026282341,-0.05479229346577401,0.05479229346577401,0.741031986248262
Clustering_V0_Full_k2,v3,as_routed,7,ECE_Renton_Garden_Shed,30,-51.897061423165454,0.032868236560490725,0.022508162181842654,0.023952110758600115,0.023952110758600115,0.48954050097094653
Clustering_V0_Full_k2,v3,as_routed,7,ECE_Renton_Home,30,-8713.958451768205,0.23269207612718218,0.01910164011788173,0.23190672615770608,0.23190672615770608,0.12861065232348004
Clustering_V0_Full_k2,v3,auto_hard,7,ECE_BBG_Lost_Meadow,30,-37.41818350137932,0.047315991913054294,0.02396441657300903,0.040798404736355924,0.040912859482261664,-0.35921718911495626
Clustering_V0_Full_k2,v3,auto_hard,7,ECE_BBG_Main_St,30,-71.09640972423074,0.04756376305435367,0.015169260215893047,0.04507998558554809,0.04507998558554809,0.7277267314762742
Clustering_V0_Full_k2,v3,auto_hard,7,ECE_Renton_Garden_North,30,-3.962044990384679,0.057713823676875525,0.01812981026282341,-0.05479229346577401,0.05479229346577401,0.741031986248262
Clustering_V0_Full_k2,v3,auto_hard,7,ECE_Renton_Garden_Shed,30,-51.897061423165454,0.032868236560490725,0.022508162181842654,0.023952110758600115,0.023952110758600115,0.48954050097094653
Clustering_V0_Full_k2,v3,auto_hard,7,ECE_Renton_Home,30,-1172.3616631628424,0.08538171644999885,0.0219316422432021,0.08251691082720074,0.08251691082720074,0.5935101941727637
Clustering_V0_Full_k2,v3,auto_soft,7,ECE_BBG_Lost_Meadow,30,-37.41830641739867,0.047316067604929804,0.023964405520054452,0.040798499012398376,0.04091294703846413,-0.3592171879595677
Clustering_V0_Full_k2,v3,auto_soft,7,ECE_BBG_Main_St,30,-71.0966762934056,0.04756385098537132,0.015169246994970645,0.04508008281008568,0.04508008281008568,0.7277267159252314
Clustering_V0_Full_k2,v3,auto_soft,7,ECE_Renton_Garden_North,30,-3.9620301757794607,0.05771373752205899,0.018129806937354876,-0.054792203817508184,0.054792203817508184,0.7410319603767644
Clustering_V0_Full_k2,v3,auto_soft,7,ECE_Renton_Garden_Shed,30,-51.89723980028685,0.03286829197884784,0.02250814746129203,0.02395220063934682,0.02395220063934682,0.4895404787565154
Clustering_V0_Full_k2,v3,auto_soft,7,ECE_Renton_Home,30,-1172.364069207065,0.0853818039899649,0.021931630665511483,0.08251700448351468,0.08251700448351468,0.5935102141527545
Clustering_V0_Full_k2,v3,c0_only,7,ECE_BBG_Lost_Meadow,30,-37.41818350137932,0.047315991913054294,0.02396441657300903,0.040798404736355924,0.040912859482261664,-0.35921718911495626
Clustering_V0_Full_k2,v3,c0_only,7,ECE_BBG_Main_St,30,-71.09640972423074,0.04756376305435367,0.015169260215893047,0.04507998558554809,0.04507998558554809,0.7277267314762742
Clustering_V0_Full_k2,v3,c0_only,7,ECE_Renton_Garden_North,30,-3.962044990384679,0.057713823676875525,0.01812981026282341,-0.05479229346577401,0.05479229346577401,0.741031986248262
Clustering_V0_Full_k2,v3,c0_only,7,ECE_Renton_Garden_Shed,30,-51.897061423165454,0.032868236560490725,0.022508162181842654,0.023952110758600115,0.023952110758600115,0.48954050097094653
Clustering_V0_Full_k2,v3,c0_only,7,ECE_Renton_Home,30,-1172.3616631628424,0.08538171644999885,0.0219316422432021,0.08251691082720074,0.08251691082720074,0.5935101941727637
Clustering_V0_Full_k2,v3,c1_only,7,ECE_BBG_Lost_Meadow,30,-652.9605335923172,0.19521595306275433,0.008518800091064753,0.19502999352717001,0.19502999352717001,-0.1386823068665117
Clustering_V0_Full_k2,v3,c1_only,7,ECE_BBG_Main_St,30,-1331.2349850945188,0.20446068195088443,0.011532388075336159,0.20413518679811318,0.20413518679811318,-0.39998726355156106
Clustering_V0_Full_k2,v3,c1_only,7,ECE_Renton_Garden_North,30,-12.685555812655306,0.09584748453390234,0.027329987141656596,0.09186844993964757,0.09186844993964757,-0.34190813109834856
Clustering_V0_Full_k2,v3,c1_only,7,ECE_Renton_Garden_Shed,30,-1432.7134246161525,0.1711164677153979,0.00649437488675854,0.1709931829583421,0.1709931829583421,-0.286879677409253
