artifact_arm,dataset,model,beta,station,test_row_count,test_target_mean,test_target_standard_deviation,R2,RMSE,MAE,Bias,Pearson
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,0.0,RainyPass_WA_711,986,0.11095334685598378,0.07466173789452946,0.0235670725033754,0.0737767131496158,0.0599309168447103,-0.0212671141867463,0.3491139526083487
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,0.0,SourdoughGulch_WA_985,906,0.2381887417218543,0.08016483243232275,0.5555651311921752,0.0534426458964686,0.0382958282444782,0.0035146406719884,0.7804194857090092
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,0.0,Spokane,897,0.15959308807134895,0.11485446404947203,0.8949608889936528,0.0372240307527774,0.0256980278096603,0.0004204718202119,0.94774593901352
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.0,BeaverPass_WA_990,626,0.23447923322683706,0.0911125960545272,0.4336485556434866,0.068567991348611,0.0612906285427248,-0.0548615270344593,0.892337526417338
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.0,CayusePass_WA,1081,0.18881776133209993,0.11943179963127902,0.5502780278559066,0.080092533151756,0.0616837972810045,0.0094588513796137,0.7489646437173181
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.0,Darrington,999,0.20422922922922923,0.09343116122790567,0.8815521029904438,0.0321555116095776,0.0254079771117047,-0.0097982191705369,0.9493279090067048
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.0,MartenRidge_WA_999,790,0.18623417721518987,0.10745482228321798,-0.5678083986914859,0.134546499607007,0.1075529080243804,-0.1040776825120931,0.6379875476435958
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.0,Paradise_WA,1067,0.16973383317713214,0.09841592784423522,0.68286404964491,0.0554227574394818,0.0417211251021995,-0.0201157427327925,0.8541675281617748
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.0,Quinault,1044,0.2410258620689655,0.06940345358458443,0.480842730348065,0.0500069712680615,0.0418168810938281,0.0367606712595713,0.8736533206073296
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.0,RainyPass_WA_711,986,0.11095334685598378,0.07466173789452946,0.0235670725033754,0.0737767131496158,0.0599309168447103,-0.0212671141867463,0.3491139526083487
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.0,SourdoughGulch_WA_985,906,0.2381887417218543,0.08016483243232275,0.5555651311921752,0.0534426458964686,0.0382958282444782,0.0035146406719884,0.7804194857090092
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.0,Spokane,897,0.15959308807134895,0.11485446404947203,0.8949608889936528,0.0372240307527774,0.0256980278096603,0.0004204718202119,0.94774593901352
nested,derived_8.3,2.0_global,0.0,BeaverPass_WA_990,626,0.23447923322683706,0.0911125960545272,0.5050477175448196,0.0641003036393293,0.0578313717959216,-0.0513271445217795,0.9069091369007402
nested,derived_8.3,2.0_global,0.0,CayusePass_WA,1081,0.18881776133209993,0.11943179963127902,0.5412166247993198,0.0808953973347996,0.0620403741508805,0.0092122067461181,0.7426747731931018
nested,derived_8.3,2.0_global,0.0,Darrington,999,0.20422922922922923,0.09343116122790567,0.8701670158690219,0.0336654377691605,0.0260851526473377,-0.0117176025941803,0.9477313501573524
nested,derived_8.3,2.0_global,0.0,MartenRidge_WA_999,790,0.18623417721518987,0.10745482228321798,-0.5783995316148558,0.1350001906816136,0.1069343667713147,-0.1039435642146611,0.6306814671745911
nested,derived_8.3,2.0_global,0.0,Paradise_WA,1067,0.16973383317713214,0.09841592784423522,0.6454814228235701,0.0585982828964059,0.0443690455495584,-0.0203257238283376,0.8315500427306819
nested,derived_8.3,2.0_global,0.0,Quinault,1044,0.2410258620689655,0.06940345358458443,0.4938571692327752,0.0493761958216034,0.0411423027201402,0.0375380463981537,0.8871585666536618
nested,derived_8.3,2.0_global,0.0,RainyPass_WA_711,986,0.11095334685598378,0.07466173789452946,0.0173534159803865,0.07401108467923,0.0601060354852289,-0.0230857879437249,0.3538450572448549
nested,derived_8.3,2.0_global,0.0,SourdoughGulch_WA_985,906,0.2381887417218543,0.08016483243232275,0.5679853037956465,0.0526906006678493,0.0380304003379597,-0.0007557255175071,0.7834516429894824
nested,derived_8.3,2.0_global,0.0,Spokane,897,0.15959308807134895,0.11485446404947203,0.906857907463372,0.0350526514878601,0.0253636949822522,0.0033811820676361,0.9545041974858464
nested,derived_8.3,V0,0.0,BeaverPass_WA_990,626,0.23447923322683706,0.0911125960545272,0.609967385486564,0.0569021771276969,0.0450297360756336,-0.0344557078293146,0.8755782012148368
nested,derived_8.3,V0,0.0,CayusePass_WA,1081,0.18881776133209993,0.11943179963127902,0.7024077808212159,0.0651524516210737,0.0527042414930327,0.0041246789231772,0.850006059336784
nested,derived_8.3,V0,0.0,Darrington,999,0.20422922922922923,0.09343116122790567,0.8166170801758744,0.0400102429254521,0.0323530239799359,-0.0229474768340885,0.9440048269336084
nested,derived_8.3,V0,0.0,MartenRidge_WA_999,790,0.18623417721518987,0.10745482228321798,-0.1608295283526963,0.1157737587986216,0.0876311143843433,-0.0746136269803288,0.5900676272615611
nested,derived_8.3,V0,0.0,Paradise_WA,1067,0.16973383317713214,0.09841592784423522,0.7391201080286245,0.0502673156935357,0.0410422667004621,-0.0122201118358631,0.8739949797809818
nested,derived_8.3,V0,0.0,Quinault,1044,0.2410258620689655,0.06940345358458443,0.712704848582355,0.0372001961823544,0.0293682976537509,0.0192064396007079,0.8885802391303184
nested,derived_8.3,V0,0.0,RainyPass_WA_711,986,0.11095334685598378,0.07466173789452946,0.0072001836279583,0.0743924632006575,0.061506400310304,-0.0279665303384435,0.3977937331394613
nested,derived_8.3,V0,0.0,SourdoughGulch_WA_985,906,0.2381887417218543,0.08016483243232275,0.5226307164897269,0.0553874185612526,0.0405300503354725,-0.0037751666833759,0.7577012734972592
nested,derived_8.3,V0,0.0,Spokane,897,0.15959308807134895,0.11485446404947203,0.9185411474675288,0.0327806094520234,0.0242419814549162,-0.0016945602018033,0.9600301550581422
original,derived_8.0,2.0_global,0.0,Darrington,999,0.20422922922922923,0.09343116122790567,0.8547023079586207,0.0356140287152632,0.0283171345226996,-0.019995452307008,0.9503948417638736
original,derived_8.0,2.0_global,0.0,Quinault,1044,0.2410258620689655,0.06940345358458443,0.6118144863717923,0.0432414993345667,0.0332237127957101,0.0279065683667344,0.8800163679656218
original,derived_8.0,2.0_global,0.0,SourdoughGulch_WA_985,906,0.2381887417218543,0.08016483243232275,0.5374681903534431,0.0545198549843669,0.0393861405972481,-0.0028138163199619,0.7678669661167044
original,derived_8.0,2.0_global,0.0,Spokane,897,0.15959308807134895,0.11485446404947203,0.8813221794741751,0.0395669578760992,0.0301237400481799,-0.0066170241435368,0.9450584252568216
original,derived_8.0,2.0_global,0.0,Touchet_WA_824,170,0.19887058823529416,0.029957337600737613,-0.844050299336772,0.0406808103301166,0.0312718622018309,0.0057820138784015,-0.0664610174666271
original,derived_8.0,hand_mdr_v25,0.0,Darrington,999,0.20422922922922923,0.09343116122790567,0.8899744172255055,0.030991213747315,0.0239731935188696,-0.0158800397937123,0.9592126160126306
original,derived_8.0,hand_mdr_v25,0.0,Quinault,1044,0.2410258620689655,0.06940345358458443,0.7888837596623488,0.0318890736458802,0.0249923633680718,0.0140607853756782,0.9113848557289704
original,derived_8.0,hand_mdr_v25,0.0,SourdoughGulch_WA_985,906,0.2381887417218543,0.08016483243232275,0.414298584875729,0.0613510536532523,0.0455851892001318,-0.002456416713744,0.6840883856347006
original,derived_8.0,hand_mdr_v25,0.0,Spokane,897,0.15959308807134895,0.11485446404947203,0.9385373255197794,0.0284743360802514,0.0223261613613254,-0.0053459512562789,0.9756546185539056
original,derived_8.0,hand_mdr_v25,0.0,Touchet_WA_824,170,0.19887058823529416,0.029957337600737613,-0.1271049991866024,0.0318042678029286,0.0205369189311476,-0.0068515771353946,0.2325253051720951
original,derived_8.3,2.0_global,0.0,BeaverPass_WA_990,626,0.23447923322683706,0.0911125960545272,0.4607122614105764,0.0669096401463534,0.0592164633197906,-0.0578815481586578,0.9334994803441256
original,derived_8.3,2.0_global,0.0,CayusePass_WA,1081,0.18881776133209993,0.11943179963127902,0.6461577148836986,0.0710435806262198,0.0557602870305526,0.0016836859081543,0.8121242563226019
original,derived_8.3,2.0_global,0.0,Darrington,999,0.20422922922922923,0.09343116122790567,0.780404944143011,0.043782748924423,0.0368601322362611,-0.0302334479353688,0.9548493347602208
original,derived_8.3,2.0_global,0.0,MartenRidge_WA_999,790,0.18623417721518987,0.10745482228321798,-0.5217599385887066,0.1325558758553222,0.1065406881870348,-0.1059404297437094,0.6877236650797706
original,derived_8.3,2.0_global,0.0,Paradise_WA,1067,0.16973383317713214,0.09841592784423522,0.754377653489297,0.0487752303683846,0.0381111210524868,-0.0177922303154296,0.8913460819951788
original,derived_8.3,2.0_global,0.0,Quinault,1044,0.2410258620689655,0.06940345358458443,0.7707749109330063,0.033228608660123,0.025914139677567,0.0174032085141117,0.9137977111390138
original,derived_8.3,2.0_global,0.0,RainyPass_WA_711,986,0.11095334685598378,0.07466173789452946,0.0096172368643857,0.0743018507149825,0.0608906719159282,-0.0262487640260561,0.3666464539898048
original,derived_8.3,2.0_global,0.0,SourdoughGulch_WA_985,906,0.2381887417218543,0.08016483243232275,0.4193953128176697,0.0610835343614704,0.0436668404869685,-0.0088242184619766,0.7275791705973161
original,derived_8.3,2.0_global,0.0,Spokane,897,0.15959308807134895,0.11485446404947203,0.9551276637810162,0.0243297261217672,0.0185606633094508,-0.0057713709112128,0.9809991672289712
original,derived_8.3,V0,0.0,BeaverPass_WA_990,626,0.23447923322683706,0.0911125960545272,0.609967385486564,0.0569021771276969,0.0450297360756336,-0.0344557078293146,0.8755782012148368
original,derived_8.3,V0,0.0,CayusePass_WA,1081,0.18881776133209993,0.11943179963127902,0.7024077808212159,0.0651524516210737,0.0527042414930327,0.0041246789231772,0.850006059336784
original,derived_8.3,V0,0.0,Darrington,999,0.20422922922922923,0.09343116122790567,0.8166170801758744,0.0400102429254521,0.0323530239799359,-0.0229474768340885,0.9440048269336084
original,derived_8.3,V0,0.0,MartenRidge_WA_999,790,0.18623417721518987,0.10745482228321798,-0.1608295283526963,0.1157737587986216,0.0876311143843433,-0.0746136269803288,0.5900676272615611
original,derived_8.3,V0,0.0,Paradise_WA,1067,0.16973383317713214,0.09841592784423522,0.7391201080286245,0.0502673156935357,0.0410422667004621,-0.0122201118358631,0.8739949797809818
original,derived_8.3,V0,0.0,Quinault,1044,0.2410258620689655,0.06940345358458443,0.712704848582355,0.0372001961823544,0.0293682976537509,0.0192064396007079,0.8885802391303184
original,derived_8.3,V0,0.0,RainyPass_WA_711,986,0.11095334685598378,0.07466173789452946,0.0072001836279583,0.0743924632006575,0.061506400310304,-0.0279665303384435,0.3977937331394613
original,derived_8.3,V0,0.0,SourdoughGulch_WA_985,906,0.2381887417218543,0.08016483243232275,0.5226307164897269,0.0553874185612526,0.0405300503354725,-0.0037751666833759,0.7577012734972592
original,derived_8.3,V0,0.0,Spokane,897,0.15959308807134895,0.11485446404947203,0.9185411474675288,0.0327806094520234,0.0242419814549162,-0.0016945602018033,0.9600301550581422
