artifact_arm,dataset,model,metric,value_beta_0_0,value_beta_0_2,difference_beta_0_2_minus_0_0
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,RMSE,0.0692790101779224,0.0685616424420341,-0.0007173677358883052
nested,derived_8.3,2.0_global,Bias,-0.0141622056337681,-0.0147272709203922,-0.0005650652866241012
nested,derived_8.3,2.0_global,MAE,0.050091825176309,0.0499718889917871,-0.0001199361845218988
nested,derived_8.3,2.0_global,R2,0.5543859842530847,0.5602344911746777,0.005848506921593
nested,derived_8.3,2.0_global,RMSE,0.0693705184926459,0.0689137846827595,-0.00045673380988640877
nested,derived_8.3,V0,Bias,-0.0148263990796211,-0.0150148435611279,-0.00018844448150679913
nested,derived_8.3,V0,MAE,0.0452923232672426,0.0456711217203186,0.00037879845307599996
nested,derived_8.3,V0,R2,0.6454780649748695,0.6355667663963993,-0.009911298578470173
nested,derived_8.3,V0,RMSE,0.0618752654385908,0.0627342206000745,0.000858955161483696
original,derived_8.0,2.0_global,Bias,0.0004126381067878,-0.0003171418268396,-0.0007297799336274001
original,derived_8.0,2.0_global,MAE,0.0326183835471946,0.033255807925639,0.0006374243784443984
original,derived_8.0,2.0_global,R2,0.7866324386332015,0.7796408495724085,-0.006991589060793002
original,derived_8.0,2.0_global,RMSE,0.043495857997676,0.0442027460226027,0.0007068880249266954
original,derived_8.0,hand_mdr_v25,Bias,-0.0023332419706827,-0.0027524353763704,-0.0004191934056877
original,derived_8.0,hand_mdr_v25,MAE,0.0286004163486905,0.0281324268487018,-0.00046798949998870173
original,derived_8.0,hand_mdr_v25,R2,0.8222217274633208,0.8253479076167946,0.0031261801534737677
original,derived_8.0,hand_mdr_v25,RMSE,0.0397029746345566,0.039352343625964,-0.00035063100859259594
original,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,Bias,-0.0223467147406962,-0.0216744205534756,0.0006722941872206005
original,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,MAE,0.0483016094500363,0.0482371338618162,-6.447558822009897e-05
original,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,R2,0.5889446451224303,0.588185151870515,-0.0007594932519152664
original,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,RMSE,0.0666262967162662,0.0666878199025177,6.152318625149422e-05
original,derived_8.3,2.0_global,Bias,-0.0224128444124582,-0.0219991284976436,0.00041371591481460107
original,derived_8.3,2.0_global,MAE,0.0479162690632751,0.0475757890044932,-0.00034048005878190013
original,derived_8.3,2.0_global,R2,0.5908154765045462,0.5977885372408511,0.006973060736304881
original,derived_8.3,2.0_global,RMSE,0.0664745060698634,0.0659056642049043,-0.000568841864959091
original,derived_8.3,V0,Bias,-0.0148263990796211,-0.0150148435611279,-0.00018844448150679913
original,derived_8.3,V0,MAE,0.0452923232672426,0.0456711217203186,0.00037879845307599996
original,derived_8.3,V0,R2,0.6454780649748695,0.6355667663963993,-0.009911298578470173
original,derived_8.3,V0,RMSE,0.0618752654385908,0.0627342206000745,0.000858955161483696
