artifact_arm,dataset,model,beta,year,R2,RMSE,MAE,Bias
nested,derived_8.0,hand_mdr_v25,0.0,2025,0.8266252873812135,0.0408934265093122,0.028565187338381,-0.0094464082137971
nested,derived_8.0,hand_mdr_v25,0.2,2023,0.8145673323577849,0.0407818529857904,0.0287855383642194,0.0007123557573528
nested,derived_8.0,hand_mdr_v25,0.2,2024,0.8328994220041899,0.0365101067161435,0.0272384250522937,0.0008997291749304
nested,derived_8.0,hand_mdr_v25,0.2,2025,0.8248562532266523,0.0411015256807108,0.0285364885061339,-0.0105798874450943
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,0.0,2023,0.5466379993247674,0.0708844611713359,0.0506250588944208,-0.0242979479153704
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,0.0,2024,0.5669353030065412,0.0654477536436747,0.0468807109055486,-0.0164041962408938
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,0.0,2025,0.5319765807217701,0.0717861565515628,0.0533467903393194,0.0027369652625827
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,0.2,2023,0.5611366887691565,0.0697417951828713,0.0493963136549218,-0.024378002504812
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,0.2,2024,0.5766964031849946,0.0647059672045314,0.0464920370565677,-0.0156730509297469
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,0.2,2025,0.533949736823347,0.0716346738539855,0.0533039417202659,0.0026574394076911
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,0.0,2023,0.5466379993247674,0.0708844611713359,0.0506250588944208,-0.0242979479153704
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,0.0,2024,0.5669353030065412,0.0654477536436747,0.0468807109055486,-0.0164041962408938
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,0.0,2025,0.5319765807217701,0.0717861565515628,0.0533467903393194,0.0027369652625827
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,0.2,2023,0.5611366887691565,0.0697417951828713,0.0493963136549218,-0.024378002504812
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,0.2,2024,0.5766964031849946,0.0647059672045314,0.0464920370565677,-0.0156730509297469
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,0.2,2025,0.533949736823347,0.0716346738539855,0.0533039417202659,0.0026574394076911
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.0,2023,0.5466379993247674,0.0708844611713359,0.0506250588944208,-0.0242979479153704
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.0,2024,0.5669353030065412,0.0654477536436747,0.0468807109055486,-0.0164041962408938
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.0,2025,0.5319765807217701,0.0717861565515628,0.0533467903393194,0.0027369652625827
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.2,2023,0.5611366887691565,0.0697417951828713,0.0493963136549218,-0.024378002504812
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.2,2024,0.5766964031849946,0.0647059672045314,0.0464920370565677,-0.0156730509297469
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.2,2025,0.533949736823347,0.0716346738539855,0.0533039417202659,0.0026574394076911
