station_id,date,precip_mm,daily_mean,hourly_weighted,simple_minus_hourly,hourly_max,hourly_min,hourly_range,spike_above_daily,dip_below_daily,d_target_vs_prev_day,d_pred_vs_prev_day,target,best_1_1,n_hours
ECE_BBG_Lost_Meadow,2026-07-25,0.0,0.0553045766590389,0.05489392396944157,0.0004106526895973281,0.064125,0.0372625,0.026862500000000004,0.0088204233409611,0.018042076659038904,0.0003628045071401992,0.017826914787292494,0.0553045766590389,0.10259427130222316,24
ECE_BBG_Main_St,2026-07-25,0.0,0.0626308924485126,0.06236436752268143,0.0002665249258311658,0.0726,0.048355555555555554,0.024244444444444443,0.009969107551487402,0.014275336892957041,-0.0009316075514874955,0.017101459205150576,0.0626308924485125,0.1076258942484855,24
ECE_Renton_Garden_North,2026-07-25,0.5,0.18906824644549763,0.18845473039659258,0.0006135160489050551,0.23294761904761904,0.17023846153846153,0.06270915750915751,0.04387937260212141,0.0188297849070361,0.02091836809999892,0.017814981440703093,0.1890682464454976,0.10842063774665193,24
ECE_Renton_Garden_Shed,2026-07-25,0.5,0.07982072072072074,0.08022313213406963,-0.0004024114133488882,0.09643333333333333,0.06151818181818181,0.03491515151515152,0.016612612612612584,0.018302538902538933,0.0034317136285222094,0.017486870288848905,0.0798207207207207,0.1079754034678141,24
ECE_Renton_Home,2026-07-25,0.8,0.02083447432762836,0.020936344029091076,-0.00010186970146271526,0.02565882352941176,0.012452941176470588,0.013205882352941173,0.004824349201783401,0.008381533151157772,0.0024580037393931026,0.00416887303193407,0.0208344743276283,0.10507293293873464,24
ECE_BBG_Lost_Meadow,2026-07-26,6.2,0.05433018433179723,0.05363326260425091,0.0006969217275463249,0.06065909090909091,0.034333333333333334,0.02632575757575758,0.00632890657729368,0.0199968509984639,-0.0009743923272417035,0.00243545075257616,0.0543301843317972,0.10502972205479932,24
ECE_BBG_Main_St,2026-07-26,6.2,0.0627425837320574,0.06272106186626697,2.1521865790435912e-05,0.07083684210526316,0.042431578947368424,0.028405263157894732,0.008094258373205751,0.02031100478468898,0.00011169128354490687,0.0018787359197934422,0.0627425837320574,0.10950463016827894,24
ECE_Renton_Garden_North,2026-07-26,6.8,0.19352234762979684,0.1922060325145302,0.001316315115266642,0.2080111111111111,0.1662875,0.041723611111111086,0.014488763481314254,0.027234847629796832,0.004454101184299203,-0.0013251155614852905,0.1935223476297968,0.10709552218516664,24
ECE_Renton_Garden_Shed,2026-07-26,6.8,0.08153724696356277,0.08208541956835434,-0.0005481726047915775,0.09387999999999999,0.06498181818181818,0.02889818181818181,0.012342753036437226,0.016555428781744583,0.0017165262428419925,-0.0014969110488892157,0.0815372469635627,0.10647849241892489,23
ECE_Renton_Home,2026-07-26,6.8,0.021793866666666665,0.021780995449749995,1.2871216916669759e-05,0.02590625,0.00946,0.01644625,0.004112383333333334,0.012333866666666665,0.0009593923390382973,-0.002182061473528507,0.0217938666666666,0.10289087146520613,23
ECE_BBG_Lost_Meadow,2026-07-27,0.0,0.0521190687361419,0.05175559307179434,0.00036347566434756506,0.062154545454545455,0.03350952380952381,0.028645021645021647,0.010035476718403553,0.018609544926618093,-0.0022111155956552955,0.00926340619723004,0.0521190687361419,0.11429312825202936,24
ECE_BBG_Main_St,2026-07-27,0.0,0.06398758949880669,0.06390649453378507,8.109496502162195e-05,0.07287222222222223,0.04726470588235294,0.02560751633986929,0.00888463272341554,0.01672288361645375,0.0012450057667491993,0.008378744125366253,0.0639875894988066,0.11788337429364519,24
ECE_Renton_Garden_North,2026-07-27,0.0,0.17467783018867925,0.17446688265351418,0.00021094753516506803,0.20615,0.13844117647058823,0.06770882352941177,0.031472169811320755,0.03623665371809101,-0.01884451744111762,0.0019508376717567166,0.1746778301886792,0.10904635985692336,24
ECE_Renton_Garden_Shed,2026-07-27,0.0,0.0781498181818182,0.07806592971264846,8.388846916973502e-05,0.09419285714285715,0.05693571428571429,0.03725714285714286,0.016043038961038952,0.021214103896103904,-0.0033874287817445975,0.0022803818186124536,0.0781498181818181,0.10875887423753734,24
ECE_Renton_Home,2026-07-27,0.0,0.018435452322738383,0.018670342318305198,-0.00023488999556681503,0.026576923076923078,0.0,0.026576923076923078,0.008141470754184695,0.018435452322738383,-0.0033584143439282996,0.0036061157782872333,0.0184354523227383,0.10649698724349337,24
ECE_BBG_Lost_Meadow,2026-08-02,0.8,0.057678571428571426,0.05457552460177965,0.003103046826791779,0.06698888888888889,0.031,0.03598888888888889,0.009310317460317463,0.026678571428571426,,,0.0576785714285714,0.09642120699087776,24
ECE_BBG_Main_St,2026-08-02,0.8,0.05813433874709977,0.05847651133389958,-0.00034217258679981183,0.06366875,0.047157142857142856,0.01651160714285714,0.0055344112529002246,0.010977195889956916,,,0.0581343387470997,0.0987007891138394,24
ECE_Renton_Garden_North,2026-08-02,2.3,0.13799882352941178,0.13767406360977855,0.00032475991963323847,0.16855384615384614,0.10310909090909091,0.06544475524475522,0.030555022624434353,0.03488973262032087,,,0.1379988235294117,0.08963235219319658,24
ECE_Renton_Garden_Shed,2026-08-02,2.3,0.07993672839506172,0.07914552892709142,0.0007911994679702938,0.09764375,0.058681250000000004,0.0389625,0.017707021604938283,0.021255478395061714,,,0.0799367283950617,0.08934701979160307,24
ECE_Renton_Home,2026-08-02,1.3,0.01938098958333333,0.018790274154548283,0.0005907154287850477,0.027925,0.0022,0.025724999999999998,0.008544010416666668,0.01718098958333333,,,0.0193809895833333,0.0853541195392608,24
ECE_BBG_Lost_Meadow,2026-08-03,0.0,0.06064715719063546,0.058415294884513635,0.0022318623061218235,0.0982,0.0279875,0.0702125,0.03755284280936454,0.03265965719063546,0.002968585762064005,-0.004754674931367275,0.0606471571906354,0.09166653205951049,24
ECE_BBG_Main_St,2026-08-03,0.0,0.05090042194092826,0.05166334726215047,-0.0007629253212222131,0.0650125,0.028023809523809524,0.03698869047619048,0.01411207805907174,0.022876612417118736,-0.0072339168061715045,-0.0044168482224146155,0.0509004219409282,0.09428394089142478,24
ECE_Renton_Garden_North,2026-08-03,0.0,0.1358263888888889,0.13578557480735443,4.0814081534473745e-05,0.16863125,0.10298235294117647,0.06564889705882354,0.03280486111111111,0.03284403594771243,-0.0021724346405228023,0.0019253989060719762,0.1358263888888889,0.09155775109926856,24
ECE_Renton_Garden_Shed,2026-08-03,0.0,0.07877746478873239,0.07854330334289893,0.000234161445833464,0.09747272727272728,0.058490909090909086,0.038981818181818194,0.01869526248399489,0.020286555697823304,-0.0011592636063293,0.001506860057512896,0.0787774647887324,0.09085387984911597,24
ECE_Renton_Home,2026-08-03,0.0,0.019125707547169815,0.018976632930945824,0.000149074616223991,0.027884210526315786,0.002575,0.025309210526315785,0.00875850297914597,0.016550707547169814,-0.0002552820361634983,0.00024996201197309553,0.0191257075471698,0.08560408155123389,24
