n_features,candidate_ucb,fold_id,fold_family,validation_year,held_out_stations,beta,n_train,n_validation,rmse,nrmse
50,0.8812898912911659,year_2020_stations_3_beta_0,station_time,2020,"['Quinault', 'RainyPass_WA_711']",0.0,5349,718,0.06855277639187975,0.9508473748400075
50,0.8812898912911659,year_2020_stations_3_beta_0.2,station_time,2020,"['Quinault', 'RainyPass_WA_711']",0.2,5349,718,0.06693808170607615,0.9284510798396737
50,0.8812898912911659,year_2021_stations_0_beta_0,station_time,2021,['Paradise_WA'],0.0,8572,365,0.04686797463407384,0.473120295015575
50,0.8812898912911659,year_2021_stations_0_beta_0.2,station_time,2021,['Paradise_WA'],0.2,8572,365,0.045514119591065445,0.4594534723641269
50,0.8812898912911659,year_2021_stations_1_beta_0,station_time,2021,"['BeaverPass_WA_990', 'CayusePass_WA']",0.0,7158,725,0.07025084352773399,0.6600377435548539
50,0.8812898912911659,year_2021_stations_1_beta_0.2,station_time,2021,"['BeaverPass_WA_990', 'CayusePass_WA']",0.2,7158,725,0.06933496771915688,0.651432685284898
50,0.8812898912911659,year_2021_stations_2_beta_0,station_time,2021,"['Darrington', 'MartenRidge_WA_999']",0.0,7200,694,0.10796545768710321,1.0088396406243276
50,0.8812898912911659,year_2021_stations_2_beta_0.2,station_time,2021,"['Darrington', 'MartenRidge_WA_999']",0.2,7200,694,0.11152232659589723,1.0420753664626319
50,0.8812898912911659,year_2021_stations_3_beta_0,station_time,2021,"['Quinault', 'RainyPass_WA_711']",0.0,7163,716,0.07656599301936678,1.0621360522746568
50,0.8812898912911659,year_2021_stations_3_beta_0.2,station_time,2021,"['Quinault', 'RainyPass_WA_711']",0.2,7163,716,0.0722625826265196,1.0024384352814275
50,0.8812898912911659,year_2022_stations_0_beta_0,station_time,2022,['Paradise_WA'],0.0,10707,365,0.09323504277293873,0.8745782663773906
50,0.8812898912911659,year_2022_stations_0_beta_0.2,station_time,2022,['Paradise_WA'],0.2,10707,365,0.09125679245131338,0.8560215661787204
50,0.8812898912911659,year_2022_stations_1_beta_0,station_time,2022,"['BeaverPass_WA_990', 'CayusePass_WA']",0.0,8933,629,0.06373869482382608,0.5323447476626039
50,0.8812898912911659,year_2022_stations_1_beta_0.2,station_time,2022,"['BeaverPass_WA_990', 'CayusePass_WA']",0.2,8933,629,0.06281557879126946,0.5246348946012425
50,0.8812898912911659,year_2022_stations_2_beta_0,station_time,2022,"['Darrington', 'MartenRidge_WA_999']",0.0,9006,690,0.10750947483633816,0.7870860880109936
50,0.8812898912911659,year_2022_stations_2_beta_0.2,station_time,2022,"['Darrington', 'MartenRidge_WA_999']",0.2,9006,690,0.1110699730370539,0.8131528007768932
50,0.8812898912911659,year_2022_stations_3_beta_0,station_time,2022,"['Quinault', 'RainyPass_WA_711']",0.0,8947,698,0.08058125574103557,0.9468730557785241
50,0.8812898912911659,year_2022_stations_3_beta_0.2,station_time,2022,"['Quinault', 'RainyPass_WA_711']",0.2,8947,698,0.0794707942453534,0.9338245364911097
45,0.8802972351430535,year_2019_stations_0_beta_0,station_time,2019,['Paradise_WA'],0.0,4258,365,0.057440106632860324,0.7506998671624141
45,0.8802972351430535,year_2019_stations_0_beta_0.2,station_time,2019,['Paradise_WA'],0.2,4258,365,0.058560077318967826,0.7653370587446059
45,0.8802972351430535,year_2019_stations_1_beta_0,station_time,2019,"['BeaverPass_WA_990', 'CayusePass_WA']",0.0,3569,730,0.04790135611836201,0.5194958368598637
45,0.8802972351430535,year_2019_stations_1_beta_0.2,station_time,2019,"['BeaverPass_WA_990', 'CayusePass_WA']",0.2,3569,730,0.04684748363322032,0.5080664658988524
45,0.8802972351430535,year_2019_stations_2_beta_0,station_time,2019,"['Darrington', 'MartenRidge_WA_999']",0.0,3566,689,0.12893419810377962,1.3113923299536343
45,0.8802972351430535,year_2019_stations_2_beta_0.2,station_time,2019,"['Darrington', 'MartenRidge_WA_999']",0.2,3566,689,0.11773520003710666,1.1974870946957281
45,0.8802972351430535,year_2019_stations_3_beta_0,station_time,2019,"['Quinault', 'RainyPass_WA_711']",0.0,3565,729,0.08145286184555543,1.4508951529057106
45,0.8802972351430535,year_2019_stations_3_beta_0.2,station_time,2019,"['Quinault', 'RainyPass_WA_711']",0.2,3565,729,0.08247553884160283,1.4691117884288036
45,0.8802972351430535,year_2020_stations_0_beta_0,station_time,2020,['Paradise_WA'],0.0,6406,366,0.08328505376848928,0.6877642576794191
45,0.8802972351430535,year_2020_stations_0_beta_0.2,station_time,2020,['Paradise_WA'],0.2,6406,366,0.07834401824085918,0.6469614067708461
45,0.8802972351430535,year_2020_stations_1_beta_0,station_time,2020,"['BeaverPass_WA_990', 'CayusePass_WA']",0.0,5352,726,0.051436749010782455,0.43846598869835607
45,0.8802972351430535,year_2020_stations_1_beta_0.2,station_time,2020,"['BeaverPass_WA_990', 'CayusePass_WA']",0.2,5352,726,0.050395686501299344,0.4295915844777158
45,0.8802972351430535,year_2020_stations_2_beta_0,station_time,2020,"['Darrington', 'MartenRidge_WA_999']",0.0,5390,722,0.09498925178275627,0.99243596662735
45,0.8802972351430535,year_2020_stations_2_beta_0.2,station_time,2020,"['Darrington', 'MartenRidge_WA_999']",0.2,5390,722,0.081536634389958,0.8518846821891533
45,0.8802972351430535,year_2020_stations_3_beta_0,station_time,2020,"['Quinault', 'RainyPass_WA_711']",0.0,5349,718,0.06985159997900942,0.9688624438598643
45,0.8802972351430535,year_2020_stations_3_beta_0.2,station_time,2020,"['Quinault', 'RainyPass_WA_711']",0.2,5349,718,0.06767985276214676,0.93873966475949
45,0.8802972351430535,year_2021_stations_0_beta_0,station_time,2021,['Paradise_WA'],0.0,8572,365,0.046602298573837866,0.47043836269443656
45,0.8802972351430535,year_2021_stations_0_beta_0.2,station_time,2021,['Paradise_WA'],0.2,8572,365,0.04560433734720021,0.4603641976884316
45,0.8802972351430535,year_2021_stations_1_beta_0,station_time,2021,"['BeaverPass_WA_990', 'CayusePass_WA']",0.0,7158,725,0.07065510545807939,0.6638359631763019
45,0.8802972351430535,year_2021_stations_1_beta_0.2,station_time,2021,"['BeaverPass_WA_990', 'CayusePass_WA']",0.2,7158,725,0.07173146003932099,0.6739487904875805
45,0.8802972351430535,year_2021_stations_2_beta_0,station_time,2021,"['Darrington', 'MartenRidge_WA_999']",0.0,7200,694,0.11220085021299954,1.0484155565261652
45,0.8802972351430535,year_2021_stations_2_beta_0.2,station_time,2021,"['Darrington', 'MartenRidge_WA_999']",0.2,7200,694,0.11018778937393921,1.0296053220591546
45,0.8802972351430535,year_2021_stations_3_beta_0,station_time,2021,"['Quinault', 'RainyPass_WA_711']",0.0,7163,716,0.07532643043530936,1.044940636168121
45,0.8802972351430535,year_2021_stations_3_beta_0.2,station_time,2021,"['Quinault', 'RainyPass_WA_711']",0.2,7163,716,0.07479112533269902,1.0375147957130093
45,0.8802972351430535,year_2022_stations_0_beta_0,station_time,2022,['Paradise_WA'],0.0,10707,365,0.08732467318189753,0.8191368718453899
45,0.8802972351430535,year_2022_stations_0_beta_0.2,station_time,2022,['Paradise_WA'],0.2,10707,365,0.0880379049724122,0.8258272428080835
45,0.8802972351430535,year_2022_stations_1_beta_0,station_time,2022,"['BeaverPass_WA_990', 'CayusePass_WA']",0.0,8933,629,0.06413470332925057,0.5356522055337626
45,0.8802972351430535,year_2022_stations_1_beta_0.2,station_time,2022,"['BeaverPass_WA_990', 'CayusePass_WA']",0.2,8933,629,0.06277950794248642,0.5243336313427703
45,0.8802972351430535,year_2022_stations_2_beta_0,station_time,2022,"['Darrington', 'MartenRidge_WA_999']",0.0,9006,690,0.11117604714672248,0.8139293784333778
45,0.8802972351430535,year_2022_stations_2_beta_0.2,station_time,2022,"['Darrington', 'MartenRidge_WA_999']",0.2,9006,690,0.11050184913889195,0.808993516981762
45,0.8802972351430535,year_2022_stations_3_beta_0,station_time,2022,"['Quinault', 'RainyPass_WA_711']",0.0,8947,698,0.08048698730655302,0.945765351017645
45,0.8802972351430535,year_2022_stations_3_beta_0.2,station_time,2022,"['Quinault', 'RainyPass_WA_711']",0.2,8947,698,0.07951187453338388,0.9343072519502071
40,0.8886241758250307,year_2019_stations_0_beta_0,station_time,2019,['Paradise_WA'],0.0,4258,365,0.058428358263509714,0.7636155877510511
40,0.8886241758250307,year_2019_stations_0_beta_0.2,station_time,2019,['Paradise_WA'],0.2,4258,365,0.05971695162962567,0.780456553506087
