feature,importance
V_rollcv_F_NDVI_kobs14,-6.002902984619141e-05
A_pct_LST_modis,-6.176471710205078e-05
V_rollmean_s2_b11_kobs7,-6.521940231323242e-05
A_d_F_NDMI_kobs5,-6.611585617065431e-05
A_d_SMAP_sm_interp_kobs7,-6.639480590820312e-05
A_d_SMAP_sm_interp_kobs2,-6.715297698974609e-05
A_d_SMAP_sm_interp_kobs14,-8.222818374633789e-05
C_lag_s2_b11_kobs5,-8.489608764648437e-05
V_rollrng_E_SAR_ratio_kobs7,-8.699655532836914e-05
A_grad_LST_modis_kobs14,-9.631395339965821e-05
C_lag_G_API_kobs30,-0.00010182142257690431
C_lag_G_API_kobs5,-0.00010406494140624998
A_d_s2_b11_kobs5,-0.0001059746742248535
C_smm_F_NDVI_alpha0.85_n5,-0.00010739564895629883
A_grad_F_NDMI_kobs14,-0.00011398315429687501
D_fft_ent_F_NDMI_kobs30,-0.00012047529220581053
V_rollcv_LST_modis_kobs7,-0.00012362241744995117
D_fft_dom_F_NDMI_kobs30,-0.00012428760528564452
V_rollstd_s2_b11_kobs7,-0.00012843132019042968
V_ema_s2_b11_kobs7,-0.00013215541839599608
A_d_s2_b11_kobs1,-0.00013448476791381834
A_d_F_NDMI_kobs2,-0.00013599634170532229
A_d_s2_b11_kobs7,-0.00013657569885253904
V_rollmean_LST_modis_kobs7,-0.00014823675155639648
A_d_F_NDMI_kobs1,-0.00014871597290039062
SMAP_sm_interp_rollstd30,-0.00017349958419799806
V_rollrng_SMAP_sm_interp_kobs14,-0.0001745724678039551
V_ema_F_NDVI_kobs7,-0.0001861906051635742
A_pct_s2_b11,-0.00019423484802246095
A_d_LST_modis_kobs1,-0.00020160436630249027
V_rollmax_s2_b11_kobs14,-0.00020733833312988284
A_grad_LST_modis_kobs7,-0.00023094654083251955
A_d_s2_b11_kobs30,-0.00023168325424194341
C_lag_s2_b11_kobs2,-0.00024360418319702148
A_grad_F_NDVI_kobs14,-0.0002439403533935547
V_rollcv_s2_b11_kobs14,-0.00024398326873779295
C_lag_F_NDVI_kobs2,-0.0002467083930969238
V_rollmean_F_NDVI_kobs14,-0.0002513408660888672
V_rollcv_LST_modis_kobs14,-0.0002565598487854004
V_rollmean_E_SAR_diff_kobs7,-0.0002619647979736328
V_rollcv_s2_b12_kobs14,-0.0002680730819702148
V_rollcv_F_NDMI_kobs14,-0.0002710914611816406
C_lag_F_NDVI_kobs5,-0.00027953147888183595
V_rollmax_s2_b11_kobs7,-0.00027990341186523443
V_rollrng_LST_modis_kobs7,-0.00028077125549316403
A_d_LST_modis_kobs14,-0.00028772592544555663
C_lag_s2_b12_kobs2,-0.00028831005096435547
V_rollstd_E_SAR_ratio_kobs14,-0.0003031229972839355
C_lag_s2_b12_kobs1,-0.0003036618232727051
V_rollmin_E_SAR_ratio_kobs7,-0.0003141474723815918
V_rollmax_s2_b12_kobs14,-0.0003164386749267578
V_rollmean_SMAP_sm_interp_kobs14,-0.00033416032791137694
V_rollstd_E_SAR_diff_kobs30,-0.00033445119857788085
V_rollrng_E_SAR_diff_kobs14,-0.00033936977386474606
A_grad_SMAP_sm_interp_kobs14,-0.0003555464744567871
A_d_G_API_kobs7,-0.00036926507949829106
V_rollcv_SMAP_sm_interp_kobs14,-0.0003693222999572754
V_rollmean_F_NDVI_kobs7,-0.00038137912750244143
C_lag_F_NDVI_kobs1,-0.0004146862030029297
V_rollrng_s2_b11_kobs14,-0.00041634321212768554
SMAP_sm_am_interp_rollstd30,-0.0004352474212646484
SMAP_sm_am_interp_rollrange30,-0.00044849634170532235
C_lag_LST_modis_kobs2,-0.0004572081565856934
C_smm_s2_b12_alpha0.85_n5,-0.0004775214195251464
A_d_F_NDVI_kobs14,-0.0004975032806396484
V_rollmax_E_SAR_diff_kobs14,-0.0004992246627807617
V_rollstd_s2_b11_kobs14,-0.0005188226699829101
A_d_F_NDMI_kobs7,-0.0005451583862304687
V_ema_F_NDVI_kobs14,-0.0005602765083312989
V_rollmax_F_NDVI_kobs7,-0.0005680799484252929
